'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2019,,,,,,,,,,
Issued at 22:31 GMT on Saturday 06 April 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,30/03/2019,1.9,6.6, ,27.9,23.4,92,72,1.24,7.36
BRISBANE,31/03/2019,4.0,4.6, ,27.9,15.3,86,20,1.35,21.61
BRISBANE,01/04/2019,3.9,0.0, ,27.5,15.8,74,36,1.65,19.40
BRISBANE,02/04/2019,3.4,0.0, ,27.2,17.5,87,54,1.78,16.33
BRISBANE,03/04/2019,3.2,4.0, ,26.4,18.8,91,58,1.68,16.50
BRISBANE,04/04/2019,4.1,6.2, ,27.8,18.6,90,43,2.17,20.35
BRISBANE,05/04/2019,4.0,1.0, ,27.5,17.7,89,32,1.82,20.15
Totals:,,24.5,22.4, ,,,,,, 
