'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/02/2009,4.4,0.0, ,26.6,24.6,85,71,9.53,14.79
CAPE MORETON LIGHTHOUSE,02/02/2009,4.4,0.0, ,26.9,22.8,95,70,10.01,18.84
CAPE MORETON LIGHTHOUSE,03/02/2009,5.2,4.2, ,28.7,20.9,93,67,5.45,24.58
CAPE MORETON LIGHTHOUSE,04/02/2009,6.1,0.0, ,28.1,23.2,85,67,9.61,27.12
CAPE MORETON LIGHTHOUSE,05/02/2009,6.9,0.0, ,28.2,24.1,80,62,9.76,29.29
CAPE MORETON LIGHTHOUSE,06/02/2009,6.7,0.0, ,28.2,23.9,79,63,10.03,27.46
CAPE MORETON LIGHTHOUSE,07/02/2009,7.1,0.0, ,28.0,24.1,77,60,9.98,29.38
CAPE MORETON LIGHTHOUSE,08/02/2009,7.1,0.0, ,28.8,23.8,75,54,6.54,29.50
CAPE MORETON LIGHTHOUSE,09/02/2009,6.4,0.0, ,29.7,23.4,89,68,6.18,31.15
CAPE MORETON LIGHTHOUSE,10/02/2009,5.8,0.0, ,29.7,24.5,90,67,7.67,25.11
CAPE MORETON LIGHTHOUSE,11/02/2009,4.8,1.0, ,27.8,20.6,95,64,5.81,22.17
CAPE MORETON LIGHTHOUSE,12/02/2009,5.1,4.0, ,27.7,23.1,92,67,13.09,19.67
CAPE MORETON LIGHTHOUSE,13/02/2009,4.5,4.8, ,25.2,21.5,92,59,16.71,7.03
CAPE MORETON LIGHTHOUSE,14/02/2009,3.6,4.2, ,25.8,21.3,99,63,9.54,10.54
CAPE MORETON LIGHTHOUSE,15/02/2009,5.4,2.6, ,28.4,20.7,95,65,4.48,26.98
CAPE MORETON LIGHTHOUSE,16/02/2009,5.7,4.0, ,27.2,22.2,89,66,8.29,27.98
CAPE MORETON LIGHTHOUSE,17/02/2009, ,0.0, ,26.5,22.9,96,79,7.19, 
CAPE MORETON LIGHTHOUSE,18/02/2009, ,8.2, ,28.5,22.0,90,69,6.32, 
CAPE MORETON LIGHTHOUSE,19/02/2009,5.9,0.0, ,29.6,22.9,91,66,4.42,29.17
CAPE MORETON LIGHTHOUSE,20/02/2009,5.5,0.0, ,29.9,24.3,96,72,5.41,27.29
CAPE MORETON LIGHTHOUSE,21/02/2009,3.8,1.4, ,27.8,22.1,93,75,6.24,16.82
CAPE MORETON LIGHTHOUSE,22/02/2009,5.5,0.4, ,28.0,23.9,87,69,10.07,23.74
CAPE MORETON LIGHTHOUSE,23/02/2009,6.8,0.2, ,27.9,23.4,79,61,10.53,28.40
CAPE MORETON LIGHTHOUSE,24/02/2009,7.1,0.0, ,28.9,24.1,78,56,8.63,28.59
CAPE MORETON LIGHTHOUSE,25/02/2009,5.9, , ,28.5,24.2,75,59,7.89,19.43
CAPE MORETON LIGHTHOUSE,26/02/2009,6.4,0.0, ,28.3,24.4,93,56,11.90,26.45
CAPE MORETON LIGHTHOUSE,27/02/2009,6.1,2.4, ,27.7,21.7,88,63,11.23,28.19
CAPE MORETON LIGHTHOUSE,28/02/2009,6.2,0.0, ,28.2,20.9,81,58,5.31,28.93
Totals:,,148.4,37.4, ,,,,,, 
