'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/03/2009,5.8,0.0, ,28.9,23.4,91,69,7.96,28.60
CAPE MORETON LIGHTHOUSE,02/03/2009,5.9,0.0, ,28.9,24.2,87,67,6.76,27.30
CAPE MORETON LIGHTHOUSE,03/03/2009,6.1,0.0, ,29.9,24.6,79,60,4.15,27.23
CAPE MORETON LIGHTHOUSE,04/03/2009,6.3,0.0, ,29.7,24.8,83,60,6.69,26.33
CAPE MORETON LIGHTHOUSE,05/03/2009,7.6,0.0, ,28.8,21.7,82,35,7.20,28.19
CAPE MORETON LIGHTHOUSE,06/03/2009,6.7,0.0, ,27.7,23.3,71,50,6.66,25.51
CAPE MORETON LIGHTHOUSE,07/03/2009,6.3,0.0, ,29.4,23.1,76,58,5.94,26.18
CAPE MORETON LIGHTHOUSE,08/03/2009,6.9,0.0, ,28.1,23.9,74,57,10.43,24.61
CAPE MORETON LIGHTHOUSE,09/03/2009,4.0, , ,25.0,22.6,96,62,15.43,9.26
CAPE MORETON LIGHTHOUSE,10/03/2009,5.1,2.2, ,25.3,21.5,92,56,18.94,10.29
CAPE MORETON LIGHTHOUSE,11/03/2009,4.8,0.2, ,25.4,21.3,92,65,17.53,17.95
CAPE MORETON LIGHTHOUSE,12/03/2009,5.3,0.2, ,26.1,20.9,90,63,14.82,22.08
CAPE MORETON LIGHTHOUSE,13/03/2009,4.0,4.6, ,25.4,20.6,91,70,8.68,17.68
CAPE MORETON LIGHTHOUSE,14/03/2009,5.1,0.8, ,27.6,21.5,92,64,8.10,23.25
CAPE MORETON LIGHTHOUSE,15/03/2009,5.3,0.0, ,28.2,22.7,79,61,4.58,23.15
CAPE MORETON LIGHTHOUSE,16/03/2009,5.3,0.0, ,28.0,23.3,92,67,6.58,26.17
CAPE MORETON LIGHTHOUSE,17/03/2009,4.5,2.6, ,27.0,20.3,96,72,5.11,24.47
CAPE MORETON LIGHTHOUSE,18/03/2009,5.1,0.2, ,27.2,23.3,88,67,9.47,21.90
CAPE MORETON LIGHTHOUSE,19/03/2009,4.0,0.0, ,26.3,23.8,85,71,8.55,13.26
CAPE MORETON LIGHTHOUSE,20/03/2009, ,0.0, ,27.5,22.8,95,70,10.88, 
CAPE MORETON LIGHTHOUSE,21/03/2009, ,11.6, ,26.2,21.1,89,60,12.61, 
CAPE MORETON LIGHTHOUSE,22/03/2009, ,0.2, ,25.8,20.8,86,66,10.87, 
CAPE MORETON LIGHTHOUSE,23/03/2009,6.8,0.0, ,26.6,22.7,76,51,10.05,25.41
CAPE MORETON LIGHTHOUSE,24/03/2009,6.6,0.0, ,26.6,22.9,71,57,10.27,24.33
CAPE MORETON LIGHTHOUSE,25/03/2009,6.4,0.0, ,26.7,22.5,72,54,9.19,22.64
CAPE MORETON LIGHTHOUSE,26/03/2009,6.7,0.0, ,26.6,22.5,76,46,9.07,24.07
CAPE MORETON LIGHTHOUSE,27/03/2009, ,0.0, ,27.0,22.5,87,62,8.28, 
CAPE MORETON LIGHTHOUSE,28/03/2009, ,17.8, ,25.1,20.0,95,65,13.83, 
CAPE MORETON LIGHTHOUSE,29/03/2009, ,0.0, ,24.7,22.2,95,61,14.88, 
CAPE MORETON LIGHTHOUSE,30/03/2009,3.3,6.6, ,23.7,20.6,94,78,12.45,17.76
CAPE MORETON LIGHTHOUSE,31/03/2009,4.9,7.4, ,27.2,19.9,84,62,5.59,23.43
Totals:,,138.8,54.4, ,,,,,, 
