'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for April 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/04/2009,4.4,0.2, ,28.2,22.7,88,69,6.41,18.97
CAPE MORETON LIGHTHOUSE,02/04/2009,1.5,13.6, ,24.4,21.7,100,88,13.87,5.64
CAPE MORETON LIGHTHOUSE,03/04/2009,3.6,32.4, ,26.7,20.8,96,75,10.89,17.46
CAPE MORETON LIGHTHOUSE,04/04/2009,2.9,14.6, ,25.3,19.6,96,80,5.67,15.18
CAPE MORETON LIGHTHOUSE,05/04/2009,2.1,18.6, ,25.6,20.6,98,84,6.57,9.70
CAPE MORETON LIGHTHOUSE,06/04/2009,3.6,10.8, ,25.9,21.0,98,76,7.93,20.03
CAPE MORETON LIGHTHOUSE,07/04/2009,3.8,23.0, ,24.4,20.4,96,65,14.26,12.88
CAPE MORETON LIGHTHOUSE,08/04/2009,5.8,3.0, ,24.4,19.9,86,52,14.64,21.74
CAPE MORETON LIGHTHOUSE,09/04/2009,4.4,0.4, ,24.7,19.2,87,66,10.22,19.92
CAPE MORETON LIGHTHOUSE,10/04/2009,5.1,5.2, ,26.0,19.9,77,59,8.34,19.65
CAPE MORETON LIGHTHOUSE,11/04/2009,3.6,0.2, ,25.4,21.5,95,66,8.78,13.85
CAPE MORETON LIGHTHOUSE,12/04/2009,4.0,3.8, ,26.1,20.1,91,69,9.13,18.47
CAPE MORETON LIGHTHOUSE,13/04/2009,2.4,0.0, ,25.0,22.1,99,78,11.66,8.50
CAPE MORETON LIGHTHOUSE,14/04/2009,3.0,45.6, ,25.5,21.0,100,74,9.93,14.16
CAPE MORETON LIGHTHOUSE,15/04/2009,3.8,0.2, ,27.3,21.4,95,71,4.22,20.54
CAPE MORETON LIGHTHOUSE,16/04/2009,4.5,0.0, ,26.1,21.1,95,60,7.05,21.58
CAPE MORETON LIGHTHOUSE,17/04/2009,4.6,0.0, ,26.1,19.1,78,54,4.44,21.22
CAPE MORETON LIGHTHOUSE,18/04/2009,4.9,0.0, ,24.4,18.8,82,56,8.52,21.22
CAPE MORETON LIGHTHOUSE,19/04/2009,4.6,0.0, ,24.1,17.8,76,50,5.44,20.91
CAPE MORETON LIGHTHOUSE,20/04/2009,5.2,0.0, ,24.8,18.6,69,53,7.26,20.48
CAPE MORETON LIGHTHOUSE,21/04/2009,4.8,0.0, ,24.1,17.3,76,59,9.05,19.75
CAPE MORETON LIGHTHOUSE,22/04/2009,4.6,0.0, ,23.5,18.4,84,60,10.28,20.16
CAPE MORETON LIGHTHOUSE,23/04/2009,4.3,1.0, ,23.1,18.2,90,59,9.62,20.28
CAPE MORETON LIGHTHOUSE,24/04/2009,4.4,0.0, ,25.4,17.2,82,59,6.06,20.57
CAPE MORETON LIGHTHOUSE,25/04/2009,4.7,0.0, ,25.9,21.2,86,63,10.61,19.66
CAPE MORETON LIGHTHOUSE,26/04/2009,5.1,0.8, ,26.2,21.4,92,45,7.52,19.95
CAPE MORETON LIGHTHOUSE,27/04/2009,4.8,0.0, ,25.5,20.0,87,40,5.10,20.13
CAPE MORETON LIGHTHOUSE,28/04/2009,4.9,0.0, ,23.1,15.7,55,38,4.68,20.53
CAPE MORETON LIGHTHOUSE,29/04/2009,4.0, , ,24.7,18.1,73,53,3.82,19.52
CAPE MORETON LIGHTHOUSE,30/04/2009,5.0, , ,25.0,17.3,85,36,5.72,19.96
Totals:,,124.4,173.4, ,,,,,, 
