'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for May 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/05/2009,3.3, , ,22.4,16.6,94,60,8.63,12.74
CAPE MORETON LIGHTHOUSE,02/05/2009,5.1,5.4, ,23.0,17.0,69,50,8.97,18.59
CAPE MORETON LIGHTHOUSE,03/05/2009,4.1,0.0, ,22.9,19.7,86,57,9.82,14.36
CAPE MORETON LIGHTHOUSE,04/05/2009,3.8,1.4, ,22.2,17.2,91,62,10.94,18.48
CAPE MORETON LIGHTHOUSE,05/05/2009,3.3,10.8, ,21.1,16.5,89,59,9.28,11.16
CAPE MORETON LIGHTHOUSE,06/05/2009,2.7,47.0, ,21.5,16.1,95,72,10.45,14.02
CAPE MORETON LIGHTHOUSE,07/05/2009,4.2, , ,23.3,16.5,76,58,8.34,14.73
CAPE MORETON LIGHTHOUSE,08/05/2009,4.4, , ,22.4,17.8,78,56,9.23,17.97
CAPE MORETON LIGHTHOUSE,09/05/2009,2.9, , ,21.1,16.0,95,67,7.23,16.62
CAPE MORETON LIGHTHOUSE,10/05/2009,4.3,0.2, ,21.8,16.6,81,55,9.83,18.23
CAPE MORETON LIGHTHOUSE,11/05/2009,3.3,14.6, ,20.9,16.1,94,64,11.22,16.93
CAPE MORETON LIGHTHOUSE,12/05/2009,2.8,5.4, ,20.8,15.6,91,61,5.37,13.74
CAPE MORETON LIGHTHOUSE,13/05/2009,3.1,1.0, ,21.4,15.6,88,54,4.23,17.35
CAPE MORETON LIGHTHOUSE,14/05/2009,3.7,0.0, ,22.9,17.1,79,51,4.91,17.46
CAPE MORETON LIGHTHOUSE,15/05/2009,4.2,0.0, ,22.1,15.9,78,34,4.86,17.96
CAPE MORETON LIGHTHOUSE,16/05/2009,5.0,0.0, ,23.0,15.4,58,34,5.60,18.00
CAPE MORETON LIGHTHOUSE,17/05/2009,4.5,0.0, ,22.2,16.6,75,44,7.17,17.05
CAPE MORETON LIGHTHOUSE,18/05/2009,3.6,0.0, ,22.9,18.5,91,59,11.88,8.91
CAPE MORETON LIGHTHOUSE,19/05/2009,2.6,7.6, ,20.9,17.4,99,67,15.54,5.17
CAPE MORETON LIGHTHOUSE,20/05/2009,1.6,50.2, ,20.0,16.9,100,83,15.32,7.86
CAPE MORETON LIGHTHOUSE,21/05/2009,2.6,13.0, ,21.3,15.2,93,72,7.36,14.61
CAPE MORETON LIGHTHOUSE,22/05/2009,2.1,0.2, ,20.9,15.0,94,74,4.72,11.68
CAPE MORETON LIGHTHOUSE,23/05/2009,2.6,32.4, ,21.4,15.4,98,71,11.42,13.15
CAPE MORETON LIGHTHOUSE,24/05/2009,4.3, , ,21.8,16.3,82,58,15.58,12.95
CAPE MORETON LIGHTHOUSE,25/05/2009,3.5,5.6, ,21.9,17.3,92,60,10.89,13.57
CAPE MORETON LIGHTHOUSE,26/05/2009,2.6,0.2, ,20.2,15.9,93,65,7.18,13.00
CAPE MORETON LIGHTHOUSE,27/05/2009,2.5,3.6, ,22.2,17.6,89,65,3.40,14.26
CAPE MORETON LIGHTHOUSE,28/05/2009,2.9,0.0, ,22.8,16.6,91,52,3.40,15.87
CAPE MORETON LIGHTHOUSE,29/05/2009,2.6,0.0, ,22.4,16.7,89,68,4.16,15.03
CAPE MORETON LIGHTHOUSE,30/05/2009,2.9,1.2, ,20.1,16.9,92,68,11.48,15.34
CAPE MORETON LIGHTHOUSE,31/05/2009,3.4,3.6, ,20.3,15.6,89,60,11.70,12.86
Totals:,,104.5,203.4, ,,,,,, 
