'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for July 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/07/2009,2.9,0.0, ,20.5,16.6,88,65,8.52,14.73
CAPE MORETON LIGHTHOUSE,02/07/2009,3.6,0.0, ,22.0,17.4,91,38,5.56,14.84
CAPE MORETON LIGHTHOUSE,03/07/2009,4.5,0.0, ,19.3,13.5,57,41,7.85,15.51
CAPE MORETON LIGHTHOUSE,04/07/2009,4.1,0.0, ,17.6,11.1,64,38,7.73,15.84
CAPE MORETON LIGHTHOUSE,05/07/2009,3.0,0.0, ,17.2,10.6,73,48,5.50,14.94
CAPE MORETON LIGHTHOUSE,06/07/2009, ,0.0, ,20.9,12.9,81,49,5.54, 
CAPE MORETON LIGHTHOUSE,07/07/2009, ,18.6, ,17.1,15.5,96,65,9.73, 
CAPE MORETON LIGHTHOUSE,08/07/2009, ,12.2, ,17.5,13.8,91,56,14.75, 
CAPE MORETON LIGHTHOUSE,09/07/2009,3.2,5.2, ,18.3,14.5,89,59,13.31,12.01
CAPE MORETON LIGHTHOUSE,10/07/2009,2.5,6.4, ,17.5,12.8,94,69,13.82,14.06
CAPE MORETON LIGHTHOUSE,11/07/2009,2.9,0.0, ,17.9,12.8,85,63,9.12,15.55
CAPE MORETON LIGHTHOUSE,12/07/2009,2.7,0.0, ,19.8,12.6,85,60,5.13,15.59
CAPE MORETON LIGHTHOUSE,13/07/2009,3.1,0.0, ,20.6,16.2,88,65,8.83,15.73
CAPE MORETON LIGHTHOUSE,14/07/2009,2.7,0.0, ,18.6,14.0,85,56,5.94,11.52
CAPE MORETON LIGHTHOUSE,15/07/2009,3.4,0.0, ,18.7,11.7,75,37,4.86,16.11
CAPE MORETON LIGHTHOUSE,16/07/2009,3.2,0.0, ,15.4,11.2,70,49,6.84,15.68
CAPE MORETON LIGHTHOUSE,17/07/2009,3.4,0.0, ,17.1,10.1,69,47,6.40,16.31
CAPE MORETON LIGHTHOUSE,18/07/2009,2.7,0.0, ,18.1,11.9,85,62,6.32,15.89
CAPE MORETON LIGHTHOUSE,19/07/2009,2.3,5.4, ,19.7,15.0,90,67,3.39,16.17
CAPE MORETON LIGHTHOUSE,20/07/2009,2.4,0.0, ,20.5,14.4,89,63,3.73,14.30
CAPE MORETON LIGHTHOUSE,21/07/2009,3.3,0.0, ,21.4,16.1,85,55,5.52,16.26
CAPE MORETON LIGHTHOUSE,22/07/2009,3.3,0.0, ,21.2,15.9,89,57,7.36,14.85
CAPE MORETON LIGHTHOUSE,23/07/2009,4.2,0.0, ,20.7,17.0,88,37,8.19,13.50
CAPE MORETON LIGHTHOUSE,24/07/2009,3.8,0.0, ,17.4,13.1,92,40,10.51,16.78
CAPE MORETON LIGHTHOUSE,25/07/2009,3.0,3.8, ,19.2,13.4,92,60,9.26,14.25
CAPE MORETON LIGHTHOUSE,26/07/2009,2.6,0.0, ,19.8,13.8,93,63,4.93,15.54
CAPE MORETON LIGHTHOUSE,27/07/2009,4.2,0.2, ,22.0,16.8,84,38,6.45,16.87
CAPE MORETON LIGHTHOUSE,28/07/2009,2.9,0.0, ,19.5,13.2,83,62,5.34,16.94
CAPE MORETON LIGHTHOUSE,29/07/2009,2.7,0.0, ,20.0,13.1,85,59,3.73,16.39
CAPE MORETON LIGHTHOUSE,30/07/2009,2.6,0.0, ,19.4,13.9,83,57,3.17,15.86
CAPE MORETON LIGHTHOUSE,31/07/2009,2.9,0.0, ,18.8,12.6,88,44,3.45,17.63
Totals:,,88.1,51.8, ,,,,,, 
