'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/08/2009,3.0,0.0, ,19.4,13.5,84,59,5.53,16.64
CAPE MORETON LIGHTHOUSE,02/08/2009,3.1,0.0, ,19.5,13.9,82,59,5.56,16.56
CAPE MORETON LIGHTHOUSE,03/08/2009,3.0,0.0, ,20.8,14.1,80,59,3.57,17.50
CAPE MORETON LIGHTHOUSE,04/08/2009,2.9,0.0, ,21.1,14.9,87,57,4.61,13.33
CAPE MORETON LIGHTHOUSE,05/08/2009,3.3,0.0, ,20.7,15.7,76,61,4.71,17.25
CAPE MORETON LIGHTHOUSE,06/08/2009,3.4,0.0, ,21.0,15.5,89,55,6.33,16.84
CAPE MORETON LIGHTHOUSE,07/08/2009,3.1,0.0, ,21.6,15.1,81,64,4.25,17.77
CAPE MORETON LIGHTHOUSE,08/08/2009,3.5,0.0, ,18.3,14.3,94,55,11.56,18.18
CAPE MORETON LIGHTHOUSE,09/08/2009,3.7,0.0, ,18.9,12.8,73,51,6.27,18.30
CAPE MORETON LIGHTHOUSE,10/08/2009,3.3,0.0, ,21.0,14.4,79,56,3.99,18.37
CAPE MORETON LIGHTHOUSE,11/08/2009,3.9,0.0, ,21.4,15.5,82,47,5.36,18.29
CAPE MORETON LIGHTHOUSE,12/08/2009,4.5,0.0, ,22.1,17.1,85,51,10.02,17.40
CAPE MORETON LIGHTHOUSE,13/08/2009,3.6,0.4, ,22.0,17.1,92,59,7.31,18.53
CAPE MORETON LIGHTHOUSE,14/08/2009,4.5,0.0, ,23.6,17.2,89,32,5.09,19.12
CAPE MORETON LIGHTHOUSE,15/08/2009,3.2,0.0, ,22.0,15.3,85,63,4.37,17.83
CAPE MORETON LIGHTHOUSE,16/08/2009,3.7,0.0, ,22.0,16.6,88,59,6.78,19.49
CAPE MORETON LIGHTHOUSE,17/08/2009,4.9,0.0, ,22.3,17.0,86,43,9.38,19.01
CAPE MORETON LIGHTHOUSE,18/08/2009,4.8,0.0, ,19.2,16.3,78,44,10.58,19.56
CAPE MORETON LIGHTHOUSE,19/08/2009,3.9,0.0, ,20.0,15.3,79,52,6.52,18.38
CAPE MORETON LIGHTHOUSE,20/08/2009,3.3,0.0, ,21.4,14.5,90,59,4.06,19.59
CAPE MORETON LIGHTHOUSE,21/08/2009,3.4,0.0, ,21.5,16.4,88,70,8.78,19.64
CAPE MORETON LIGHTHOUSE,22/08/2009,3.4,0.0, ,22.5,18.0,90,74,9.56,19.17
CAPE MORETON LIGHTHOUSE,23/08/2009,2.8,0.0, ,22.6,18.3,98,80,7.04,19.39
CAPE MORETON LIGHTHOUSE,24/08/2009,3.6, , ,23.8,18.4,93,71,9.04,19.95
CAPE MORETON LIGHTHOUSE,25/08/2009,3.5,0.0, ,23.2,19.0,92,75,10.38,20.05
CAPE MORETON LIGHTHOUSE,26/08/2009,5.4,0.0, ,25.1,19.4,94,18,5.29,20.21
CAPE MORETON LIGHTHOUSE,27/08/2009,4.6,0.0, ,22.7,16.5,92,27,4.88,20.13
CAPE MORETON LIGHTHOUSE,28/08/2009, , , ,23.4, ,96,78,5.70,20.44
CAPE MORETON LIGHTHOUSE,29/08/2009,3.0,0.2, ,22.7,19.5,95,80,10.17,19.92
CAPE MORETON LIGHTHOUSE,30/08/2009,6.1,0.0, ,27.3,19.5,92,32,8.21,18.73
CAPE MORETON LIGHTHOUSE,31/08/2009,3.3,0.4, ,18.6,13.0,85,40,4.91,11.37
Totals:,,111.7,1, ,,,,,, 
