'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/11/2009,4.8,0.0, ,25.1,19.7,85,59,6.61,19.63
CAPE MORETON LIGHTHOUSE,02/11/2009,6.6,3.0, ,25.5,18.8,68,47,5.07,30.68
CAPE MORETON LIGHTHOUSE,03/11/2009,6.2, , ,25.2,19.4,82,58,7.81,30.64
CAPE MORETON LIGHTHOUSE,04/11/2009,6.0,0.0, ,25.8,20.8,84,66,10.22,30.51
CAPE MORETON LIGHTHOUSE,05/11/2009,5.7,0.0, ,26.0,21.2,88,67,8.04,29.37
CAPE MORETON LIGHTHOUSE,06/11/2009,4.8,4.0, ,25.6,19.7,92,66,6.78,23.55
CAPE MORETON LIGHTHOUSE,07/11/2009,7.0,0.2, ,26.7,20.5,72,54,8.62,28.94
CAPE MORETON LIGHTHOUSE,08/11/2009,6.5,0.0, ,25.4,21.0,90,49,10.07,28.75
CAPE MORETON LIGHTHOUSE,09/11/2009,5.1,3.4, ,24.5,18.9,94,62,11.16,24.79
CAPE MORETON LIGHTHOUSE,10/11/2009,6.0,0.0, ,24.8,18.2,81,53,9.93,24.50
CAPE MORETON LIGHTHOUSE,11/11/2009,6.7,0.2, ,25.9,19.5,71,54,7.41,29.81
CAPE MORETON LIGHTHOUSE,12/11/2009, ,0.0, ,26.3,20.0,73,51,5.57, 
CAPE MORETON LIGHTHOUSE,13/11/2009,6.3,0.0, ,26.5,20.4,79,57,5.22,30.15
CAPE MORETON LIGHTHOUSE,14/11/2009,6.7,0.0, ,26.6,20.9,71,55,5.25,31.28
CAPE MORETON LIGHTHOUSE,15/11/2009,6.1,0.0, ,26.5,21.2,85,64,6.66,31.03
CAPE MORETON LIGHTHOUSE,16/11/2009, ,0.0, ,26.0,22.0,86,71,9.84, 
CAPE MORETON LIGHTHOUSE,17/11/2009, ,0.0, ,26.5,22.1,92,71,11.34, 
CAPE MORETON LIGHTHOUSE,18/11/2009, ,0.4, ,27.9,21.5,90,63,7.93, 
CAPE MORETON LIGHTHOUSE,19/11/2009, ,0.0, ,27.9,22.1,94,66,4.78, 
CAPE MORETON LIGHTHOUSE,20/11/2009, ,0.0, ,28.5,22.9,96,65,6.33, 
CAPE MORETON LIGHTHOUSE,21/11/2009, ,0.0, ,27.5,23.0,88,69,8.70, 
CAPE MORETON LIGHTHOUSE,22/11/2009, ,0.0, ,27.7,22.9,89,67,9.39, 
CAPE MORETON LIGHTHOUSE,23/11/2009, ,0.0, ,28.1,22.9,88,62,8.08, 
CAPE MORETON LIGHTHOUSE,24/11/2009, ,0.0, ,27.8,23.1,83,58,9.46, 
CAPE MORETON LIGHTHOUSE,25/11/2009, ,0.0, ,26.7,22.4,79,57,8.48, 
CAPE MORETON LIGHTHOUSE,26/11/2009, ,0.0, ,26.4,22.1,85,63,7.79, 
CAPE MORETON LIGHTHOUSE,27/11/2009, ,0.0, ,28.1,22.8,85,60,7.90, 
CAPE MORETON LIGHTHOUSE,28/11/2009,5.3,0.0, ,27.5,22.7,90,72,9.81,25.73
CAPE MORETON LIGHTHOUSE,29/11/2009,6.0,0.0, ,27.3,23.6,93,67,10.69,30.49
CAPE MORETON LIGHTHOUSE,30/11/2009,6.0,13.6, ,26.9,19.9,91,62,8.90,29.64
Totals:,,101.8,24.8, ,,,,,, 
