'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/12/2009,5.4,0.0, ,24.9,20.5,90,68,12.86,28.87
CAPE MORETON LIGHTHOUSE,02/12/2009,4.2,8.2, ,23.2,19.1,93,73,13.02,23.01
CAPE MORETON LIGHTHOUSE,03/12/2009,6.8,2.2, ,27.0,19.7,83,59,11.19,31.38
CAPE MORETON LIGHTHOUSE,04/12/2009,7.1,0.0, ,27.0,20.7,72,50,5.00,32.67
CAPE MORETON LIGHTHOUSE,05/12/2009,7.2,0.0, ,26.2,22.2,75,57,8.34,32.94
CAPE MORETON LIGHTHOUSE,06/12/2009,6.9,0.0, ,26.8,22.3,82,60,9.33,32.65
CAPE MORETON LIGHTHOUSE,07/12/2009,6.7,0.0, ,27.5,23.1,87,62,9.03,32.26
CAPE MORETON LIGHTHOUSE,08/12/2009,6.2,0.0, ,27.1,23.0,88,70,10.40,32.34
CAPE MORETON LIGHTHOUSE,09/12/2009,6.2,0.0, ,27.2,23.1,88,70,10.89,32.40
CAPE MORETON LIGHTHOUSE,10/12/2009,6.0,0.0, ,28.1,22.9,92,72,9.18,32.10
CAPE MORETON LIGHTHOUSE,11/12/2009,5.9,0.0, ,28.2,23.1,94,72,7.40,31.68
CAPE MORETON LIGHTHOUSE,12/12/2009,5.0,1.2, ,29.5,22.3,96,71,4.68,23.43
CAPE MORETON LIGHTHOUSE,13/12/2009,5.8,0.2, ,29.2,23.0,91,65,4.11,27.29
CAPE MORETON LIGHTHOUSE,14/12/2009,5.8,0.0, ,29.0,23.4,88,66,4.35,26.95
CAPE MORETON LIGHTHOUSE,15/12/2009,6.1,0.0, ,29.5,23.5,81,63,5.62,25.41
CAPE MORETON LIGHTHOUSE,16/12/2009,6.9,0.0, ,29.0,23.0,75,57,6.90,27.33
CAPE MORETON LIGHTHOUSE,17/12/2009,7.2,0.0, ,29.0,22.5,78,54,7.06,30.20
CAPE MORETON LIGHTHOUSE,18/12/2009,7.3,0.0, ,28.1,23.0,80,57,8.43,32.24
CAPE MORETON LIGHTHOUSE,19/12/2009,5.4,0.0, ,27.7,23.2,85,67,5.81,24.16
CAPE MORETON LIGHTHOUSE,20/12/2009,5.1,0.0, ,27.6,22.4,92,66,5.18,23.72
CAPE MORETON LIGHTHOUSE,21/12/2009,5.5,1.0, ,27.9,20.2,95,69,5.13,28.59
CAPE MORETON LIGHTHOUSE,22/12/2009,6.2,1.2, ,29.0,22.3,86,61,4.69,28.88
CAPE MORETON LIGHTHOUSE,23/12/2009,6.7,0.4, ,30.3,22.7,88,62,6.05,30.27
CAPE MORETON LIGHTHOUSE,24/12/2009,7.3,0.6, ,30.6,22.9,87,57,6.55,32.16
CAPE MORETON LIGHTHOUSE,25/12/2009,5.7,0.0, ,28.5,23.7,94,67,8.37,27.18
CAPE MORETON LIGHTHOUSE,26/12/2009,5.0,7.4, ,27.7,22.1,95,72,9.61,24.93
CAPE MORETON LIGHTHOUSE,27/12/2009,4.7,20.2, ,27.7,22.7,97,75,10.42,24.26
CAPE MORETON LIGHTHOUSE,28/12/2009,4.3,8.8, ,26.6,21.8,97,81,6.14,24.17
CAPE MORETON LIGHTHOUSE,29/12/2009,4.8,5.6, ,27.7,22.5,97,79,6.36,26.37
CAPE MORETON LIGHTHOUSE,30/12/2009,6.7,1.6, ,28.9,23.3,84,62,8.76,28.77
CAPE MORETON LIGHTHOUSE,31/12/2009,7.0, , ,28.9,23.0,82,61,9.78,29.70
Totals:,,187.1,58.6, ,,,,,, 
