'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/03/2010,2.1,15.0, ,23.3,21.1,99,84,8.47,9.40
CAPE MORETON LIGHTHOUSE,02/03/2010,2.8,44.4, ,24.4,20.9,99,73,16.63,7.33
CAPE MORETON LIGHTHOUSE,03/03/2010,4.5,5.6, ,26.5,20.1,90,72,16.04,19.34
CAPE MORETON LIGHTHOUSE,04/03/2010,4.2,0.2, ,25.4,21.4,93,69,13.90,16.30
CAPE MORETON LIGHTHOUSE,05/03/2010,4.5,0.8, ,27.4,21.7,90,75,12.16,21.14
CAPE MORETON LIGHTHOUSE,06/03/2010,4.5,0.2, ,27.4,23.2,93,73,12.43,20.55
CAPE MORETON LIGHTHOUSE,07/03/2010,6.4,0.0, ,28.1,24.0,75,64,9.56,24.95
CAPE MORETON LIGHTHOUSE,08/03/2010,5.5,0.0, ,27.8,24.6,78,62,5.65,22.25
CAPE MORETON LIGHTHOUSE,09/03/2010,5.2, , ,28.3,22.9,89,71,4.51,26.64
CAPE MORETON LIGHTHOUSE,10/03/2010,5.5,0.0, ,29.3,24.1,93,67,5.81,26.34
CAPE MORETON LIGHTHOUSE,11/03/2010,4.1,20.0, ,25.8,20.6,97,71,13.40,19.59
CAPE MORETON LIGHTHOUSE,12/03/2010,5.2,22.2, ,25.3,21.1,97,61,19.95,23.83
CAPE MORETON LIGHTHOUSE,13/03/2010,5.2,0.2, ,25.0,20.2,90,63,17.78,21.37
CAPE MORETON LIGHTHOUSE,14/03/2010,5.8,0.4, ,25.8,19.8,88,59,14.04,25.21
CAPE MORETON LIGHTHOUSE,15/03/2010,4.8,1.0, ,26.3,21.1,92,63,11.08,18.70
CAPE MORETON LIGHTHOUSE,16/03/2010,4.8,18.6, ,25.6,19.6,93,61,12.56,18.77
CAPE MORETON LIGHTHOUSE,17/03/2010,6.2,1.0, ,25.9,21.0,79,61,13.95,25.46
CAPE MORETON LIGHTHOUSE,18/03/2010,6.5,0.0, ,26.0,22.8,79,56,13.65,24.29
CAPE MORETON LIGHTHOUSE,19/03/2010,7.9,0.0, ,27.1,21.7,67,46,12.40,25.82
CAPE MORETON LIGHTHOUSE,20/03/2010,5.7,0.0, ,26.7,22.6,88,54,10.93,20.15
CAPE MORETON LIGHTHOUSE,21/03/2010,3.9,0.0, ,26.1,21.3,94,66,7.46,16.29
CAPE MORETON LIGHTHOUSE,22/03/2010,3.1,2.6, ,25.8,22.1,93,72,2.62,14.70
CAPE MORETON LIGHTHOUSE,23/03/2010,4.5,0.0, ,27.6,22.1,87,66,4.31,21.14
CAPE MORETON LIGHTHOUSE,24/03/2010,5.0, , ,27.3,22.5,89,62,7.99,21.07
CAPE MORETON LIGHTHOUSE,25/03/2010,6.1,0.0, ,26.9,23.2,74,62,9.58,23.80
CAPE MORETON LIGHTHOUSE,26/03/2010,5.6,0.0, ,27.1,23.0,73,59,6.17,23.16
CAPE MORETON LIGHTHOUSE,27/03/2010,4.8,0.0, ,27.7,21.0,86,63,4.45,22.99
CAPE MORETON LIGHTHOUSE,28/03/2010,5.1,0.0, ,27.2,23.0,88,64,7.58,22.69
CAPE MORETON LIGHTHOUSE,29/03/2010,5.3,0.6, ,28.8,21.7,88,59,6.99,22.22
CAPE MORETON LIGHTHOUSE,30/03/2010,4.0,0.6, ,26.5,21.7,88,69,6.34,17.42
CAPE MORETON LIGHTHOUSE,31/03/2010,4.2,4.6, ,26.2,21.7,85,69,5.17,19.71
Totals:,,153,138, ,,,,,, 
