'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/04/2010,3.3,2.2, ,24.1,20.3,95,76,6.16,18.45
CAPE MORETON LIGHTHOUSE,02/04/2010,4.3,3.6, ,25.3,20.9,90,72,9.18,22.73
CAPE MORETON LIGHTHOUSE,03/04/2010,4.9,1.2, ,25.0,21.4,86,66,10.79,23.41
CAPE MORETON LIGHTHOUSE,04/04/2010,4.1,6.2, ,23.1,19.6,94,65,10.82,21.16
CAPE MORETON LIGHTHOUSE,05/04/2010,4.8,3.8, ,24.6,19.3,81,66,8.38,23.05
CAPE MORETON LIGHTHOUSE,06/04/2010,5.5,0.0, ,27.0,20.8,76,53,6.67,21.49
CAPE MORETON LIGHTHOUSE,07/04/2010,5.0,0.0, ,26.8,21.9,73,54,4.55,21.39
CAPE MORETON LIGHTHOUSE,08/04/2010,4.5,0.0, ,26.5,22.1,87,71,7.29,22.41
CAPE MORETON LIGHTHOUSE,09/04/2010,4.7,0.0, ,26.9,22.5,90,61,7.15,20.74
CAPE MORETON LIGHTHOUSE,10/04/2010,4.2,0.0, ,27.5,23.0,91,74,5.71,21.32
CAPE MORETON LIGHTHOUSE,11/04/2010,4.0, , ,28.1,23.7,95,78,6.14,20.97
CAPE MORETON LIGHTHOUSE,12/04/2010,3.5,0.0, ,26.7,23.3,88,70,5.96,13.78
CAPE MORETON LIGHTHOUSE,13/04/2010,3.7,21.6, ,22.9,18.7,97,54,11.63,7.55
CAPE MORETON LIGHTHOUSE,14/04/2010,3.7,0.0, ,24.5,19.7,92,69,9.88,16.30
CAPE MORETON LIGHTHOUSE,15/04/2010,4.2,2.8, ,24.3,19.2,87,65,8.88,18.92
CAPE MORETON LIGHTHOUSE,16/04/2010,4.3,1.4, ,24.4,18.7,89,65,12.54,18.24
CAPE MORETON LIGHTHOUSE,17/04/2010,3.7,1.2, ,24.8,19.6,92,66,11.33,13.08
CAPE MORETON LIGHTHOUSE,18/04/2010,4.5,7.0, ,25.2,18.9,89,62,10.29,20.01
CAPE MORETON LIGHTHOUSE,19/04/2010,5.3,0.6, ,25.1,19.6,82,58,12.70,19.52
CAPE MORETON LIGHTHOUSE,20/04/2010, ,0.0, , ,22.0,86,65,10.73,17.93
CAPE MORETON LIGHTHOUSE,21/04/2010,3.5, , ,24.6,20.1,96,67,11.28,13.13
CAPE MORETON LIGHTHOUSE,22/04/2010,4.5,0.4, ,25.9,20.9,84,62,9.14,17.40
CAPE MORETON LIGHTHOUSE,23/04/2010,4.6,0.0, ,26.4,22.5,81,64,7.45,18.71
CAPE MORETON LIGHTHOUSE,24/04/2010,4.1,0.6, ,26.0,21.8,91,61,6.25,18.09
CAPE MORETON LIGHTHOUSE,25/04/2010,3.7,1.2, ,25.8,20.9,92,73,6.43,19.96
CAPE MORETON LIGHTHOUSE,26/04/2010,6.0,0.2, ,22.6,19.2,69,41,10.14,20.50
CAPE MORETON LIGHTHOUSE,27/04/2010,4.1, , ,24.7,18.5,80,60,6.05,18.49
CAPE MORETON LIGHTHOUSE,28/04/2010,3.6,0.0, ,26.0,19.9,85,66,4.16,18.08
CAPE MORETON LIGHTHOUSE,29/04/2010,3.8,0.0, ,26.1,20.3,90,65,4.71,19.63
CAPE MORETON LIGHTHOUSE,30/04/2010,4.8,0.0, ,25.0,19.7,86,50,7.46,19.78
Totals:,,124.9,54, ,,,,,, 
