'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/06/2010,3.0,0.0, ,20.5,13.5,85,57,5.72,16.10
CAPE MORETON LIGHTHOUSE,02/06/2010,2.2,0.0, ,21.1,15.7,98,71,5.13,14.26
CAPE MORETON LIGHTHOUSE,03/06/2010,2.5,0.0, ,20.7,15.3,93,63,4.77,14.33
CAPE MORETON LIGHTHOUSE,04/06/2010,3.1,0.0, ,20.4,14.7,86,55,6.03,15.89
CAPE MORETON LIGHTHOUSE,05/06/2010,3.5,0.0, ,22.1,16.0,78,53,5.78,15.84
CAPE MORETON LIGHTHOUSE,06/06/2010,4.2,0.0, ,20.2,15.9,71,40,6.77,16.07
CAPE MORETON LIGHTHOUSE,07/06/2010,3.3,0.0, ,19.2,12.9,80,56,7.99,14.99
CAPE MORETON LIGHTHOUSE,08/06/2010,2.9,0.2, ,19.8,16.2,87,66,8.59,14.00
CAPE MORETON LIGHTHOUSE,09/06/2010,2.8,7.6, ,21.3,16.2,94,47,3.88,15.38
CAPE MORETON LIGHTHOUSE,10/06/2010,4.0,0.0, ,17.5,13.1,62,44,7.60,14.58
CAPE MORETON LIGHTHOUSE,11/06/2010,2.6,0.0, ,19.2,13.5,81,55,4.51,12.47
CAPE MORETON LIGHTHOUSE,12/06/2010,3.3,0.0, ,17.5,10.5,65,49,5.85,15.85
CAPE MORETON LIGHTHOUSE,13/06/2010,3.4,0.0, ,20.7,13.3,84,64,12.52,13.82
CAPE MORETON LIGHTHOUSE,14/06/2010,4.0,0.0, ,20.9,16.8,90,52,14.11,13.80
CAPE MORETON LIGHTHOUSE,15/06/2010,3.8,1.2, ,20.7,16.2,93,53,13.74,14.76
CAPE MORETON LIGHTHOUSE,16/06/2010,2.9,1.8, ,19.9,15.9,94,61,10.88,11.38
CAPE MORETON LIGHTHOUSE,17/06/2010,2.3,1.0, ,21.1,15.7,92,69,4.27,14.12
CAPE MORETON LIGHTHOUSE,18/06/2010,2.5,0.0, ,22.0,17.4,88,61,3.61,13.21
CAPE MORETON LIGHTHOUSE,19/06/2010,2.5,0.4, ,18.9,15.4,85,53,4.27,11.62
CAPE MORETON LIGHTHOUSE,20/06/2010,3.0,0.0, ,19.2,12.8,76,59,6.22,15.43
CAPE MORETON LIGHTHOUSE,21/06/2010,2.9,0.0, ,20.0,15.2,89,66,9.26,15.10
CAPE MORETON LIGHTHOUSE,22/06/2010,3.2,0.0, ,20.6,15.7,93,62,13.15,14.14
CAPE MORETON LIGHTHOUSE,23/06/2010,3.0,4.6, ,19.8,14.6,97,60,12.69,11.67
CAPE MORETON LIGHTHOUSE,24/06/2010,3.3,1.8, ,20.5,15.6,89,60,10.94,13.35
CAPE MORETON LIGHTHOUSE,25/06/2010,2.6,0.0, ,20.8,17.3,93,65,7.17,12.11
CAPE MORETON LIGHTHOUSE,26/06/2010,1.9,11.4, ,20.6,15.9,96,73,3.97,12.50
CAPE MORETON LIGHTHOUSE,27/06/2010,2.6,0.6, ,21.5,15.9,86,65,5.06,14.10
CAPE MORETON LIGHTHOUSE,28/06/2010,2.8, , ,18.2,11.1,72,54,4.77,15.47
CAPE MORETON LIGHTHOUSE,29/06/2010,2.8,0.0, ,17.2,12.2,85,38,4.68,12.75
CAPE MORETON LIGHTHOUSE,30/06/2010,2.2,0.0, ,17.2,12.4,88,39,2.88,10.18
Totals:,,89.1,30.6, ,,,,,, 
