'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for July 2010,,,,,,,,,,
Issued at 04:30 GMT on Sunday 01 August 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/07/2010,2.6,0.6, ,18.9,13.7,89,61,7.02,11.35
CAPE MORETON LIGHTHOUSE,02/07/2010,2.2,0.0, ,19.7,15.5,89,70,8.52,4.53
CAPE MORETON LIGHTHOUSE,03/07/2010,2.8,1.4, ,16.4,13.1,97,45,7.15,14.88
CAPE MORETON LIGHTHOUSE,04/07/2010,3.0,0.0, ,17.8,11.4,86,56,8.64,15.08
CAPE MORETON LIGHTHOUSE,05/07/2010,2.5,0.0, ,19.2,14.5,88,72,8.66,13.25
CAPE MORETON LIGHTHOUSE,06/07/2010,2.3,1.6, ,20.2,15.6,93,64,4.87,11.46
CAPE MORETON LIGHTHOUSE,07/07/2010,2.5,1.6, ,16.4,13.8,82,52,5.33,8.31
CAPE MORETON LIGHTHOUSE,08/07/2010,2.3,0.0, ,18.5,13.4,91,72,11.48,10.73
CAPE MORETON LIGHTHOUSE,09/07/2010,2.7,0.4, ,19.2,14.9,94,68,14.57,13.08
CAPE MORETON LIGHTHOUSE,10/07/2010,3.2,11.6, ,20.1,15.2,93,53,9.45,10.38
CAPE MORETON LIGHTHOUSE,11/07/2010,2.5,0.2, ,20.2,16.1,88,61,5.15,11.47
CAPE MORETON LIGHTHOUSE,12/07/2010,2.4,0.0, ,21.8,16.7,84,64,3.38,12.96
CAPE MORETON LIGHTHOUSE,13/07/2010,2.7,0.0, ,22.7,17.0,85,60,3.65,14.14
CAPE MORETON LIGHTHOUSE,14/07/2010,3.3,0.0, ,21.1,18.2,86,58,8.03,11.20
CAPE MORETON LIGHTHOUSE,15/07/2010,3.8,0.0, ,19.0,12.6,68,44,6.26,16.15
CAPE MORETON LIGHTHOUSE,16/07/2010,3.7, , ,17.8,12.5,63,52,7.14,16.05
CAPE MORETON LIGHTHOUSE,17/07/2010,3.3,0.0, ,18.6,13.8,80,52,6.99,15.92
CAPE MORETON LIGHTHOUSE,18/07/2010,2.9,0.0, ,20.1,14.4,85,56,4.79,15.77
CAPE MORETON LIGHTHOUSE,19/07/2010,1.8,0.0, ,19.8,17.1,93,78,4.67,9.39
CAPE MORETON LIGHTHOUSE,20/07/2010,2.7,3.0, ,19.1,15.1,91,58,6.07,12.99
CAPE MORETON LIGHTHOUSE,21/07/2010,3.4,0.0, ,17.6,13.8,72,53,6.80,14.16
CAPE MORETON LIGHTHOUSE,22/07/2010,3.7,0.0, ,17.4,11.6,76,45,7.81,16.38
CAPE MORETON LIGHTHOUSE,23/07/2010,3.3,0.0, ,18.3,12.6,89,53,9.58,14.55
CAPE MORETON LIGHTHOUSE,24/07/2010,1.6,12.6, ,17.8,14.1,98,80,6.85,10.68
CAPE MORETON LIGHTHOUSE,25/07/2010,1.8,17.0, ,19.0,15.1,97,77,5.36,10.33
CAPE MORETON LIGHTHOUSE,26/07/2010,2.4,13.2, ,20.3,15.0,95,71,7.64,12.88
CAPE MORETON LIGHTHOUSE,27/07/2010,2.6,1.2, ,20.9,15.2,94,68,10.05,10.11
CAPE MORETON LIGHTHOUSE,28/07/2010,2.9,11.4, ,22.2,16.4,98,65,9.16,13.02
CAPE MORETON LIGHTHOUSE,29/07/2010,1.9,37.8, ,21.6,17.2,100,82,7.59,11.70
CAPE MORETON LIGHTHOUSE,30/07/2010, ,0.0, ,22.4,18.9,98,81,5.43, 
CAPE MORETON LIGHTHOUSE,31/07/2010, ,0.0, ,22.5,19.6,97,78,8.56, 
Totals:,,78.8,113.6, ,,,,,, 
