'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for August 2010,,,,,,,,,,
Issued at 04:30 GMT on Wednesday 01 September 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/08/2010,3.0,0.0, ,21.0,16.5,80,58,5.32,10.18
CAPE MORETON LIGHTHOUSE,02/08/2010,4.7,0.0, ,18.3,14.0,64,32,7.39,17.90
CAPE MORETON LIGHTHOUSE,03/08/2010,4.2,0.0, ,18.2,10.2,68,47,8.97,17.69
CAPE MORETON LIGHTHOUSE,04/08/2010, ,0.0, , ,12.7,75,47,5.29,18.08
CAPE MORETON LIGHTHOUSE,05/08/2010, , , ,21.5, ,80,45,4.78,14.96
CAPE MORETON LIGHTHOUSE,06/08/2010,4.2,0.0, ,19.9,14.6,84,28,5.68,17.98
CAPE MORETON LIGHTHOUSE,07/08/2010,3.9,0.0, ,17.6,10.9,69,40,6.23,18.54
CAPE MORETON LIGHTHOUSE,08/08/2010,3.4,0.0, ,20.2,11.8,76,54,5.14,17.26
CAPE MORETON LIGHTHOUSE,09/08/2010,4.2,0.0, ,22.4,16.8,91,46,8.49,15.27
CAPE MORETON LIGHTHOUSE,10/08/2010,2.5,1.2, ,20.7,17.2,100,60,10.15,3.72
CAPE MORETON LIGHTHOUSE,11/08/2010,2.3,54.6, ,17.8,16.8,100,52,5.74,7.19
CAPE MORETON LIGHTHOUSE,12/08/2010,4.9,0.0, ,18.6,12.9,62,38,8.22,18.99
CAPE MORETON LIGHTHOUSE,13/08/2010,4.4,0.0, ,18.0,10.6,64,39,7.30,19.12
CAPE MORETON LIGHTHOUSE,14/08/2010,3.8,0.0, ,19.6,12.1,68,52,5.32,19.30
CAPE MORETON LIGHTHOUSE,15/08/2010,4.9,0.0, ,21.3,16.5,80,43,9.28,19.06
CAPE MORETON LIGHTHOUSE,16/08/2010,4.3,0.0, ,20.7,13.8,70,37,5.17,19.30
CAPE MORETON LIGHTHOUSE,17/08/2010,4.4,0.0, ,21.5,13.0,72,41,5.41,19.66
CAPE MORETON LIGHTHOUSE,18/08/2010,4.3,0.0, ,21.8,16.9,74,47,5.63,19.17
CAPE MORETON LIGHTHOUSE,19/08/2010,3.3,0.0, ,23.0,18.2,90,74,7.80,18.48
CAPE MORETON LIGHTHOUSE,20/08/2010,1.5,2.2, ,17.3,16.6,93,78,5.89,4.00
CAPE MORETON LIGHTHOUSE,21/08/2010,3.9,4.8, ,19.7,12.1,87,40,5.06,20.52
CAPE MORETON LIGHTHOUSE,22/08/2010, ,0.0, , ,11.8,73,53,7.36,20.39
CAPE MORETON LIGHTHOUSE,23/08/2010,2.6, , ,20.6,16.1,98,58,7.75,6.28
CAPE MORETON LIGHTHOUSE,24/08/2010,3.4,10.0, ,19.9,15.0,94,53,6.51,16.81
CAPE MORETON LIGHTHOUSE,25/08/2010,2.3,0.2, ,16.7,13.6,86,59,6.39,4.52
CAPE MORETON LIGHTHOUSE,26/08/2010,3.6,1.0, ,17.8,13.7,79,43,6.92,10.19
CAPE MORETON LIGHTHOUSE,27/08/2010,5.1,0.0, ,20.5,14.0,55,40,6.12,21.39
CAPE MORETON LIGHTHOUSE,28/08/2010,4.4,0.0, ,19.8,13.5,66,41,5.33,20.46
CAPE MORETON LIGHTHOUSE,29/08/2010,3.4,0.0, ,19.2,15.2,90,58,8.70,14.57
CAPE MORETON LIGHTHOUSE,30/08/2010, ,1.6, ,20.1,14.8,86,62,7.55, 
CAPE MORETON LIGHTHOUSE,31/08/2010, ,1.8, ,22.0,14.7,91,60,4.00, 
Totals:,,96.9,77.4, ,,,,,, 
