'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for October 2010,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 November 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/10/2010,4.8,0.0, ,21.2,17.6,82,50,11.60,13.96
CAPE MORETON LIGHTHOUSE,02/10/2010,4.1,0.0, ,21.5,16.6,91,58,9.37,17.81
CAPE MORETON LIGHTHOUSE,03/10/2010,2.4,2.2, ,22.4,17.6,100,73,7.32,9.59
CAPE MORETON LIGHTHOUSE,04/10/2010,3.8,23.0, ,24.0,17.8,100,78,3.81,23.68
CAPE MORETON LIGHTHOUSE,05/10/2010,4.4,0.2, ,24.7,19.5,97,69,5.67,25.39
CAPE MORETON LIGHTHOUSE,06/10/2010,4.8,0.0, ,24.8,17.6,90,62,5.66,25.33
CAPE MORETON LIGHTHOUSE,07/10/2010,4.4,0.0, ,24.8,19.4,93,71,3.60,24.91
CAPE MORETON LIGHTHOUSE,08/10/2010,1.7,2.2, ,22.1,20.5,99,87,10.76,7.66
CAPE MORETON LIGHTHOUSE,09/10/2010,2.9,32.4, ,19.3,17.4,98,68,18.40,11.04
CAPE MORETON LIGHTHOUSE,10/10/2010,1.8,4.8, ,20.9,15.7,100,85,19.64,11.34
CAPE MORETON LIGHTHOUSE,11/10/2010,2.3,29.6, ,21.4,17.2,100,84,16.58,15.67
CAPE MORETON LIGHTHOUSE,12/10/2010,4.6,2.8, ,22.2,18.3,90,62,13.64,21.66
CAPE MORETON LIGHTHOUSE,13/10/2010,5.7,0.2, ,23.2,18.3,84,53,9.53,26.68
CAPE MORETON LIGHTHOUSE,14/10/2010,4.9,0.0, ,23.8,19.4,83,64,6.42,24.39
CAPE MORETON LIGHTHOUSE,15/10/2010,3.3,0.0, ,23.5,20.4,97,72,12.54,14.52
CAPE MORETON LIGHTHOUSE,16/10/2010,5.4,32.0, ,20.2,14.1,99,37,9.34,29.13
CAPE MORETON LIGHTHOUSE,17/10/2010,5.7,0.0, ,21.3,11.4,66,41,5.32,29.57
CAPE MORETON LIGHTHOUSE,18/10/2010,5.1,0.0, ,22.9,14.9,77,53,3.87,27.64
CAPE MORETON LIGHTHOUSE,19/10/2010,5.1,0.0, ,23.5,16.2,84,61,5.16,28.59
CAPE MORETON LIGHTHOUSE,20/10/2010,5.6,0.0, ,23.4,19.1,76,57,8.80,23.87
CAPE MORETON LIGHTHOUSE,21/10/2010,4.9,0.0, ,22.8,18.3,81,53,7.49,19.73
CAPE MORETON LIGHTHOUSE,22/10/2010,5.4,0.4, ,23.9,18.2,80,58,5.40,27.31
CAPE MORETON LIGHTHOUSE,23/10/2010,5.2,0.0, ,24.0,18.1,81,61,3.88,28.19
CAPE MORETON LIGHTHOUSE,24/10/2010,5.0,0.0, ,24.6,18.5,93,68,5.34,28.75
CAPE MORETON LIGHTHOUSE,25/10/2010,4.5,21.4, ,24.0,17.9,99,71,4.71,27.32
CAPE MORETON LIGHTHOUSE,26/10/2010,4.4,0.0, ,24.4,19.8,92,76,6.12,25.57
CAPE MORETON LIGHTHOUSE,27/10/2010,4.8,0.0, ,24.9,18.9,94,71,5.28,28.04
CAPE MORETON LIGHTHOUSE,28/10/2010,5.4,0.4, ,24.5,20.0,84,68,6.53,29.01
CAPE MORETON LIGHTHOUSE,29/10/2010,5.9,0.0, ,24.7,20.3,78,62,7.51,28.63
CAPE MORETON LIGHTHOUSE,30/10/2010,5.8,0.0, ,25.1,19.6,77,61,5.36,29.25
CAPE MORETON LIGHTHOUSE,31/10/2010,5.3,0.0, ,24.2,20.0,71,57,4.94,23.32
Totals:,,139.4,151.6, ,,,,,, 
