'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for November 2010,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 December 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/11/2010,4.2,0.0, ,23.5,19.6,73,57,3.52,17.12
CAPE MORETON LIGHTHOUSE,02/11/2010,6.6,0.0, ,25.9,18.5,86,39,5.48,30.48
CAPE MORETON LIGHTHOUSE,03/11/2010,6.7,0.0, ,26.0,17.0,72,50,7.03,30.47
CAPE MORETON LIGHTHOUSE,04/11/2010,3.4,0.0, ,21.1,20.8,94,62,7.57,12.47
CAPE MORETON LIGHTHOUSE,05/11/2010,4.3,2.2, ,22.2,17.7,92,61,6.88,21.02
CAPE MORETON LIGHTHOUSE,06/11/2010,4.9,0.4, ,24.2,18.2,92,64,6.66,26.35
CAPE MORETON LIGHTHOUSE,07/11/2010,5.2,0.0, ,25.2,17.8,91,68,8.79,28.64
CAPE MORETON LIGHTHOUSE,08/11/2010,4.7,0.0, ,24.1,21.4,85,68,9.09,20.74
CAPE MORETON LIGHTHOUSE,09/11/2010,5.5,0.0, ,25.4,20.5,88,66,9.60,27.85
CAPE MORETON LIGHTHOUSE,10/11/2010,6.1,0.0, ,25.6,20.9,76,61,7.39,28.22
CAPE MORETON LIGHTHOUSE,11/11/2010,4.9,0.0, ,25.7,20.4,89,67,4.72,24.91
CAPE MORETON LIGHTHOUSE,12/11/2010,5.9,0.0, ,26.8,20.5,91,61,6.02,30.20
CAPE MORETON LIGHTHOUSE,13/11/2010,6.4,0.0, ,25.9,22.1,81,62,8.48,30.38
CAPE MORETON LIGHTHOUSE,14/11/2010,6.6,0.2, ,26.7,21.7,78,61,7.92,30.65
CAPE MORETON LIGHTHOUSE,15/11/2010, , , ,27.0, ,75,56,5.82,30.52
CAPE MORETON LIGHTHOUSE,16/11/2010,5.9,1.4, ,26.3,21.1,85,59,7.20,26.62
CAPE MORETON LIGHTHOUSE,17/11/2010,6.3,0.2, ,27.3,21.5,84,60,6.24,29.95
CAPE MORETON LIGHTHOUSE,18/11/2010,4.4,0.0, ,25.6,22.5,93,65,4.99,19.89
CAPE MORETON LIGHTHOUSE,19/11/2010,3.6,28.2, ,24.2,18.9,99,80,8.19,21.75
CAPE MORETON LIGHTHOUSE,20/11/2010,3.8,3.0, ,22.7,18.7,98,67,14.62,17.82
CAPE MORETON LIGHTHOUSE,21/11/2010,5.7,0.4, ,24.2,19.7,76,60,12.43,19.76
CAPE MORETON LIGHTHOUSE,22/11/2010,6.5,0.2, ,24.4,20.1,78,58,13.01,29.01
CAPE MORETON LIGHTHOUSE,23/11/2010,6.3,0.0, ,24.7,19.7,81,58,13.93,26.80
CAPE MORETON LIGHTHOUSE,24/11/2010,6.8,0.0, ,25.4,20.0,74,55,12.07,27.11
CAPE MORETON LIGHTHOUSE,25/11/2010,6.6,0.0, ,25.6,21.4,85,50,10.62,26.37
CAPE MORETON LIGHTHOUSE,26/11/2010,6.2,1.0, ,26.1,18.7,88,54,10.19,26.68
CAPE MORETON LIGHTHOUSE,27/11/2010,7.0,2.4, ,25.6,20.0,73,56,10.09,30.61
CAPE MORETON LIGHTHOUSE,28/11/2010,6.8,0.0, ,25.8,21.8,70,49,7.62,25.06
CAPE MORETON LIGHTHOUSE,29/11/2010,5.7,2.2, ,26.1,21.0,84,63,5.85,27.39
CAPE MORETON LIGHTHOUSE,30/11/2010,6.0,2.2, ,27.2,20.8,84,60,8.88,25.60
Totals:,,163,44, ,,,,,, 
