'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for December 2010,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 January 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/12/2010,3.6,0.0, ,24.2,21.6,98,69,11.40,14.48
CAPE MORETON LIGHTHOUSE,02/12/2010,4.9,22.0, ,25.3,19.4,84,70,9.41,22.57
CAPE MORETON LIGHTHOUSE,03/12/2010,3.9,0.0, ,23.3,21.5,93,68,9.52,16.44
CAPE MORETON LIGHTHOUSE,04/12/2010,3.4,0.4, ,23.3,20.3,96,72,11.61,13.90
CAPE MORETON LIGHTHOUSE,05/12/2010,2.9,84.0, ,23.8,19.1,100,84,8.94,18.29
CAPE MORETON LIGHTHOUSE,06/12/2010,2.9,7.0, ,25.8,18.7,98,86,10.79,16.90
CAPE MORETON LIGHTHOUSE,07/12/2010,5.0,4.8, ,26.0,21.2,92,78,9.09,29.55
CAPE MORETON LIGHTHOUSE,08/12/2010,5.6,0.0, ,27.1,22.4,90,72,8.83,28.75
CAPE MORETON LIGHTHOUSE,09/12/2010,6.1,0.0, ,26.6,22.8,85,69,6.94,31.11
CAPE MORETON LIGHTHOUSE,10/12/2010,6.0,0.0, ,27.2,23.1,90,73,8.09,32.50
CAPE MORETON LIGHTHOUSE,11/12/2010,4.9,0.0, ,27.3,23.6,100,77,9.11,27.90
CAPE MORETON LIGHTHOUSE,12/12/2010,2.5,37.0, ,25.5,20.2,99,91,5.46,14.42
CAPE MORETON LIGHTHOUSE,13/12/2010,5.4,30.8, ,26.6,21.2,91,75,7.63,30.62
CAPE MORETON LIGHTHOUSE,14/12/2010,5.3,0.6, ,26.5,22.1,90,77,9.06,29.53
CAPE MORETON LIGHTHOUSE,15/12/2010,6.5,0.0, ,28.6,20.7,91,62,5.64,32.80
CAPE MORETON LIGHTHOUSE,16/12/2010,4.8,2.8, ,28.1,23.2,93,78,8.66,24.48
CAPE MORETON LIGHTHOUSE,17/12/2010,5.5,9.0, ,28.7,20.0,97,67,7.70,27.66
CAPE MORETON LIGHTHOUSE,18/12/2010,5.7,6.8, ,28.1,22.5,93,53,4.29,24.96
CAPE MORETON LIGHTHOUSE,19/12/2010,3.3,8.8, ,23.7,21.5,100,64,6.06,13.48
CAPE MORETON LIGHTHOUSE,20/12/2010,7.1,53.0, ,27.8,18.0,100,35,5.96,31.74
CAPE MORETON LIGHTHOUSE,21/12/2010,7.5,0.0, ,26.3,19.0,78,38,7.70,30.25
CAPE MORETON LIGHTHOUSE,22/12/2010,3.0,1.8, ,28.1,20.6,100,71,10.69,7.03
CAPE MORETON LIGHTHOUSE,23/12/2010,3.6,38.6, ,28.3,20.3,98,77,8.36,16.33
CAPE MORETON LIGHTHOUSE,24/12/2010,2.5,4.0, ,25.2,22.8,100,84,11.29,12.27
CAPE MORETON LIGHTHOUSE,25/12/2010,4.2,3.8, ,27.1,23.0,91,77,8.01,19.39
CAPE MORETON LIGHTHOUSE,26/12/2010,2.5,3.8, ,24.7,22.0,100,76,8.81,8.84
CAPE MORETON LIGHTHOUSE,27/12/2010,1.7,13.2, ,25.2,21.7,100,87,10.86,6.32
CAPE MORETON LIGHTHOUSE,28/12/2010,2.7,36.2, ,22.9,21.4,97,75,17.37,7.95
CAPE MORETON LIGHTHOUSE,29/12/2010,4.1,5.6, ,24.7,20.2,97,68,14.72,17.43
CAPE MORETON LIGHTHOUSE,30/12/2010,5.1,1.8, ,26.0,21.1,94,78,10.89,32.20
CAPE MORETON LIGHTHOUSE,31/12/2010,6.6,0.0, ,26.3,23.0,85,63,12.65,31.16
Totals:,,138.8,375.8, ,,,,,, 
