'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/03/2011,5.9,0.0, ,28.8,24.3,88,70,7.71,28.39
CAPE MORETON LIGHTHOUSE,02/03/2011,5.2,0.6, ,28.8,22.6,94,72,6.33,26.69
CAPE MORETON LIGHTHOUSE,03/03/2011,5.7,0.2, ,30.5,25.1,96,69,6.17,26.91
CAPE MORETON LIGHTHOUSE,04/03/2011,1.8,13.0, ,24.2,22.6,100,91,5.50,9.89
CAPE MORETON LIGHTHOUSE,05/03/2011,3.4,35.4, ,25.5,21.9,98,69,14.80,10.24
CAPE MORETON LIGHTHOUSE,06/03/2011,6.6,3.4, ,24.7,20.7,75,56,17.90,22.32
CAPE MORETON LIGHTHOUSE,07/03/2011,5.4,0.0, ,24.9,21.1,84,58,13.42,17.85
CAPE MORETON LIGHTHOUSE,08/03/2011,6.3,0.2, ,25.9,20.6,76,56,10.68,24.53
CAPE MORETON LIGHTHOUSE,09/03/2011,6.7,0.0, ,27.5,21.9,76,45,7.98,22.93
CAPE MORETON LIGHTHOUSE,10/03/2011,4.7,0.0, ,27.2,22.7,81,62,6.59,16.25
CAPE MORETON LIGHTHOUSE,11/03/2011,6.2,0.0, ,28.5,22.9,78,61,7.54,25.68
CAPE MORETON LIGHTHOUSE,12/03/2011,4.7,0.0, ,26.4,24.0,81,68,9.37,15.93
CAPE MORETON LIGHTHOUSE,13/03/2011,5.1,0.0, ,27.4,23.4,87,69,9.88,21.61
CAPE MORETON LIGHTHOUSE,14/03/2011,5.9,0.2, ,27.1,23.6,84,63,9.40,25.79
CAPE MORETON LIGHTHOUSE,15/03/2011,5.8,0.0, ,27.7,23.4,84,64,7.88,26.42
CAPE MORETON LIGHTHOUSE,16/03/2011,4.8,0.0, ,28.5,23.5,83,63,4.63,19.83
CAPE MORETON LIGHTHOUSE,17/03/2011,4.7,0.0, ,28.5,23.3,82,62,4.20,19.41
CAPE MORETON LIGHTHOUSE,18/03/2011,4.0,0.0, ,27.7,23.9,81,67,3.59,16.58
CAPE MORETON LIGHTHOUSE,19/03/2011,2.0,0.0, ,24.4,21.4,99,79,7.81,6.56
CAPE MORETON LIGHTHOUSE,20/03/2011,2.5,17.4, ,25.4,20.9,100,88,8.28,15.92
CAPE MORETON LIGHTHOUSE,21/03/2011,3.9,2.8, ,28.1,22.2,100,80,3.85,21.57
CAPE MORETON LIGHTHOUSE,22/03/2011,4.5,0.2, ,29.0,23.9,99,79,4.14,24.50
CAPE MORETON LIGHTHOUSE,23/03/2011,6.1,0.0, ,29.8,23.3,86,45,4.66,25.19
CAPE MORETON LIGHTHOUSE,24/03/2011,6.1,0.0, ,30.0,23.2,83,41,4.23,25.23
CAPE MORETON LIGHTHOUSE,25/03/2011,6.5,0.0, ,28.3,21.8,68,36,4.60,25.39
CAPE MORETON LIGHTHOUSE,26/03/2011,5.5,0.0, ,27.1,21.2,96,54,10.37,22.63
CAPE MORETON LIGHTHOUSE,27/03/2011,4.7,10.2, ,24.7,20.7,92,61,16.25,15.38
CAPE MORETON LIGHTHOUSE,28/03/2011,5.2,0.2, ,25.7,20.9,83,59,12.15,16.53
CAPE MORETON LIGHTHOUSE,29/03/2011,5.2,0.0, ,25.1,22.7,79,61,12.35,14.73
CAPE MORETON LIGHTHOUSE,30/03/2011,2.4,0.2, ,24.6,21.5,97,74,6.81,7.71
CAPE MORETON LIGHTHOUSE,31/03/2011,3.9,9.6, ,26.0,20.2,96,66,7.45,17.78
Totals:,,151.4,93.6, ,,,,,, 
