'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 May 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/04/2011,4.1,0.4, ,26.4,21.6,93,61,10.85,11.42
CAPE MORETON LIGHTHOUSE,02/04/2011,5.1,1.6, ,26.3,19.3,78,62,7.26,22.42
CAPE MORETON LIGHTHOUSE,03/04/2011,4.8,0.4, ,25.1,20.2,88,61,12.33,17.83
CAPE MORETON LIGHTHOUSE,04/04/2011,6.3, , ,25.3,21.1,78,51,12.84,21.96
CAPE MORETON LIGHTHOUSE,05/04/2011,3.7,21.2, ,23.8,18.2,97,68,13.49,18.10
CAPE MORETON LIGHTHOUSE,06/04/2011,6.0,0.8, ,24.2,20.1,75,56,14.37,21.52
CAPE MORETON LIGHTHOUSE,07/04/2011,4.8, , ,24.3,18.1,94,57,12.85,20.49
CAPE MORETON LIGHTHOUSE,08/04/2011,3.2,1.6, ,23.2,19.2,95,69,13.03,11.58
CAPE MORETON LIGHTHOUSE,09/04/2011,4.7,5.8, ,24.6,18.3,85,62,11.05,19.50
CAPE MORETON LIGHTHOUSE,10/04/2011,4.5,0.2, ,26.2,20.6,79,61,4.98,20.23
CAPE MORETON LIGHTHOUSE,11/04/2011,4.8,0.0, ,25.6,20.7,94,52,6.60,21.81
CAPE MORETON LIGHTHOUSE,12/04/2011,4.1,0.8, ,25.8,19.3,89,61,4.03,21.00
CAPE MORETON LIGHTHOUSE,13/04/2011,3.9,0.0, ,25.5,19.2,91,68,4.69,20.99
CAPE MORETON LIGHTHOUSE,14/04/2011,3.9,0.0, ,25.7,19.9,94,68,3.96,21.90
CAPE MORETON LIGHTHOUSE,15/04/2011,4.1,0.0, ,26.3,20.4,94,62,5.50,20.25
CAPE MORETON LIGHTHOUSE,16/04/2011,3.9,0.0, ,25.4,22.2,90,56,7.71,10.85
CAPE MORETON LIGHTHOUSE,17/04/2011,2.6,14.4, ,22.9,18.1,95,75,9.14,11.37
CAPE MORETON LIGHTHOUSE,18/04/2011,3.7,4.4, ,23.5,18.8,91,61,12.93,8.45
CAPE MORETON LIGHTHOUSE,19/04/2011,2.6,3.8, ,24.5,19.3,95,78,10.22,11.31
CAPE MORETON LIGHTHOUSE,20/04/2011,4.0,2.4, ,25.2,20.7,89,67,9.11,16.87
CAPE MORETON LIGHTHOUSE,21/04/2011,4.1,0.0, ,26.7,22.0,84,67,4.51,20.00
CAPE MORETON LIGHTHOUSE,22/04/2011,3.6,0.0, ,26.5,20.9,90,70,3.20,19.78
CAPE MORETON LIGHTHOUSE,23/04/2011,3.7,0.0, ,25.6,20.4,93,71,6.85,19.31
CAPE MORETON LIGHTHOUSE,24/04/2011,4.7,0.0, ,25.5,21.8,83,59,9.05,16.69
CAPE MORETON LIGHTHOUSE,25/04/2011,4.0,0.8, ,24.0,19.4,88,60,10.84,12.39
CAPE MORETON LIGHTHOUSE,26/04/2011,4.5,0.4, ,24.0,19.7,89,58,13.30,15.83
CAPE MORETON LIGHTHOUSE,27/04/2011,5.2,3.4, ,22.6,19.6,80,57,16.47,18.02
CAPE MORETON LIGHTHOUSE,28/04/2011,4.4,0.0, ,23.3,19.1,91,55,13.19,14.86
CAPE MORETON LIGHTHOUSE,29/04/2011,4.2,3.2, ,23.3,17.2,93,58,12.14,17.53
CAPE MORETON LIGHTHOUSE,30/04/2011,3.2,14.2, ,22.7,17.2,93,72,9.19,17.75
Totals:,,126.4,79.8, ,,,,,, 
