'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for May 2011,,,,,,,,,,
Issued at 22:35 GMT on Wednesday 01 June 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/05/2011,4.1,2.0, ,24.1,16.9,86,51,5.22,19.40
CAPE MORETON LIGHTHOUSE,02/05/2011, ,0.0, , ,17.4,87,61,5.03,18.97
CAPE MORETON LIGHTHOUSE,03/05/2011, , , ,24.7, ,96,64,3.91,16.25
CAPE MORETON LIGHTHOUSE,04/05/2011,3.2,15.0, ,21.8,16.1,94,60,4.93,18.69
CAPE MORETON LIGHTHOUSE,05/05/2011,4.3,0.0, ,21.8,16.7,83,58,11.45,18.29
CAPE MORETON LIGHTHOUSE,06/05/2011,3.7,0.6, ,20.9,16.8,91,60,10.84,18.57
CAPE MORETON LIGHTHOUSE,07/05/2011,4.3,0.0, ,21.6,15.9,74,43,5.64,18.85
CAPE MORETON LIGHTHOUSE,08/05/2011,3.1,0.0, ,22.2,16.6,81,57,4.05,15.03
CAPE MORETON LIGHTHOUSE,09/05/2011,2.0,5.0, ,18.4,15.6,95,66,5.07,7.91
CAPE MORETON LIGHTHOUSE,10/05/2011,3.5,3.2, ,20.0,14.2,93,47,5.89,18.16
CAPE MORETON LIGHTHOUSE,11/05/2011,4.3,0.0, ,20.4,13.9,76,36,5.90,18.39
CAPE MORETON LIGHTHOUSE,12/05/2011,4.7,0.0, ,19.5,13.3,57,41,6.99,18.17
CAPE MORETON LIGHTHOUSE,13/05/2011,4.0,0.0, ,19.9,12.5,62,40,4.71,18.25
CAPE MORETON LIGHTHOUSE,14/05/2011,4.1,0.0, ,20.2,15.7,64,39,4.81,18.13
CAPE MORETON LIGHTHOUSE,15/05/2011,3.6,5.8, ,19.5,13.7,89,55,10.80,17.20
CAPE MORETON LIGHTHOUSE,16/05/2011,3.3,9.6, ,20.3,15.1,90,58,8.07,15.77
CAPE MORETON LIGHTHOUSE,17/05/2011,3.3,7.4, ,21.2,15.4,87,64,8.35,17.05
CAPE MORETON LIGHTHOUSE,18/05/2011,3.2,1.6, ,22.4,16.1,89,65,9.65,12.87
CAPE MORETON LIGHTHOUSE,19/05/2011, ,2.8, , ,17.0,94,65,10.07,15.25
CAPE MORETON LIGHTHOUSE,20/05/2011, , , ,23.0, ,91,60,8.75,15.09
CAPE MORETON LIGHTHOUSE,21/05/2011,2.2,3.4, ,22.6,17.6,98,76,6.69,11.64
CAPE MORETON LIGHTHOUSE,22/05/2011,2.3,10.6, ,21.8,17.5,96,71,4.59,13.00
CAPE MORETON LIGHTHOUSE,23/05/2011,2.3,15.6, ,22.4,18.8,94,74,6.04,11.64
CAPE MORETON LIGHTHOUSE,24/05/2011,3.0,8.0, ,20.7,16.1,92,55,5.38,16.43
CAPE MORETON LIGHTHOUSE,25/05/2011,3.4,0.0, ,17.3,11.7,77,52,7.98,16.59
CAPE MORETON LIGHTHOUSE,26/05/2011,3.6,0.0, ,19.6,12.9,76,47,6.14,16.46
CAPE MORETON LIGHTHOUSE,27/05/2011,3.1,0.0, ,20.1,13.4,79,54,5.03,16.30
CAPE MORETON LIGHTHOUSE,28/05/2011,2.5,0.0, ,20.4,14.8,95,69,7.41,13.36
CAPE MORETON LIGHTHOUSE,29/05/2011,2.4,22.6, ,20.5,15.1,95,69,6.28,14.99
CAPE MORETON LIGHTHOUSE,30/05/2011,2.3,14.2, ,20.2,14.5,97,68,4.55,15.65
CAPE MORETON LIGHTHOUSE,31/05/2011,2.9,0.4, ,19.8,13.7,92,51,5.23,15.76
Totals:,,88.7,127.8, ,,,,,, 
