'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/08/2011,3.1, , ,20.1,14.0,80,61,5.26,16.31
CAPE MORETON LIGHTHOUSE,02/08/2011,3.3,0.0, ,20.3,14.6,81,58,5.57,16.65
CAPE MORETON LIGHTHOUSE,03/08/2011,3.6,0.0, ,21.1,14.5,79,55,6.58,14.83
CAPE MORETON LIGHTHOUSE,04/08/2011, ,0.0, ,20.7,17.0,66,53,8.25, 
CAPE MORETON LIGHTHOUSE,05/08/2011,4.4,0.0, ,21.4,17.8,73,51,8.43,15.13
CAPE MORETON LIGHTHOUSE,06/08/2011,3.8,0.0, ,22.6,17.5,68,54,4.44,16.78
CAPE MORETON LIGHTHOUSE,07/08/2011,3.0,0.0, ,21.3,16.6,88,65,5.28,16.94
CAPE MORETON LIGHTHOUSE,08/08/2011,3.9,0.0, ,20.8,17.0,89,34,5.58,15.50
CAPE MORETON LIGHTHOUSE,09/08/2011,4.4,0.0, ,19.7,13.1,58,31,5.15,18.02
CAPE MORETON LIGHTHOUSE,10/08/2011,4.3,0.0, ,19.7,13.2,62,42,6.16,17.92
CAPE MORETON LIGHTHOUSE,11/08/2011,2.7,0.0, ,18.9,14.9,85,54,4.61,9.27
CAPE MORETON LIGHTHOUSE,12/08/2011,4.2,0.0, ,19.7,11.5,77,32,5.51,17.92
CAPE MORETON LIGHTHOUSE,13/08/2011,3.2,0.0, ,19.7,13.9,79,69,8.64,15.60
CAPE MORETON LIGHTHOUSE,14/08/2011,3.7,0.0, ,21.3,17.0,84,48,5.61,14.77
CAPE MORETON LIGHTHOUSE,15/08/2011,3.1,0.4, ,19.1,13.6,89,60,6.14,17.61
CAPE MORETON LIGHTHOUSE,16/08/2011,3.3,0.2, ,20.7,14.0,82,63,5.65,17.34
CAPE MORETON LIGHTHOUSE,17/08/2011,3.5,0.0, ,22.1,16.4,79,54,6.01,10.90
CAPE MORETON LIGHTHOUSE,18/08/2011,3.6,7.4, ,19.3,16.7,91,44,7.69,10.76
CAPE MORETON LIGHTHOUSE,19/08/2011,4.2,1.6, ,19.3,11.9,69,38,5.39,19.25
CAPE MORETON LIGHTHOUSE,20/08/2011,4.3,0.0, ,19.3,12.1,83,45,9.39,17.25
CAPE MORETON LIGHTHOUSE,21/08/2011,2.3,11.0, ,18.1,13.0,97,69,13.00,6.43
CAPE MORETON LIGHTHOUSE,22/08/2011,2.4,17.0, ,19.6,12.6,98,74,19.83,10.23
CAPE MORETON LIGHTHOUSE,23/08/2011,3.1,5.4, ,20.1,13.8,94,68,16.34,13.87
CAPE MORETON LIGHTHOUSE,24/08/2011,2.8,1.6, ,18.1,15.9,92,67,13.83,10.49
CAPE MORETON LIGHTHOUSE,25/08/2011,2.1,2.6, ,20.5,14.9,98,81,10.45,12.57
CAPE MORETON LIGHTHOUSE,26/08/2011,2.6,1.2, ,20.2,16.5,87,76,8.26,11.47
CAPE MORETON LIGHTHOUSE,27/08/2011,1.4,3.6, ,20.0,17.4,100,87,8.52,7.38
CAPE MORETON LIGHTHOUSE,28/08/2011,3.0,8.2, ,21.1,15.7,100,71,5.38,19.78
CAPE MORETON LIGHTHOUSE,29/08/2011,3.4,0.0, ,21.9,16.3,96,63,4.11,20.59
CAPE MORETON LIGHTHOUSE,30/08/2011,2.7,0.0, ,22.3,17.0,93,66,4.87,11.50
CAPE MORETON LIGHTHOUSE,31/08/2011,3.3,7.4, ,20.3,14.3,94,66,6.48,20.48
Totals:,,98.7,67.6, ,,,,,, 
