'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/10/2011,6.8,0.0, ,26.1,18.1,84,22,7.16,21.83
CAPE MORETON LIGHTHOUSE,02/10/2011,6.5,0.0, ,21.1,12.5,62,30,8.61,26.45
CAPE MORETON LIGHTHOUSE,03/10/2011,4.6,0.0, ,19.1,13.6,77,58,10.57,23.05
CAPE MORETON LIGHTHOUSE,04/10/2011,5.4,0.0, ,20.5,14.1,74,50,8.98,26.65
CAPE MORETON LIGHTHOUSE,05/10/2011,4.0,0.0, ,20.6,15.1,82,62,5.40,21.23
CAPE MORETON LIGHTHOUSE,06/10/2011,2.3,0.2, ,21.0,16.2,92,61,4.79,5.01
CAPE MORETON LIGHTHOUSE,07/10/2011,4.4,5.2, ,23.8,15.8,93,65,5.56,25.27
CAPE MORETON LIGHTHOUSE,08/10/2011,2.9,8.8, ,21.3,15.0,97,62,6.92,10.40
CAPE MORETON LIGHTHOUSE,09/10/2011, ,10.0, ,24.3,15.1, , , ,26.66
CAPE MORETON LIGHTHOUSE,10/10/2011, ,0.2, ,22.8,18.7, , , ,15.19
CAPE MORETON LIGHTHOUSE,11/10/2011, ,0.0, ,24.4,18.0, , , ,27.20
CAPE MORETON LIGHTHOUSE,12/10/2011,4.0,0.0, ,24.2,19.8,94,72,4.67,21.76
CAPE MORETON LIGHTHOUSE,13/10/2011,3.5,9.8, ,25.4,18.5,97,73,5.84,17.66
CAPE MORETON LIGHTHOUSE,14/10/2011,3.8,9.4, ,24.3,18.2,98,75,6.48,22.59
CAPE MORETON LIGHTHOUSE,15/10/2011,3.3,5.0, ,23.7,18.7,97,80,7.70,19.86
CAPE MORETON LIGHTHOUSE,16/10/2011,4.9,5.8, ,24.5,17.7,91,63,3.75,27.56
CAPE MORETON LIGHTHOUSE,17/10/2011,4.6,0.2, ,22.5,20.6,91,54,15.23,11.86
CAPE MORETON LIGHTHOUSE,18/10/2011,5.1,0.0, ,21.2,17.4,84,55,13.98,20.71
CAPE MORETON LIGHTHOUSE,19/10/2011,5.2,0.0, ,21.8,14.7,78,51,10.11,21.10
CAPE MORETON LIGHTHOUSE,20/10/2011,4.9,0.0, ,22.4,17.6,78,53,9.96,15.32
CAPE MORETON LIGHTHOUSE,21/10/2011,4.9,0.0, ,23.0,18.5,83,62,8.54,22.83
CAPE MORETON LIGHTHOUSE,22/10/2011,4.5,0.0, ,23.1,19.3,80,68,8.65,19.41
CAPE MORETON LIGHTHOUSE,23/10/2011,5.6,0.0, ,24.8,19.0,78,58,6.48,26.69
CAPE MORETON LIGHTHOUSE,24/10/2011,4.3,0.0, ,24.8,19.0,85,61,4.84,18.78
CAPE MORETON LIGHTHOUSE,25/10/2011,5.0,0.0, ,25.1,19.0,92,71,6.52,28.39
CAPE MORETON LIGHTHOUSE,26/10/2011,4.4,0.0, ,25.3,20.3,95,73,8.45,23.79
CAPE MORETON LIGHTHOUSE,27/10/2011,3.1,2.6, ,22.5,18.6,98,80,10.78,19.00
CAPE MORETON LIGHTHOUSE,28/10/2011,3.5,6.8, ,22.8,18.6,100,67,8.24,17.16
CAPE MORETON LIGHTHOUSE,29/10/2011,4.5,0.0, ,24.3,19.5,84,60,3.92,21.09
CAPE MORETON LIGHTHOUSE,30/10/2011,5.1,0.0, ,26.1,20.5,92,68,6.06,27.06
CAPE MORETON LIGHTHOUSE,31/10/2011,3.9,6.4, ,22.5,19.7,97,66,12.45,18.36
Totals:,,125,70.4, ,,,,,, 
