'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for March 2012,,,,,,,,,,
Issued at 22:33 GMT on Sunday 01 April 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/03/2012,5.9,0.0, ,28.7,23.4,89,60,6.32,26.35
CAPE MORETON LIGHTHOUSE,02/03/2012,6.1,0.0, ,29.4,23.0,83,56,5.18,26.01
CAPE MORETON LIGHTHOUSE,03/03/2012,5.2,0.0, ,29.3,22.7,94,63,6.21,22.91
CAPE MORETON LIGHTHOUSE,04/03/2012,4.1,0.0, ,27.9,22.5,99,69,10.98,15.82
CAPE MORETON LIGHTHOUSE,05/03/2012,1.1,10.2, ,25.0,22.9,100,91,13.47,2.62
CAPE MORETON LIGHTHOUSE,06/03/2012,3.1,14.2, ,23.9,22.0,98,75,13.48,14.55
CAPE MORETON LIGHTHOUSE,07/03/2012,4.5,12.2, ,24.9,19.7,97,68,12.83,23.84
CAPE MORETON LIGHTHOUSE,08/03/2012,4.5,2.8, ,26.4,19.5,92,72,6.91,24.13
CAPE MORETON LIGHTHOUSE,09/03/2012,5.3,0.0, ,27.5,20.9,94,53,4.41,25.56
CAPE MORETON LIGHTHOUSE,10/03/2012,5.3,0.0, ,28.3,21.4,92,57,4.47,24.98
CAPE MORETON LIGHTHOUSE,11/03/2012,4.5,0.4, ,25.6,21.6,86,58,8.42,13.94
CAPE MORETON LIGHTHOUSE,12/03/2012,6.2,0.8, ,26.3,21.1,76,56,10.18,23.57
CAPE MORETON LIGHTHOUSE,13/03/2012,6.4,0.0, ,26.5,22.0,87,48,11.12,23.26
CAPE MORETON LIGHTHOUSE,14/03/2012,3.4,36.8, ,25.9,20.0,100,67,11.15,10.78
CAPE MORETON LIGHTHOUSE,15/03/2012,3.2,0.2, ,26.3,23.0,96,74,8.56,12.05
CAPE MORETON LIGHTHOUSE,16/03/2012,4.2,11.2, ,26.8,22.1,95,72,9.00,20.61
CAPE MORETON LIGHTHOUSE,17/03/2012,2.8,1.8, ,27.4,23.0,97,77,7.04,10.81
CAPE MORETON LIGHTHOUSE,18/03/2012,2.7,10.0, ,23.2,21.3,99,70,13.80,5.48
CAPE MORETON LIGHTHOUSE,19/03/2012,4.0,8.6, ,25.4,20.4,95,74,12.10,22.08
CAPE MORETON LIGHTHOUSE,20/03/2012,4.8,1.2, ,26.0,21.6,87,68,12.87,20.06
CAPE MORETON LIGHTHOUSE,21/03/2012,3.9,0.6, ,26.0,21.8,91,69,9.60,14.94
CAPE MORETON LIGHTHOUSE,22/03/2012,2.3,2.4, ,25.4,21.7,100,77,14.22,5.23
CAPE MORETON LIGHTHOUSE,23/03/2012,2.6,6.0, ,25.2,20.6,100,82,6.37,13.89
CAPE MORETON LIGHTHOUSE,24/03/2012,5.1,0.0, ,27.0,20.5,94,56,9.16,19.91
CAPE MORETON LIGHTHOUSE,25/03/2012,5.2,0.6, ,24.8,21.3,89,57,12.98,19.44
CAPE MORETON LIGHTHOUSE,26/03/2012,7.0,0.0, ,25.2,21.8,68,49,12.17,22.43
CAPE MORETON LIGHTHOUSE,27/03/2012,5.5,1.0, ,25.2,20.2,79,56,11.62,17.24
CAPE MORETON LIGHTHOUSE,28/03/2012,5.4,0.2, ,25.1,20.0,85,56,11.52,20.95
CAPE MORETON LIGHTHOUSE,29/03/2012,4.1,2.6, ,24.7,19.0,90,65,9.89,16.93
CAPE MORETON LIGHTHOUSE,30/03/2012,4.2,0.6, ,24.5,20.4,89,68,10.20,18.51
CAPE MORETON LIGHTHOUSE,31/03/2012,4.6,1.4, ,24.7,20.4,88,65,10.64,20.05
Totals:,,137.2,125.8, ,,,,,, 
