'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for April 2012,,,,,,,,,,
Issued at 22:38 GMT on Tuesday 01 May 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/04/2012,5.7,0.0, ,24.9,19.9,84,47,10.33,20.09
CAPE MORETON LIGHTHOUSE,02/04/2012,4.7,1.6, ,25.3,19.8,88,59,8.59,20.35
CAPE MORETON LIGHTHOUSE,03/04/2012,5.4,0.0, ,26.1,19.9,83,53,8.29,20.95
CAPE MORETON LIGHTHOUSE,04/04/2012,4.7,0.0, ,25.3,20.1,84,63,8.52,20.53
CAPE MORETON LIGHTHOUSE,05/04/2012,5.1,1.0, ,25.7,20.5,85,55,9.19,18.71
CAPE MORETON LIGHTHOUSE,06/04/2012,5.8,0.0, ,25.9,21.8,73,49,8.69,17.58
CAPE MORETON LIGHTHOUSE,07/04/2012,4.8,0.0, ,25.6,19.1,78,54,5.41,20.39
CAPE MORETON LIGHTHOUSE,08/04/2012,4.2,0.0, ,26.0,21.6,81,62,6.57,14.94
CAPE MORETON LIGHTHOUSE,09/04/2012,4.2,0.0, ,26.6,21.5,84,62,4.05,19.75
CAPE MORETON LIGHTHOUSE,10/04/2012,5.2,0.0, ,24.3,20.3,88,53,12.09,18.81
CAPE MORETON LIGHTHOUSE,11/04/2012,3.7,3.4, ,21.4,15.6,91,66,14.27,17.95
CAPE MORETON LIGHTHOUSE,12/04/2012,4.0,17.6, ,23.2,16.2,94,59,13.44,13.24
CAPE MORETON LIGHTHOUSE,13/04/2012,4.8,3.2, ,23.8,17.4,84,56,12.53,15.54
CAPE MORETON LIGHTHOUSE,14/04/2012,3.8,0.4, ,24.3,19.7,88,66,10.21,14.02
CAPE MORETON LIGHTHOUSE,15/04/2012,3.5,2.0, ,25.1,19.6,93,68,6.91,16.20
CAPE MORETON LIGHTHOUSE,16/04/2012,3.9,0.4, ,25.5,21.3,80,67,6.63,14.42
CAPE MORETON LIGHTHOUSE,17/04/2012,3.0,19.6, ,24.1,17.8,97,71,7.26,14.12
CAPE MORETON LIGHTHOUSE,18/04/2012,3.1,4.8, ,24.7,18.5,94,73,5.99,16.10
CAPE MORETON LIGHTHOUSE,19/04/2012,3.3,0.0, ,24.6,19.0,96,71,5.31,18.27
CAPE MORETON LIGHTHOUSE,20/04/2012,1.9,0.4, ,24.0,20.6,97,83,5.50,8.41
CAPE MORETON LIGHTHOUSE,21/04/2012,3.0,0.6, ,24.9,19.0,98,76,4.88,18.20
CAPE MORETON LIGHTHOUSE,22/04/2012,3.1,0.0, ,26.0,19.5,95,72,4.09,16.01
CAPE MORETON LIGHTHOUSE,23/04/2012,2.9,0.0, ,26.0,20.7,95,78,3.17,15.91
CAPE MORETON LIGHTHOUSE,24/04/2012,2.3,0.0, ,26.2,21.3,96,80,4.92,10.41
CAPE MORETON LIGHTHOUSE,25/04/2012,3.7,0.0, ,23.7,19.9,83,38,4.75,9.08
CAPE MORETON LIGHTHOUSE,26/04/2012,4.3,0.0, ,21.1,14.0,63,45,5.49,18.32
CAPE MORETON LIGHTHOUSE,27/04/2012,2.2,0.0, ,21.9,17.7,97,71,8.10,5.71
CAPE MORETON LIGHTHOUSE,28/04/2012,1.1,35.6, ,21.7,17.9,100,88,12.34,2.58
CAPE MORETON LIGHTHOUSE,29/04/2012,2.3,13.6, ,21.7,17.4,99,76,9.99,11.39
CAPE MORETON LIGHTHOUSE,30/04/2012,4.0,0.0, ,22.5,18.9,89,63,13.65,16.64
Totals:,,113.7,104.2, ,,,,,, 
