'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/05/2012,3.8,0.2, ,22.9,18.1,89,59,10.67,10.86
CAPE MORETON LIGHTHOUSE,02/05/2012,3.8,0.4, ,24.2,18.7,87,64,9.26,14.27
CAPE MORETON LIGHTHOUSE,03/05/2012,3.6,0.0, ,24.2,20.3,84,64,7.02,14.17
CAPE MORETON LIGHTHOUSE,04/05/2012,1.9,2.2, ,21.1,17.8,97,76,7.28,7.32
CAPE MORETON LIGHTHOUSE,05/05/2012,3.3,22.4, ,23.0,16.7,86,59,4.36,16.47
CAPE MORETON LIGHTHOUSE,06/05/2012,3.8,0.2, ,22.9,15.1,61,32,3.20,16.66
CAPE MORETON LIGHTHOUSE,07/05/2012,3.5,0.0, ,23.9,15.8,74,41,3.17,15.25
CAPE MORETON LIGHTHOUSE,08/05/2012,3.4,0.0, ,22.9,16.7,84,51,4.40,15.55
CAPE MORETON LIGHTHOUSE,09/05/2012, ,0.0, , ,17.7,86,53,4.74,15.43
CAPE MORETON LIGHTHOUSE,10/05/2012, , , ,24.1, ,84,60,3.51,15.21
CAPE MORETON LIGHTHOUSE,11/05/2012,2.9,0.0, ,23.8,17.3,92,57,3.36,15.22
CAPE MORETON LIGHTHOUSE,12/05/2012,3.5,0.0, ,23.6,17.2,83,52,4.87,15.10
CAPE MORETON LIGHTHOUSE,13/05/2012,5.2,0.0, ,25.2,19.3,76,33,6.74,14.97
CAPE MORETON LIGHTHOUSE,14/05/2012,4.3,0.0, ,18.4,13.4,59,38,6.71,14.84
CAPE MORETON LIGHTHOUSE,15/05/2012,4.3,0.0, ,20.2,13.5,73,41,7.83,14.75
CAPE MORETON LIGHTHOUSE,16/05/2012,4.1,0.0, ,20.8,15.9,83,50,9.72,14.61
CAPE MORETON LIGHTHOUSE,17/05/2012,2.8,0.4, ,21.8,16.1,88,68,6.59,13.29
CAPE MORETON LIGHTHOUSE,18/05/2012,2.8,16.2, ,20.8,16.0,93,58,6.70,9.59
CAPE MORETON LIGHTHOUSE,19/05/2012,3.5,10.0, ,22.2,16.0,80,54,6.06,13.49
CAPE MORETON LIGHTHOUSE,20/05/2012,3.4,0.0, ,22.1,17.0,82,52,6.37,10.58
CAPE MORETON LIGHTHOUSE,21/05/2012,3.7,0.0, ,23.1,17.7,80,54,8.34,7.02
CAPE MORETON LIGHTHOUSE,22/05/2012,2.7,2.2, ,21.6,17.0,86,56,4.16,11.36
CAPE MORETON LIGHTHOUSE,23/05/2012,2.7,10.2, ,22.9,17.7,92,61,5.86,8.54
CAPE MORETON LIGHTHOUSE,24/05/2012,3.7,8.6, ,22.6,17.3,76,61,8.79,11.04
CAPE MORETON LIGHTHOUSE,25/05/2012,1.6,2.6, ,20.1,18.4,97,73,5.85,3.21
CAPE MORETON LIGHTHOUSE,26/05/2012,2.8,17.6, ,17.8,11.9,91,51,6.45,12.68
CAPE MORETON LIGHTHOUSE,27/05/2012,3.3,0.0, ,18.9,11.3,71,60,8.15,13.31
CAPE MORETON LIGHTHOUSE,28/05/2012,3.3,0.0, ,21.0,14.7,90,60,10.37,13.32
CAPE MORETON LIGHTHOUSE,29/05/2012,3.3,16.8, ,21.5,15.1,97,57,12.61,9.00
CAPE MORETON LIGHTHOUSE,30/05/2012,4.1,0.6, ,21.7,17.7,86,57,14.61,11.33
CAPE MORETON LIGHTHOUSE,31/05/2012,3.4,6.4, ,21.1,16.4,96,56,13.32,9.91
Totals:,,98.5,117, ,,,,,, 
