'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/09/2012,5.3,0.0, ,18.7,12.4,56,32,7.41,20.32
CAPE MORETON LIGHTHOUSE,02/09/2012,4.8,0.0, ,19.0,11.7,66,31,6.09,20.52
CAPE MORETON LIGHTHOUSE,03/09/2012,3.8,0.0, ,21.0,12.6,87,48,4.22,20.62
CAPE MORETON LIGHTHOUSE,04/09/2012,4.4,0.0, ,22.6,15.3,74,47,4.70,20.82
CAPE MORETON LIGHTHOUSE,05/09/2012,4.9,0.0, ,21.9,17.6,68,51,6.44,20.85
CAPE MORETON LIGHTHOUSE,06/09/2012,4.8,0.0, ,22.6,17.3,84,53,8.71,21.15
CAPE MORETON LIGHTHOUSE,07/09/2012,4.2,0.0, ,22.2,18.4,89,65,10.44,21.32
CAPE MORETON LIGHTHOUSE,08/09/2012,6.0,1.2, ,23.2,15.5,60,21,5.48,21.42
CAPE MORETON LIGHTHOUSE,09/09/2012,5.4,0.2, ,22.6,14.4,69,38,7.27,18.55
CAPE MORETON LIGHTHOUSE,10/09/2012,4.4,0.0, ,22.0,18.2,71,52,5.70,16.89
CAPE MORETON LIGHTHOUSE,11/09/2012,4.2,0.0, ,23.1,16.7,74,59,3.75,21.77
CAPE MORETON LIGHTHOUSE,12/09/2012,4.0,0.0, ,23.7,16.8,88,60,4.15,21.12
CAPE MORETON LIGHTHOUSE,13/09/2012,4.3,0.0, ,22.1,16.6,86,63,8.86,22.20
CAPE MORETON LIGHTHOUSE,14/09/2012,4.7,0.0, ,18.6,14.2,79,47,9.06,22.33
CAPE MORETON LIGHTHOUSE,15/09/2012,4.1,0.2, ,19.9,14.2,79,54,8.00,16.93
CAPE MORETON LIGHTHOUSE,16/09/2012,4.6,1.0, ,21.6,15.5,79,54,7.28,21.86
CAPE MORETON LIGHTHOUSE,17/09/2012,3.7,0.0, ,23.4,16.5,85,57,5.28,14.49
CAPE MORETON LIGHTHOUSE,18/09/2012,2.3,38.8, ,19.9,14.6,98,76,5.57,13.12
CAPE MORETON LIGHTHOUSE,19/09/2012,3.7,7.8, ,23.1,15.1,96,70,5.26,22.63
CAPE MORETON LIGHTHOUSE,20/09/2012,3.9,0.2, ,23.0,18.6,94,72,5.44,23.38
CAPE MORETON LIGHTHOUSE,21/09/2012,2.7,0.0, ,23.1,18.5,98,80,5.66,15.72
CAPE MORETON LIGHTHOUSE,22/09/2012,3.6,3.0, ,23.3,18.4,99,81,4.54,23.71
CAPE MORETON LIGHTHOUSE,23/09/2012,3.8,0.2, ,24.1,18.7,100,76,4.33,23.74
CAPE MORETON LIGHTHOUSE,24/09/2012,3.7,0.2, ,24.2,18.4,100,66,6.52,19.36
CAPE MORETON LIGHTHOUSE,25/09/2012,4.8,0.8, ,22.2,18.7,90,57,11.80,22.51
CAPE MORETON LIGHTHOUSE,26/09/2012,5.5,0.0, ,23.2,18.6,74,53,8.67,22.10
CAPE MORETON LIGHTHOUSE,27/09/2012,5.0,0.0, ,24.5,18.2,67,52,4.76,20.65
CAPE MORETON LIGHTHOUSE,28/09/2012,4.6,0.0, ,22.9,18.1,80,61,7.28,20.92
CAPE MORETON LIGHTHOUSE,29/09/2012,4.8,0.0, ,23.0,18.3,84,64,9.42,24.27
CAPE MORETON LIGHTHOUSE,30/09/2012,2.3,2.0, ,20.9,17.3,93,69,5.49,6.96
Totals:,,128.3,55.6, ,,,,,, 
