'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/10/2012,2.8,0.6, ,20.6,17.7,91,64,10.21,4.80
CAPE MORETON LIGHTHOUSE,02/10/2012,4.7,0.4, ,20.8,16.3,85,60,13.13,23.79
CAPE MORETON LIGHTHOUSE,03/10/2012,3.9,1.6, ,21.5,15.3,87,60,6.91,17.83
CAPE MORETON LIGHTHOUSE,04/10/2012,5.2,0.0, ,23.8,17.0,77,53,5.27,25.50
CAPE MORETON LIGHTHOUSE,05/10/2012,5.0,0.0, ,23.1,18.0,86,61,8.33,25.75
CAPE MORETON LIGHTHOUSE,06/10/2012,4.8,0.0, ,23.4,18.8,84,69,9.00,25.89
CAPE MORETON LIGHTHOUSE,07/10/2012,4.8,0.0, ,24.0,19.0,89,69,11.30,25.95
CAPE MORETON LIGHTHOUSE,08/10/2012,4.7,0.0, ,22.6,19.0,80,62,9.53,18.90
CAPE MORETON LIGHTHOUSE,09/10/2012,4.7,0.0, ,25.1,18.2,95,65,4.94,26.00
CAPE MORETON LIGHTHOUSE,10/10/2012,5.2,0.0, ,25.7,19.9,92,63,9.96,25.29
CAPE MORETON LIGHTHOUSE,11/10/2012,2.0,0.0, ,22.5,21.2,98,76,10.12,3.89
CAPE MORETON LIGHTHOUSE,12/10/2012,5.9,21.8, ,20.3,13.7,81,33,8.89,26.61
CAPE MORETON LIGHTHOUSE,13/10/2012,6.2,0.0, ,22.5,13.2,61,33,5.87,26.78
CAPE MORETON LIGHTHOUSE,14/10/2012,5.1,0.0, ,23.0,15.1,86,50,5.33,26.86
CAPE MORETON LIGHTHOUSE,15/10/2012,4.8,2.8, ,22.9,16.0,88,60,7.07,25.53
CAPE MORETON LIGHTHOUSE,16/10/2012,5.8,0.0, ,24.3,18.2,70,50,4.99,27.13
CAPE MORETON LIGHTHOUSE,17/10/2012,5.8,0.0, ,24.1,18.7,81,54,7.45,27.26
CAPE MORETON LIGHTHOUSE,18/10/2012,5.3,0.0, ,24.5,19.5,82,62,5.78,27.33
CAPE MORETON LIGHTHOUSE,19/10/2012,5.5,0.0, ,24.3,19.7,85,62,7.30,28.45
CAPE MORETON LIGHTHOUSE,20/10/2012,4.8,0.0, ,23.9,19.5,86,76,10.23,28.55
CAPE MORETON LIGHTHOUSE,21/10/2012,4.6,0.0, ,24.2,20.0,99,73,6.13,28.64
CAPE MORETON LIGHTHOUSE,22/10/2012,4.6,0.0, ,25.0,20.7,96,77,8.48,28.43
CAPE MORETON LIGHTHOUSE,23/10/2012,6.2,0.0, ,21.1,16.2,80,47,15.49,26.93
CAPE MORETON LIGHTHOUSE,24/10/2012,6.3,0.6, ,22.1,15.2,74,46,11.95,26.59
CAPE MORETON LIGHTHOUSE,25/10/2012,5.9,0.0, ,24.0,16.5,74,51,5.86,29.12
CAPE MORETON LIGHTHOUSE,26/10/2012,5.2,0.0, ,24.8,18.7,90,69,8.10,29.43
CAPE MORETON LIGHTHOUSE,27/10/2012,5.6,0.0, ,24.6,19.6,84,66,10.59,28.67
CAPE MORETON LIGHTHOUSE,28/10/2012,5.4,0.0, ,21.9,19.1,81,55,15.27,19.04
CAPE MORETON LIGHTHOUSE,29/10/2012,6.2,0.0, ,23.1,18.2,76,50,10.25,26.27
CAPE MORETON LIGHTHOUSE,30/10/2012,4.2,0.0, ,23.4,17.5,90,66,4.89,22.03
CAPE MORETON LIGHTHOUSE,31/10/2012,5.0,0.0, ,24.5,17.3,96,63,4.49,28.26
Totals:,,156.2,27.8, ,,,,,, 
