'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for December 2012,,,,,,,,,,
Issued at 22:37 GMT on Tuesday 01 January 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/12/2012,6.5,0.0, ,27.8,22.0,88,64,6.67,32.75
CAPE MORETON LIGHTHOUSE,02/12/2012,7.1,0.0, ,27.6,22.6,82,58,7.43,32.72
CAPE MORETON LIGHTHOUSE,03/12/2012,6.3,0.0, ,28.1,22.2,90,69,6.97,32.73
CAPE MORETON LIGHTHOUSE,04/12/2012,9.3,0.0, ,29.6,22.8,87,22,8.17,32.93
CAPE MORETON LIGHTHOUSE,05/12/2012,8.5,0.0, ,30.0,22.9,73,25,5.10,32.30
CAPE MORETON LIGHTHOUSE,06/12/2012,8.4,0.0, ,27.8,21.9,81,32,8.04,32.27
CAPE MORETON LIGHTHOUSE,07/12/2012,5.4,0.0, ,26.9,22.0,89,66,7.45,24.67
CAPE MORETON LIGHTHOUSE,08/12/2012,7.2,0.2, ,27.7,20.5,72,54,6.28,32.70
CAPE MORETON LIGHTHOUSE,09/12/2012,7.3,0.0, ,27.9,22.1,73,49,6.01,30.88
CAPE MORETON LIGHTHOUSE,10/12/2012,6.7,0.4, ,28.1,21.4,77,56,7.86,26.62
CAPE MORETON LIGHTHOUSE,11/12/2012,7.2,0.2, ,26.5,22.0,74,58,12.77,28.41
CAPE MORETON LIGHTHOUSE,12/12/2012,6.2,0.0, ,25.1,20.1,85,60,13.65,28.61
CAPE MORETON LIGHTHOUSE,13/12/2012,6.9,0.6, ,24.8,19.2,83,51,12.86,30.04
CAPE MORETON LIGHTHOUSE,14/12/2012,7.9,1.2, ,27.4,19.9,72,51,10.23,32.79
CAPE MORETON LIGHTHOUSE,15/12/2012,7.2,0.0, ,27.5,21.2,73,52,5.63,32.87
CAPE MORETON LIGHTHOUSE,16/12/2012,6.6,0.0, ,28.6,22.2,89,59,5.61,31.60
CAPE MORETON LIGHTHOUSE,17/12/2012,10.7,0.0, ,31.0,22.9,92,1,8.21,32.94
CAPE MORETON LIGHTHOUSE,18/12/2012,6.4,0.2, ,29.9,24.0,95,70,6.83,32.36
CAPE MORETON LIGHTHOUSE,19/12/2012,5.9,5.8, ,28.1,23.7,96,74,6.78,32.58
CAPE MORETON LIGHTHOUSE,20/12/2012,6.3,0.0, ,28.3,23.2,87,66,6.19,30.65
CAPE MORETON LIGHTHOUSE,21/12/2012,6.1,0.0, ,29.8,23.9,87,68,5.15,28.37
CAPE MORETON LIGHTHOUSE,22/12/2012,6.5,0.0, ,29.8,23.6,83,64,7.36,27.25
CAPE MORETON LIGHTHOUSE,23/12/2012,7.2,0.0, ,29.9,23.2,84,61,6.94,32.62
CAPE MORETON LIGHTHOUSE,24/12/2012,6.8,0.0, ,27.9,22.4,80,53,6.46,29.00
CAPE MORETON LIGHTHOUSE,25/12/2012,7.1,0.0, ,28.4,21.9,76,57,4.55,33.23
CAPE MORETON LIGHTHOUSE,26/12/2012,4.0,0.0, ,23.9,21.3,96,67,7.05,18.67
CAPE MORETON LIGHTHOUSE,27/12/2012,5.4,17.6, ,27.9,19.5,99,74,10.29,32.49
CAPE MORETON LIGHTHOUSE,28/12/2012,6.2,0.0, ,28.8,22.5,88,64,4.27,30.20
CAPE MORETON LIGHTHOUSE,29/12/2012,6.6,0.0, ,28.8,22.1,92,66,8.23,33.27
CAPE MORETON LIGHTHOUSE,30/12/2012,7.2,0.0, ,26.6,23.5,84,58,13.89,32.57
CAPE MORETON LIGHTHOUSE,31/12/2012,8.0,0.0, ,29.0,22.8,74,56,10.30,32.47
Totals:,,215.1,26.2, ,,,,,, 
