'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for February 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 March 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/02/2013,6.1,0.0, ,29.4,23.3,87,60,5.97,25.96
CAPE MORETON LIGHTHOUSE,02/02/2013,7.8,4.0, ,30.6,21.1,97,30,6.76,28.80
CAPE MORETON LIGHTHOUSE,03/02/2013,7.1,1.4, ,26.2,21.0,80,50,10.76,28.74
CAPE MORETON LIGHTHOUSE,04/02/2013,6.3,0.0, ,25.7,20.2,78,61,12.82,25.95
CAPE MORETON LIGHTHOUSE,05/02/2013,5.0,0.4, ,26.3,20.9,96,58,11.82,18.46
CAPE MORETON LIGHTHOUSE,06/02/2013,4.9,8.0, ,26.2,19.0,95,60,10.18,19.66
CAPE MORETON LIGHTHOUSE,07/02/2013,5.1,2.4, ,26.6,19.0,92,59,7.63,21.82
CAPE MORETON LIGHTHOUSE,08/02/2013,5.8,0.4, ,27.2,20.2,77,63,8.51,23.03
CAPE MORETON LIGHTHOUSE,09/02/2013,6.5,0.0, ,27.7,23.6,81,57,8.56,26.02
CAPE MORETON LIGHTHOUSE,10/02/2013,6.8,0.0, ,28.5,22.9,73,55,6.41,27.58
CAPE MORETON LIGHTHOUSE,11/02/2013,6.9,0.0, ,27.8,22.8,78,57,9.38,27.40
CAPE MORETON LIGHTHOUSE,12/02/2013,6.5,0.0, ,27.2,23.0,76,60,9.57,24.88
CAPE MORETON LIGHTHOUSE,13/02/2013,4.5,0.2, ,26.7,20.7,92,63,11.53,14.33
CAPE MORETON LIGHTHOUSE,14/02/2013,5.4,4.8, ,26.7,20.0,93,63,9.85,25.93
CAPE MORETON LIGHTHOUSE,15/02/2013,2.5,9.8, ,24.8,20.1,98,71,8.48,5.55
CAPE MORETON LIGHTHOUSE,16/02/2013,4.0,43.4, ,25.8,19.5,93,67,10.67,13.77
CAPE MORETON LIGHTHOUSE,17/02/2013,2.4,2.0, ,24.1,21.0,98,76,11.61,6.81
CAPE MORETON LIGHTHOUSE,18/02/2013,2.3,14.6, ,23.8,19.2,96,76,13.68,3.28
CAPE MORETON LIGHTHOUSE,19/02/2013,2.1,6.0, ,24.3,20.8,97,87,16.32,9.89
CAPE MORETON LIGHTHOUSE,20/02/2013,3.9,15.4, ,25.8,20.3,97,72,10.82,18.53
CAPE MORETON LIGHTHOUSE,21/02/2013,3.7,5.6, ,25.4,20.4,96,72,11.56,15.54
CAPE MORETON LIGHTHOUSE,22/02/2013,5.3,11.2, ,27.7,20.2,91,57,8.63,19.56
CAPE MORETON LIGHTHOUSE,23/02/2013,5.8,0.2, ,28.4,23.4,94,62,8.92,26.44
CAPE MORETON LIGHTHOUSE,24/02/2013,4.1,0.0, ,28.6,24.5,96,70,6.71,17.11
CAPE MORETON LIGHTHOUSE,25/02/2013,1.3,22.0, ,24.9,22.2,97,91,12.94,3.59
CAPE MORETON LIGHTHOUSE,26/02/2013,3.0,17.8, ,25.6,21.4,96,77,11.99,11.55
CAPE MORETON LIGHTHOUSE,27/02/2013,4.3,0.4, ,27.3,22.6,94,69,11.76,16.46
CAPE MORETON LIGHTHOUSE,28/02/2013,4.1,2.4, ,27.5,21.4,95,67,6.99,16.50
Totals:,,133.5,172.4, ,,,,,, 
