'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for May 2013,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/05/2013,3.3,0.8, ,26.3,20.2,83,60,4.15,12.25
CAPE MORETON LIGHTHOUSE,02/05/2013,4.1,0.0, ,25.2,19.6,90,65,10.12,18.84
CAPE MORETON LIGHTHOUSE,03/05/2013,4.5,0.2, ,22.0,18.7,84,55,11.05,18.61
CAPE MORETON LIGHTHOUSE,04/05/2013,3.7,0.2, ,24.4,17.0,88,56,4.03,19.73
CAPE MORETON LIGHTHOUSE,05/05/2013,4.1,0.0, ,23.8,19.6,81,60,8.88,14.47
CAPE MORETON LIGHTHOUSE,06/05/2013,4.3,0.0, ,23.0,19.3,80,62,10.29,16.73
CAPE MORETON LIGHTHOUSE,07/05/2013,4.1,1.8, ,23.0,17.8,87,60,10.68,17.27
CAPE MORETON LIGHTHOUSE,08/05/2013,4.3,0.0, ,22.5,19.3,86,54,11.39,14.00
CAPE MORETON LIGHTHOUSE,09/05/2013,4.2,0.8, ,23.5,18.3,91,53,9.94,15.13
CAPE MORETON LIGHTHOUSE,10/05/2013,4.2,1.2, ,22.9,17.4,90,53,11.57,13.46
CAPE MORETON LIGHTHOUSE,11/05/2013,3.6,3.2, ,21.9,17.5,93,59,12.19,11.23
CAPE MORETON LIGHTHOUSE,12/05/2013,3.7,2.6, ,23.1,17.9,88,61,9.34,14.68
CAPE MORETON LIGHTHOUSE,13/05/2013,2.4,1.8, ,24.2,17.5,95,70,4.05,11.59
CAPE MORETON LIGHTHOUSE,14/05/2013,2.2,2.2, ,21.4,18.2,91,72,4.65,9.86
CAPE MORETON LIGHTHOUSE,15/05/2013,3.7,0.2, ,21.1,16.2,75,48,4.40,18.25
CAPE MORETON LIGHTHOUSE,16/05/2013,2.6,0.0, ,18.0,16.5,82,52,5.44,4.80
CAPE MORETON LIGHTHOUSE,17/05/2013,4.0,1.0, ,21.6,13.4,81,42,5.77,17.88
CAPE MORETON LIGHTHOUSE,18/05/2013,4.4,0.0, ,20.7,14.6,62,37,5.45,17.89
CAPE MORETON LIGHTHOUSE,19/05/2013,4.2,0.0, ,18.8,13.4,58,40,5.79,18.02
CAPE MORETON LIGHTHOUSE,20/05/2013,3.8,0.0, ,20.2,13.0,63,35,4.08,17.73
CAPE MORETON LIGHTHOUSE,21/05/2013,3.7,0.0, ,21.3,13.7,65,41,4.43,15.65
CAPE MORETON LIGHTHOUSE,22/05/2013,2.6,0.0, ,18.3,16.1,96,40,5.19,5.52
CAPE MORETON LIGHTHOUSE,23/05/2013,3.0,7.8, ,19.8,12.7,95,56,6.52,16.93
CAPE MORETON LIGHTHOUSE,24/05/2013,3.4,0.0, ,20.1,13.8,82,59,8.08,16.51
CAPE MORETON LIGHTHOUSE,25/05/2013,4.1,0.2, ,20.3,15.3,74,58,10.77,15.92
CAPE MORETON LIGHTHOUSE,26/05/2013,4.1,0.0, ,21.3,16.1,71,58,8.66,16.47
CAPE MORETON LIGHTHOUSE,27/05/2013,3.4,0.0, ,22.0,17.0,91,61,9.84,14.77
CAPE MORETON LIGHTHOUSE,28/05/2013,3.9,3.0, ,22.7,17.1,84,60,12.85,10.28
CAPE MORETON LIGHTHOUSE,29/05/2013,3.8,0.8, ,22.1,17.6,89,56,11.40,12.85
CAPE MORETON LIGHTHOUSE,30/05/2013,3.1,2.0, ,22.2,17.5,93,61,10.83,7.18
CAPE MORETON LIGHTHOUSE,31/05/2013,3.9,1.0, ,22.7,17.4,83,58,10.40,12.42
Totals:,,114.4,30.8, ,,,,,, 
