'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/07/2013,1.6,8.2, ,18.9,13.3,96,80,10.34,5.69
CAPE MORETON LIGHTHOUSE,02/07/2013,2.3,94.4, ,19.5,14.3,98,72,12.65,11.72
CAPE MORETON LIGHTHOUSE,03/07/2013,2.6,1.2, ,22.0,15.9,93,75,9.69,15.79
CAPE MORETON LIGHTHOUSE,04/07/2013,3.1,0.0, ,22.4,17.4,87,57,5.16,14.98
CAPE MORETON LIGHTHOUSE,05/07/2013,2.0,0.0, ,21.7,17.0,94,81,6.03,12.35
CAPE MORETON LIGHTHOUSE,06/07/2013,3.1,0.0, ,21.9,16.6,95,48,4.55,16.25
CAPE MORETON LIGHTHOUSE,07/07/2013,2.7,0.0, ,21.3,16.5,90,66,6.38,13.25
CAPE MORETON LIGHTHOUSE,08/07/2013,3.8,0.0, ,19.9,17.1,76,57,8.81,16.33
CAPE MORETON LIGHTHOUSE,09/07/2013,3.1,0.0, ,18.5,14.7,84,66,12.88,13.26
CAPE MORETON LIGHTHOUSE,10/07/2013,2.4,1.2, ,19.3,15.0,94,66,10.24,7.02
CAPE MORETON LIGHTHOUSE,11/07/2013,3.4,7.2, ,20.4,15.2,88,57,9.56,13.73
CAPE MORETON LIGHTHOUSE,12/07/2013,2.2,8.0, ,18.5,14.6,95,71,7.22,13.22
CAPE MORETON LIGHTHOUSE,13/07/2013,2.4,6.8, ,19.6,14.0,94,67,5.91,13.79
CAPE MORETON LIGHTHOUSE,14/07/2013,2.1,2.6, ,20.0,14.6,94,71,4.23,14.16
CAPE MORETON LIGHTHOUSE,15/07/2013,2.3,2.2, ,20.9,14.9,93,64,4.90,10.25
CAPE MORETON LIGHTHOUSE,16/07/2013,2.9,2.0, ,21.9,15.4,84,62,6.42,11.01
CAPE MORETON LIGHTHOUSE,17/07/2013,3.2,0.0, ,22.0,16.8,86,61,6.49,16.12
CAPE MORETON LIGHTHOUSE,18/07/2013,3.1,0.2, ,22.2,17.4,87,66,7.37,15.57
CAPE MORETON LIGHTHOUSE,19/07/2013,2.8,0.0, ,22.9,18.6,88,70,7.02,12.31
CAPE MORETON LIGHTHOUSE,20/07/2013,2.1,2.2, ,21.4,17.4,95,80,6.95,13.11
CAPE MORETON LIGHTHOUSE,21/07/2013,2.8,9.0, ,19.3,14.6,95,56,4.26,17.47
CAPE MORETON LIGHTHOUSE,22/07/2013,2.4,0.0, ,19.8,15.5,93,56,4.77,9.69
CAPE MORETON LIGHTHOUSE,23/07/2013,3.1,11.6, ,17.5,12.1,93,43,5.62,16.78
CAPE MORETON LIGHTHOUSE,24/07/2013,3.6,0.2, ,17.7,10.6,69,53,6.90,18.30
CAPE MORETON LIGHTHOUSE,25/07/2013,3.0,0.0, ,18.8,13.9,93,62,9.63,16.40
CAPE MORETON LIGHTHOUSE,26/07/2013,2.1,9.0, ,20.4,14.5,96,70,5.40,10.95
CAPE MORETON LIGHTHOUSE,27/07/2013,4.1,0.6, ,20.8,15.4,84,47,7.59,18.30
CAPE MORETON LIGHTHOUSE,28/07/2013,4.4,0.0, ,21.3,17.8,78,51,10.43,13.76
CAPE MORETON LIGHTHOUSE,29/07/2013,4.5,0.0, ,21.8,17.5,76,51,9.21,16.72
CAPE MORETON LIGHTHOUSE,30/07/2013,3.5,0.0, ,21.4,17.5,84,57,6.67,15.86
CAPE MORETON LIGHTHOUSE,31/07/2013,3.4,0.0, ,19.6,14.1,82,66,10.34,18.08
Totals:,,90.1,166.6, ,,,,,, 
