'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/09/2013,4.9,0.0, ,23.2,17.6,86,57,9.25,23.88
CAPE MORETON LIGHTHOUSE,02/09/2013,4.7,0.2, ,22.3,17.1,83,57,10.84,20.37
CAPE MORETON LIGHTHOUSE,03/09/2013,5.4,0.0, ,21.2,18.3,83,51,13.33,24.22
CAPE MORETON LIGHTHOUSE,04/09/2013,5.6,0.2, ,21.1,17.2,74,51,11.79,23.68
CAPE MORETON LIGHTHOUSE,05/09/2013,5.5,0.0, ,21.8,17.7,71,52,7.89,25.41
CAPE MORETON LIGHTHOUSE,06/09/2013,4.6,0.0, ,23.0,16.3,79,55,4.12,25.21
CAPE MORETON LIGHTHOUSE,07/09/2013,4.7,0.0, ,22.9,16.1,85,60,5.97,25.71
CAPE MORETON LIGHTHOUSE,08/09/2013,5.3,0.0, ,22.8,17.8,79,53,6.94,25.76
CAPE MORETON LIGHTHOUSE,09/09/2013,4.9,0.0, ,23.6,16.9,81,54,5.21,25.24
CAPE MORETON LIGHTHOUSE,10/09/2013,3.5,7.2, ,22.0,17.0,94,71,7.41,20.55
CAPE MORETON LIGHTHOUSE,11/09/2013,4.8,0.0, ,24.6,18.1,93,62,6.84,26.13
CAPE MORETON LIGHTHOUSE,12/09/2013,4.4,0.0, ,24.3,18.4,94,70,4.76,26.16
CAPE MORETON LIGHTHOUSE,13/09/2013,3.9,0.0, ,23.3,18.1,95,69,7.67,22.26
CAPE MORETON LIGHTHOUSE,14/09/2013,4.4,0.0, ,24.9,19.2,87,73,9.63,24.23
CAPE MORETON LIGHTHOUSE,15/09/2013,5.2,0.0, ,23.9,20.5,85,61,6.84,26.91
CAPE MORETON LIGHTHOUSE,16/09/2013,2.6,0.0, ,21.2,19.3,96,71,8.42,10.61
CAPE MORETON LIGHTHOUSE,17/09/2013,2.9,34.2, ,22.9,16.5,96,83,9.20,19.99
CAPE MORETON LIGHTHOUSE,18/09/2013,5.9,2.2, ,25.3,18.0,94,41,5.57,28.09
CAPE MORETON LIGHTHOUSE,19/09/2013,4.2,0.0, ,23.8,20.0,95,79,9.33,28.13
CAPE MORETON LIGHTHOUSE,20/09/2013,6.8,0.0, ,26.4,19.1,94,27,5.89,29.15
CAPE MORETON LIGHTHOUSE,21/09/2013,6.2,0.0, ,23.5,17.1,66,48,6.39,28.82
CAPE MORETON LIGHTHOUSE,22/09/2013,5.6,0.0, ,24.0,18.7,74,57,5.75,27.77
CAPE MORETON LIGHTHOUSE,23/09/2013,5.1,0.0, ,24.0,18.6,86,64,5.24,28.56
CAPE MORETON LIGHTHOUSE,24/09/2013,5.3,0.0, ,24.3,18.9,90,63,9.97,28.74
CAPE MORETON LIGHTHOUSE,25/09/2013,5.4,0.0, ,25.1,20.7,94,61,6.03,28.98
CAPE MORETON LIGHTHOUSE,26/09/2013,4.3,0.0, ,24.3,20.4,94,79,8.37,27.41
CAPE MORETON LIGHTHOUSE,27/09/2013,4.7,0.0, ,22.9,20.2,97,66,12.26,28.63
CAPE MORETON LIGHTHOUSE,28/09/2013,2.6,0.0, ,23.7,19.2,89,73,5.18,8.88
CAPE MORETON LIGHTHOUSE,29/09/2013,6.1,0.2, ,26.4,19.4,87,54,7.54,29.11
CAPE MORETON LIGHTHOUSE,30/09/2013,5.0,0.0, ,25.2,19.8,94,65,6.36,27.78
Totals:,,144.5,44.2, ,,,,,, 
