'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/10/2013,4.5,0.0, ,24.4,20.3,95,77,9.66,28.98
CAPE MORETON LIGHTHOUSE,02/10/2013,5.4,0.2, ,24.8,18.6,94,56,5.30,28.79
CAPE MORETON LIGHTHOUSE,03/10/2013,7.0,0.2, ,25.4,20.6,94,25,7.46,28.42
CAPE MORETON LIGHTHOUSE,04/10/2013,7.7,0.0, ,22.0,15.2,66,26,9.68,30.89
CAPE MORETON LIGHTHOUSE,05/10/2013,6.2,0.0, ,23.7,15.3,79,43,5.43,31.07
CAPE MORETON LIGHTHOUSE,06/10/2013,5.9,0.0, ,24.8,18.5,88,59,6.70,31.50
CAPE MORETON LIGHTHOUSE,07/10/2013,5.4,0.0, ,24.6,19.9,87,72,10.23,31.35
CAPE MORETON LIGHTHOUSE,08/10/2013,6.1,0.0, ,25.5,19.7,89,58,8.12,30.87
CAPE MORETON LIGHTHOUSE,09/10/2013,5.3,2.0, ,23.4,17.0,82,57,6.79,27.72
CAPE MORETON LIGHTHOUSE,10/10/2013,6.1,0.0, ,23.8,18.3,81,60,9.02,32.06
CAPE MORETON LIGHTHOUSE,11/10/2013,5.7,0.4, ,25.1,19.0,94,63,10.25,31.41
CAPE MORETON LIGHTHOUSE,12/10/2013,4.8,0.0, ,25.7,20.8,94,73,8.85,27.63
CAPE MORETON LIGHTHOUSE,13/10/2013,5.7,0.0, ,24.4,20.3,85,68,11.35,31.33
CAPE MORETON LIGHTHOUSE,14/10/2013,8.9,0.0, ,27.1,21.1,89,16,9.30,31.26
CAPE MORETON LIGHTHOUSE,15/10/2013,6.3,0.0, ,24.7,17.8,73,50,4.33,31.75
CAPE MORETON LIGHTHOUSE,16/10/2013,6.7,0.0, ,25.0,19.3,70,53,7.56,30.09
CAPE MORETON LIGHTHOUSE,17/10/2013,6.4,0.0, ,25.2,19.7,82,62,8.50,32.85
CAPE MORETON LIGHTHOUSE,18/10/2013,4.7,0.0, ,24.8,19.4,89,59,10.46,16.27
CAPE MORETON LIGHTHOUSE,19/10/2013,6.0,0.0, ,25.4,17.2,85,63,10.32,32.23
CAPE MORETON LIGHTHOUSE,20/10/2013,5.1,0.0, ,26.3,18.1,91,65,5.97,26.57
CAPE MORETON LIGHTHOUSE,21/10/2013,6.5,0.0, ,26.9,20.4,81,59,5.66,31.91
CAPE MORETON LIGHTHOUSE,22/10/2013,6.7,0.0, ,26.7,20.3,83,56,6.36,32.91
CAPE MORETON LIGHTHOUSE,23/10/2013,5.9,0.0, ,25.6,21.0,90,71,9.08,33.54
CAPE MORETON LIGHTHOUSE,24/10/2013,4.9,0.0, ,26.5,21.1,96,73,6.61,27.42
CAPE MORETON LIGHTHOUSE,25/10/2013,5.0,0.4, ,23.8,20.0,91,63,12.49,24.02
CAPE MORETON LIGHTHOUSE,26/10/2013,6.4,6.4, ,25.9,19.7,84,62,5.39,33.57
CAPE MORETON LIGHTHOUSE,27/10/2013,5.5,63.4, ,26.2,19.6,90,56,6.90,25.15
CAPE MORETON LIGHTHOUSE,28/10/2013,6.8,41.2, ,25.7,20.0,80,55,7.20,32.76
CAPE MORETON LIGHTHOUSE,29/10/2013,5.3,0.0, ,24.3,21.2,91,65,11.94,28.15
CAPE MORETON LIGHTHOUSE,30/10/2013,5.9,9.0, ,24.2,19.0,82,65,9.99,31.85
CAPE MORETON LIGHTHOUSE,31/10/2013,6.5,20.8, ,24.7,19.7,73,56,8.36,29.87
Totals:,,185.3,144, ,,,,,, 
