'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/12/2013,6.8, , ,22.8,17.3,79,55,12.91,36.14
CAPE MORETON LIGHTHOUSE,02/12/2013,7.1, , ,23.7,17.6,73,55,10.28,36.20
CAPE MORETON LIGHTHOUSE,03/12/2013,7.5, , ,24.9,18.1,78,49,8.42,36.91
CAPE MORETON LIGHTHOUSE,04/12/2013,6.7, , ,25.8,18.6,87,63,5.96,36.88
CAPE MORETON LIGHTHOUSE,05/12/2013,6.0, , ,25.9,21.3,92,69,9.54,34.07
CAPE MORETON LIGHTHOUSE,06/12/2013,8.5, , ,25.1,19.1,73,30,7.11,36.84
CAPE MORETON LIGHTHOUSE,07/12/2013,8.2, , ,25.9,19.5,65,46,6.59,37.31
CAPE MORETON LIGHTHOUSE,08/12/2013,7.4, , ,25.4,20.5,68,51,5.42,35.15
CAPE MORETON LIGHTHOUSE,09/12/2013,7.6, , ,26.9,20.6,75,54,6.13,36.34
CAPE MORETON LIGHTHOUSE,10/12/2013,6.8, , ,26.2,21.7,85,62,8.98,34.26
CAPE MORETON LIGHTHOUSE,11/12/2013,3.2, , ,25.3,22.4,96,78,7.36,14.41
CAPE MORETON LIGHTHOUSE,12/12/2013,1.7, , ,26.2,21.2,96,81,4.44,3.96
CAPE MORETON LIGHTHOUSE,13/12/2013,6.6, , ,27.4,20.7,92,66,5.28,35.61
CAPE MORETON LIGHTHOUSE,14/12/2013,6.9, , ,27.8,21.6,86,63,5.89,34.78
CAPE MORETON LIGHTHOUSE,15/12/2013,7.5, , ,28.4,22.2,83,58,6.00,36.18
CAPE MORETON LIGHTHOUSE,16/12/2013,7.5, , ,27.1,22.2,79,59,7.95,35.49
CAPE MORETON LIGHTHOUSE,17/12/2013,6.5, , ,26.7,21.2,85,57,9.30,29.29
CAPE MORETON LIGHTHOUSE,18/12/2013,8.2, , ,26.1,21.5,72,53,11.21,36.55
CAPE MORETON LIGHTHOUSE,19/12/2013,7.7, , ,27.7,21.3,69,54,10.02,29.93
CAPE MORETON LIGHTHOUSE,20/12/2013,7.1, , ,28.6,20.8,84,50,5.76,32.01
CAPE MORETON LIGHTHOUSE,21/12/2013,8.0, , ,27.9,21.7,70,52,5.09,36.94
CAPE MORETON LIGHTHOUSE,22/12/2013,6.9, , ,28.4,22.1,72,50,5.17,28.10
CAPE MORETON LIGHTHOUSE,23/12/2013,8.0, , ,27.7,22.4,74,52,7.62,35.19
CAPE MORETON LIGHTHOUSE,24/12/2013,7.7, , ,28.7,22.4,83,57,6.43,36.35
CAPE MORETON LIGHTHOUSE,25/12/2013,6.2, , ,29.0,23.1,85,55,4.79,26.70
CAPE MORETON LIGHTHOUSE,26/12/2013,6.9, , ,29.0,23.1,87,64,6.37,33.60
CAPE MORETON LIGHTHOUSE,27/12/2013,6.1, , ,28.1,23.0,89,66,8.57,28.63
CAPE MORETON LIGHTHOUSE,28/12/2013,5.3, , ,28.5,23.3,85,69,7.19,22.09
CAPE MORETON LIGHTHOUSE,29/12/2013,6.6, , ,29.0,23.8,94,71,7.72,34.75
CAPE MORETON LIGHTHOUSE,30/12/2013,5.1, , ,25.9,22.1,89,72,12.01,25.38
CAPE MORETON LIGHTHOUSE,31/12/2013,3.8, , ,26.5,22.7,96,76,8.36,17.69
Totals:,,206.1, , ,,,,,, 
