'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/02/2014,7.0, , ,27.3,22.7,76,55,10.35,26.43
CAPE MORETON LIGHTHOUSE,02/02/2014,6.3, , ,27.7,22.5,81,57,9.51,23.11
CAPE MORETON LIGHTHOUSE,03/02/2014,7.0, , ,27.3,22.0,74,55,10.15,26.64
CAPE MORETON LIGHTHOUSE,04/02/2014,6.8, , ,28.0,22.4,75,58,9.14,26.41
CAPE MORETON LIGHTHOUSE,05/02/2014,5.9, , ,26.9,22.5,95,57,13.28,24.62
CAPE MORETON LIGHTHOUSE,06/02/2014,5.1, , ,25.7,19.7,93,60,13.19,19.61
CAPE MORETON LIGHTHOUSE,07/02/2014,5.3, , ,26.5,20.5,80,55,8.68,15.90
CAPE MORETON LIGHTHOUSE,08/02/2014,6.6, , ,29.3,22.3,77,53,8.12,21.75
CAPE MORETON LIGHTHOUSE,09/02/2014,3.5, , ,28.1,21.4,94,70,6.60,12.21
CAPE MORETON LIGHTHOUSE,10/02/2014,5.9, , ,28.4,22.5,81,57,6.59,23.10
CAPE MORETON LIGHTHOUSE,11/02/2014,7.2, , ,27.7,22.8,72,49,7.40,27.56
CAPE MORETON LIGHTHOUSE,12/02/2014,6.5, , ,28.2,22.0,73,54,5.75,26.68
CAPE MORETON LIGHTHOUSE,13/02/2014,6.1, , ,29.4,22.1,76,57,4.28,26.36
CAPE MORETON LIGHTHOUSE,14/02/2014,4.8, , ,27.8,23.1,81,64,6.32,17.19
CAPE MORETON LIGHTHOUSE,15/02/2014,4.9, , ,27.3,22.9,88,72,9.64,22.35
CAPE MORETON LIGHTHOUSE,16/02/2014,5.2, , ,28.3,24.4,92,76,10.75,27.00
CAPE MORETON LIGHTHOUSE,17/02/2014,5.6, , ,29.9,24.0,94,66,6.60,25.60
CAPE MORETON LIGHTHOUSE,18/02/2014,4.6, , ,28.6,22.6,95,73,4.41,22.71
CAPE MORETON LIGHTHOUSE,19/02/2014,5.8, , ,29.4,24.0,87,68,6.91,25.86
CAPE MORETON LIGHTHOUSE,20/02/2014,5.4, , ,28.9,24.7,90,72,7.94,25.29
CAPE MORETON LIGHTHOUSE,21/02/2014,5.2, , ,29.8,24.5,92,72,6.91,23.80
CAPE MORETON LIGHTHOUSE,22/02/2014,4.0, , ,25.7,23.8,90,66,14.35,7.71
CAPE MORETON LIGHTHOUSE,23/02/2014,4.5, , ,25.7,20.8,91,65,15.36,13.92
CAPE MORETON LIGHTHOUSE,24/02/2014,6.1, , ,26.8,19.9,89,54,10.75,24.93
CAPE MORETON LIGHTHOUSE,25/02/2014,5.8, , ,27.3,20.5,87,59,8.74,25.11
CAPE MORETON LIGHTHOUSE,26/02/2014,5.5, , ,28.6,21.6,78,55,5.90,19.65
CAPE MORETON LIGHTHOUSE,27/02/2014,6.8, , ,28.8,22.0,71,51,6.06,26.86
CAPE MORETON LIGHTHOUSE,28/02/2014,5.1, , ,27.8,22.1,86,62,9.75,17.37
Totals:,,158.5, , ,,,,,, 
