'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/03/2014,6.7, , ,28.2,22.1,76,57,9.28,25.57
CAPE MORETON LIGHTHOUSE,02/03/2014,6.4, , ,28.4,22.7,81,57,9.06,24.44
CAPE MORETON LIGHTHOUSE,03/03/2014,5.8, , ,27.7,22.1,89,60,11.66,22.27
CAPE MORETON LIGHTHOUSE,04/03/2014,6.0, , ,27.1,19.9,92,53,10.87,24.30
CAPE MORETON LIGHTHOUSE,05/03/2014,4.8, , ,26.5,19.4,94,56,7.28,19.11
CAPE MORETON LIGHTHOUSE,06/03/2014,6.0, , ,27.3,21.5,71,57,6.64,23.60
CAPE MORETON LIGHTHOUSE,07/03/2014,6.8, , ,27.9,22.4,73,51,8.70,23.84
CAPE MORETON LIGHTHOUSE,08/03/2014,6.0, , ,26.7,22.4,86,54,10.82,21.97
CAPE MORETON LIGHTHOUSE,09/03/2014,5.3, , ,26.3,21.5,85,58,11.90,15.81
CAPE MORETON LIGHTHOUSE,10/03/2014,4.8, , ,27.0,19.3,94,59,11.89,15.80
CAPE MORETON LIGHTHOUSE,11/03/2014,5.6, , ,26.8,20.0,91,56,11.04,22.07
CAPE MORETON LIGHTHOUSE,12/03/2014,6.5, , ,27.3,22.3,74,54,9.02,23.47
CAPE MORETON LIGHTHOUSE,13/03/2014,5.9, , ,27.6,19.8,84,54,8.61,22.80
CAPE MORETON LIGHTHOUSE,14/03/2014,5.3, , ,27.2,21.3,81,57,7.03,19.63
CAPE MORETON LIGHTHOUSE,15/03/2014,4.9, , ,27.6,20.7,87,58,4.65,21.64
CAPE MORETON LIGHTHOUSE,16/03/2014,5.1, , ,27.4,22.5,86,70,8.80,23.55
CAPE MORETON LIGHTHOUSE,17/03/2014,5.2, , ,28.9,23.4,88,69,7.59,23.38
CAPE MORETON LIGHTHOUSE,18/03/2014,4.9, , ,29.7,23.9,88,65,5.07,21.00
CAPE MORETON LIGHTHOUSE,19/03/2014,5.7, , ,28.5,23.1,82,60,7.50,22.23
CAPE MORETON LIGHTHOUSE,20/03/2014,6.2, , ,27.2,22.4,78,60,11.45,23.08
CAPE MORETON LIGHTHOUSE,21/03/2014,5.3, , ,27.3,22.4,87,61,8.15,22.19
CAPE MORETON LIGHTHOUSE,22/03/2014,5.2, , ,28.2,21.3,80,59,6.21,20.69
CAPE MORETON LIGHTHOUSE,23/03/2014,4.6, , ,28.6,22.3,81,59,4.52,17.82
CAPE MORETON LIGHTHOUSE,24/03/2014,4.6, , ,28.4,22.5,82,63,4.47,19.02
CAPE MORETON LIGHTHOUSE,25/03/2014,3.2, , ,26.0,23.2,87,73,7.97,8.58
CAPE MORETON LIGHTHOUSE,26/03/2014,3.9, , ,25.6,23.1,82,71,13.11,7.35
CAPE MORETON LIGHTHOUSE,27/03/2014,2.4, , ,24.5,22.8,97,74,13.63,2.60
CAPE MORETON LIGHTHOUSE,28/03/2014,2.7, , ,26.2,21.0,98,84,8.28,14.16
CAPE MORETON LIGHTHOUSE,29/03/2014,4.0, , ,27.1,23.0,96,78,4.64,21.58
CAPE MORETON LIGHTHOUSE,30/03/2014,2.4, , ,27.4,23.5,97,79,5.41,8.72
CAPE MORETON LIGHTHOUSE,31/03/2014,3.8, , ,26.2,22.3,94,75,6.59,19.65
Totals:,,156, , ,,,,,, 
