'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/04/2014,4.7, , ,26.7,21.0,94,62,8.04,21.22
CAPE MORETON LIGHTHOUSE,02/04/2014,5.0, , ,27.7,22.4,78,59,5.83,19.79
CAPE MORETON LIGHTHOUSE,03/04/2014,4.8, , ,27.2,21.7,81,61,5.58,20.15
CAPE MORETON LIGHTHOUSE,04/04/2014,3.9, , ,28.3,21.5,84,61,4.94,13.39
CAPE MORETON LIGHTHOUSE,05/04/2014,4.6, , ,28.3,22.8,80,61,4.33,19.33
CAPE MORETON LIGHTHOUSE,06/04/2014,4.5, , ,28.1,22.5,91,64,6.03,19.46
CAPE MORETON LIGHTHOUSE,07/04/2014,3.9, , ,23.6,19.9,95,64,13.32,15.82
CAPE MORETON LIGHTHOUSE,08/04/2014,3.5, , ,24.8,18.9,93,70,9.78,14.17
CAPE MORETON LIGHTHOUSE,09/04/2014,5.3, , ,26.0,19.9,84,51,9.38,17.26
CAPE MORETON LIGHTHOUSE,10/04/2014,4.1, , ,25.9,19.8,80,54,4.87,15.13
CAPE MORETON LIGHTHOUSE,11/04/2014,4.2, , ,26.0,19.8,88,67,6.82,19.67
CAPE MORETON LIGHTHOUSE,12/04/2014,3.8, , ,27.3,22.6,90,65,7.77,12.32
CAPE MORETON LIGHTHOUSE,13/04/2014,2.4, , ,24.1,22.8,92,75,10.31,4.05
CAPE MORETON LIGHTHOUSE,14/04/2014,3.1, , ,22.9,19.2,96,68,16.70,7.02
CAPE MORETON LIGHTHOUSE,15/04/2014,4.5, , ,23.1,19.0,81,65,13.14,17.14
CAPE MORETON LIGHTHOUSE,16/04/2014,4.5, , ,24.0,17.8,79,57,6.73,19.32
CAPE MORETON LIGHTHOUSE,17/04/2014,4.5, , ,25.4,18.4,83,50,5.26,19.24
CAPE MORETON LIGHTHOUSE,18/04/2014,3.8, , ,25.5,19.3,83,64,3.99,18.99
CAPE MORETON LIGHTHOUSE,19/04/2014,4.9, , ,26.3,18.5,83,39,4.79,19.58
CAPE MORETON LIGHTHOUSE,20/04/2014,4.3, , ,27.1,20.3,76,53,3.63,18.91
CAPE MORETON LIGHTHOUSE,21/04/2014,4.1, , ,25.7,20.3,87,57,4.88,18.72
CAPE MORETON LIGHTHOUSE,22/04/2014,4.6, , ,27.3,21.8,70,48,3.84,18.57
CAPE MORETON LIGHTHOUSE,23/04/2014,3.7, , ,26.3,20.2,83,61,3.57,17.77
CAPE MORETON LIGHTHOUSE,24/04/2014,3.6, , ,26.0,20.4,85,66,3.85,17.61
CAPE MORETON LIGHTHOUSE,25/04/2014,3.7, , ,25.7,20.4,88,69,6.03,17.61
CAPE MORETON LIGHTHOUSE,26/04/2014,3.3, , ,24.5,19.6,89,72,5.97,16.70
CAPE MORETON LIGHTHOUSE,27/04/2014,3.6, , ,25.9,20.3,95,67,6.91,16.93
CAPE MORETON LIGHTHOUSE,28/04/2014,3.3, , ,24.4,17.4,91,67,12.08,7.47
CAPE MORETON LIGHTHOUSE,29/04/2014,5.0, , ,24.6,18.9,71,52,8.19,15.40
CAPE MORETON LIGHTHOUSE,30/04/2014,3.1, , ,24.9,18.6,88,63,3.25,15.72
Totals:,,122.3, , ,,,,,, 
