'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/06/2014,3.3, , ,24.0,19.1,77,56,4.51,12.71
CAPE MORETON LIGHTHOUSE,02/06/2014,2.5, , ,23.4,17.9,91,69,3.89,13.51
CAPE MORETON LIGHTHOUSE,03/06/2014,2.6, , ,24.2,18.2,94,60,3.23,13.41
CAPE MORETON LIGHTHOUSE,04/06/2014,2.5, , ,23.5,17.4,91,69,5.21,11.02
CAPE MORETON LIGHTHOUSE,05/06/2014,3.4, , ,22.2,18.0,83,58,7.01,13.62
CAPE MORETON LIGHTHOUSE,06/06/2014,3.0, , ,22.0,17.7,86,69,8.35,13.40
CAPE MORETON LIGHTHOUSE,07/06/2014,3.0, , ,20.7,16.8,90,61,8.06,14.03
CAPE MORETON LIGHTHOUSE,08/06/2014,2.3, , ,19.8,16.1,94,75,10.66,12.01
CAPE MORETON LIGHTHOUSE,09/06/2014,2.3, , ,19.2,15.4,93,74,13.27,10.71
CAPE MORETON LIGHTHOUSE,10/06/2014,4.1, , ,21.0,15.4,88,51,13.11,12.28
CAPE MORETON LIGHTHOUSE,11/06/2014,3.9, , ,20.8,17.0,89,51,12.57,11.17
CAPE MORETON LIGHTHOUSE,12/06/2014,2.7, , ,21.6,15.4,95,61,7.20,10.86
CAPE MORETON LIGHTHOUSE,13/06/2014,2.8, , ,22.1,17.1,90,58,5.15,12.37
CAPE MORETON LIGHTHOUSE,14/06/2014,1.8, , ,20.3,17.2,93,75,5.57,6.42
CAPE MORETON LIGHTHOUSE,15/06/2014,3.1, , ,18.8,14.2,83,48,5.92,14.08
CAPE MORETON LIGHTHOUSE,16/06/2014,3.0, , ,19.1,12.1,74,53,5.47,14.05
CAPE MORETON LIGHTHOUSE,17/06/2014,2.9, , ,20.2,12.2,84,46,4.58,13.93
CAPE MORETON LIGHTHOUSE,18/06/2014,3.0, , ,20.0,15.2,87,62,9.09,13.53
CAPE MORETON LIGHTHOUSE,19/06/2014,2.2, , ,19.6,15.5,93,70,6.76,10.47
CAPE MORETON LIGHTHOUSE,20/06/2014,1.8, , ,19.8,15.7,95,74,3.65,11.26
CAPE MORETON LIGHTHOUSE,21/06/2014,2.2, , ,22.1,17.0,92,71,4.41,12.53
CAPE MORETON LIGHTHOUSE,22/06/2014,2.1, , ,21.1,14.5,93,69,3.85,13.15
CAPE MORETON LIGHTHOUSE,23/06/2014,2.6, , ,22.1,15.6,85,67,5.25,13.64
CAPE MORETON LIGHTHOUSE,24/06/2014,3.8, , ,19.7,18.2,86,34,7.50,8.60
CAPE MORETON LIGHTHOUSE,25/06/2014,3.9, , ,19.2,13.1,57,43,6.16,12.71
CAPE MORETON LIGHTHOUSE,26/06/2014,3.3, , ,20.3,12.3,70,38,4.22,14.23
CAPE MORETON LIGHTHOUSE,27/06/2014,3.5, , ,20.9,13.1,70,44,5.15,14.09
CAPE MORETON LIGHTHOUSE,28/06/2014,2.7, , ,22.1,16.8,93,62,7.32,9.00
CAPE MORETON LIGHTHOUSE,29/06/2014,3.4, , ,18.2,12.9,88,36,6.21,14.46
CAPE MORETON LIGHTHOUSE,30/06/2014,3.9, , ,17.3,11.5,61,35,6.42,13.84
Totals:,,87.6, , ,,,,,, 
