'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/07/2014,3.2, , ,15.7,9.9,68,39,5.62,14.57
CAPE MORETON LIGHTHOUSE,02/07/2014,3.1, , ,19.1,11.3,78,47,5.35,14.14
CAPE MORETON LIGHTHOUSE,03/07/2014,3.1, , ,19.5,12.5,81,56,7.31,13.83
CAPE MORETON LIGHTHOUSE,04/07/2014,2.7, , ,21.7,15.9,80,60,4.55,10.97
CAPE MORETON LIGHTHOUSE,05/07/2014,2.7, , ,22.2,15.4,91,57,4.28,13.74
CAPE MORETON LIGHTHOUSE,06/07/2014,4.2, , ,18.5,12.7,62,33,6.52,14.73
CAPE MORETON LIGHTHOUSE,07/07/2014,3.7, , ,16.7,10.2,56,38,5.90,14.62
CAPE MORETON LIGHTHOUSE,08/07/2014,3.5, , ,18.4,11.3,68,33,4.84,14.74
CAPE MORETON LIGHTHOUSE,09/07/2014,4.0, , ,19.4,14.8,74,47,8.69,14.77
CAPE MORETON LIGHTHOUSE,10/07/2014,4.6, , ,18.4,14.1,78,24,8.29,14.97
CAPE MORETON LIGHTHOUSE,11/07/2014,3.9, , ,18.8,11.3,64,31,5.48,15.19
CAPE MORETON LIGHTHOUSE,12/07/2014,3.6, , ,18.8,10.5,64,38,5.16,15.12
CAPE MORETON LIGHTHOUSE,13/07/2014,3.8, , ,17.9,11.6,79,43,9.04,14.36
CAPE MORETON LIGHTHOUSE,14/07/2014,2.7, , ,17.8,12.0,90,63,9.66,12.74
CAPE MORETON LIGHTHOUSE,15/07/2014,2.4, , ,19.9,13.3,94,61,5.86,10.57
CAPE MORETON LIGHTHOUSE,16/07/2014,1.8, , ,20.5,14.4,92,74,4.25,8.33
CAPE MORETON LIGHTHOUSE,17/07/2014,3.1, , ,19.2,13.9,87,45,5.30,15.14
CAPE MORETON LIGHTHOUSE,18/07/2014,4.8, , ,16.3,13.3,55,30,8.45,15.39
CAPE MORETON LIGHTHOUSE,19/07/2014,3.9, , ,17.5,8.9,66,32,6.33,15.41
CAPE MORETON LIGHTHOUSE,20/07/2014,3.3, , ,18.6,11.1,78,49,6.30,15.00
CAPE MORETON LIGHTHOUSE,21/07/2014,2.2, , ,17.9,13.6,92,69,7.71,9.81
CAPE MORETON LIGHTHOUSE,22/07/2014,2.8, , ,19.5,14.2,89,61,6.25,14.40
CAPE MORETON LIGHTHOUSE,23/07/2014,2.7, , ,18.4,13.4,86,65,7.49,14.99
CAPE MORETON LIGHTHOUSE,24/07/2014,3.0, , ,21.6,15.1,81,59,5.17,12.51
CAPE MORETON LIGHTHOUSE,25/07/2014,2.5, , ,21.4,16.5,86,68,3.68,14.72
CAPE MORETON LIGHTHOUSE,26/07/2014,1.9, , ,20.4,16.8,90,72,3.93,8.24
CAPE MORETON LIGHTHOUSE,27/07/2014,3.4, , ,20.8,15.5,92,46,5.69,15.87
CAPE MORETON LIGHTHOUSE,28/07/2014,3.2, , ,20.8,15.2,75,50,3.91,15.81
CAPE MORETON LIGHTHOUSE,29/07/2014,3.3, , ,21.7,13.6,82,54,4.95,16.24
CAPE MORETON LIGHTHOUSE,30/07/2014,3.1, , ,21.4,15.6,85,63,5.90,16.46
CAPE MORETON LIGHTHOUSE,31/07/2014,3.6, , ,21.5,16.9,79,62,7.55,16.17
Totals:,,99.8, , ,,,,,, 
