'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/09/2014,3.6, , ,22.6,15.5,94,62,5.82,20.04
CAPE MORETON LIGHTHOUSE,02/09/2014,5.2, , ,22.3,17.4,89,35,9.54,15.93
CAPE MORETON LIGHTHOUSE,03/09/2014,6.4, , ,20.5,12.6,49,27,8.64,21.15
CAPE MORETON LIGHTHOUSE,04/09/2014,5.3, , ,21.2,11.8,54,21,4.79,21.36
CAPE MORETON LIGHTHOUSE,05/09/2014,4.6, , ,20.3,15.0,74,47,6.46,20.95
CAPE MORETON LIGHTHOUSE,06/09/2014,4.3, , ,19.4,13.5,77,57,10.73,20.20
CAPE MORETON LIGHTHOUSE,07/09/2014,3.6, , ,19.7,15.3,88,61,10.36,16.11
CAPE MORETON LIGHTHOUSE,08/09/2014,4.3, , ,21.1,16.1,78,59,9.88,16.01
CAPE MORETON LIGHTHOUSE,09/09/2014,4.0, , ,22.8,16.9,83,63,7.65,17.34
CAPE MORETON LIGHTHOUSE,10/09/2014, , , , ,18.0,100,76,7.32,20.43
CAPE MORETON LIGHTHOUSE,11/09/2014, , , , , , , , ,22.04
CAPE MORETON LIGHTHOUSE,12/09/2014, , , ,23.3, ,89,64,5.23,20.03
CAPE MORETON LIGHTHOUSE,13/09/2014,4.7,0.0, ,23.0,18.4,79,55,7.10,19.76
CAPE MORETON LIGHTHOUSE,14/09/2014,4.7,0.0, ,23.3,17.8,72,53,5.45,19.94
CAPE MORETON LIGHTHOUSE,15/09/2014,3.9,0.0, ,22.3,15.8,87,65,5.51,22.06
CAPE MORETON LIGHTHOUSE,16/09/2014,3.6,0.0, ,22.4,18.1,91,73,8.44,20.66
CAPE MORETON LIGHTHOUSE,17/09/2014,5.0,0.4, ,23.3,18.3,94,44,7.13,22.98
CAPE MORETON LIGHTHOUSE,18/09/2014,6.4,0.0, ,23.3,16.5,57,26,5.92,23.71
CAPE MORETON LIGHTHOUSE,19/09/2014,4.6,0.0, ,23.3,16.4,81,50,4.56,22.89
CAPE MORETON LIGHTHOUSE,20/09/2014,4.5,0.0, ,23.0,17.0,80,61,8.25,18.91
CAPE MORETON LIGHTHOUSE,21/09/2014,4.3,0.0, ,21.3,17.7,88,51,10.21,13.40
CAPE MORETON LIGHTHOUSE,22/09/2014,4.8,12.0, ,21.5,15.8,85,53,12.53,18.46
CAPE MORETON LIGHTHOUSE,23/09/2014,5.1,0.8, ,21.8,16.5,87,49,10.04,22.65
CAPE MORETON LIGHTHOUSE,24/09/2014,4.4,1.0, ,22.9,17.0,84,59,7.26,19.45
CAPE MORETON LIGHTHOUSE,25/09/2014,3.9,0.0, ,22.9,18.2,89,69,7.69,19.54
CAPE MORETON LIGHTHOUSE,26/09/2014,4.8,4.6, ,23.3,16.1,91,54,8.34,22.41
CAPE MORETON LIGHTHOUSE,27/09/2014,4.1,0.2, ,23.1,17.8,95,65,6.64,22.74
CAPE MORETON LIGHTHOUSE,28/09/2014,4.1,41.2, ,22.8,14.4,96,61,7.21,22.31
CAPE MORETON LIGHTHOUSE,29/09/2014,5.1,0.2, ,23.5,18.0,68,53,4.81,23.67
CAPE MORETON LIGHTHOUSE,30/09/2014,4.9,0.0, ,23.0,18.5,81,62,7.63,23.74
Totals:,,124.2,60.4, ,,,,,, 
