'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for November 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 December 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/11/2014,4.8,0.0, ,25.9,21.4,90,74,9.96,25.47
CAPE MORETON LIGHTHOUSE,02/11/2014,5.5,0.0, ,26.5,21.5,86,69,10.67,26.19
CAPE MORETON LIGHTHOUSE,03/11/2014,4.2,0.0, ,23.3,20.4,85,59,12.26,8.36
CAPE MORETON LIGHTHOUSE,04/11/2014,6.6,0.0, ,25.0,20.0,70,52,8.47,27.26
CAPE MORETON LIGHTHOUSE,05/11/2014,6.5,0.0, ,25.3,19.6,68,48,5.90,27.76
CAPE MORETON LIGHTHOUSE,06/11/2014,5.3,0.0, ,25.3,19.4,91,63,7.27,26.80
CAPE MORETON LIGHTHOUSE,07/11/2014,5.3,2.4, ,26.1,20.2,88,67,5.26,26.88
CAPE MORETON LIGHTHOUSE,08/11/2014,6.0,0.4, ,25.4,20.9,88,59,8.34,29.14
CAPE MORETON LIGHTHOUSE,09/11/2014,6.5,0.0, ,26.0,19.8,75,52,5.99,29.55
CAPE MORETON LIGHTHOUSE,10/11/2014,6.5,0.0, ,27.1,21.0,75,55,5.53,29.66
CAPE MORETON LIGHTHOUSE,11/11/2014,6.4,0.0, ,26.5,21.2,74,58,5.61,29.41
CAPE MORETON LIGHTHOUSE,12/11/2014,5.5,0.0, ,27.0,21.5,79,63,3.73,26.19
CAPE MORETON LIGHTHOUSE,13/11/2014,5.6,0.0, ,27.5,21.9,80,61,4.47,25.23
CAPE MORETON LIGHTHOUSE,14/11/2014,5.6,0.0, ,26.1,21.8,87,70,8.44,28.85
CAPE MORETON LIGHTHOUSE,15/11/2014,5.5,0.0, ,26.3,22.0,87,73,11.51,29.09
CAPE MORETON LIGHTHOUSE,16/11/2014,5.1,0.0, ,26.9,22.5,91,75,9.79,26.53
CAPE MORETON LIGHTHOUSE,17/11/2014,5.3,0.0, ,25.2,22.8,93,69,9.04,28.74
CAPE MORETON LIGHTHOUSE,18/11/2014,3.5,0.0, ,28.0,22.1,97,80,6.43,16.27
CAPE MORETON LIGHTHOUSE,19/11/2014,4.6,0.0, ,28.7,22.7,98,72,6.29,22.24
CAPE MORETON LIGHTHOUSE,20/11/2014,4.6,59.0, ,25.7,19.8,90,77,5.96,25.43
CAPE MORETON LIGHTHOUSE,21/11/2014,5.0,0.0, ,27.0,22.7,94,78,9.36,28.48
CAPE MORETON LIGHTHOUSE,22/11/2014,5.0,0.0, ,26.8,23.5,94,76,10.43,27.23
CAPE MORETON LIGHTHOUSE,23/11/2014,6.2,0.0, ,27.8,23.3,89,65,8.80,29.91
CAPE MORETON LIGHTHOUSE,24/11/2014,6.5,0.0, ,28.2,23.0,85,66,8.60,30.70
CAPE MORETON LIGHTHOUSE,25/11/2014,6.7,0.0, ,27.5,22.1,90,55,7.65,31.13
CAPE MORETON LIGHTHOUSE,26/11/2014,5.7,0.0, ,28.1,23.1,91,65,4.95,27.57
CAPE MORETON LIGHTHOUSE,27/11/2014,5.8,0.2, ,27.4,22.2,89,67,5.30,29.03
CAPE MORETON LIGHTHOUSE,28/11/2014,3.9,33.0, ,24.9,19.4,97,69,10.51,16.55
CAPE MORETON LIGHTHOUSE,29/11/2014,6.5,1.8, ,25.8,20.1,85,53,8.75,29.92
CAPE MORETON LIGHTHOUSE,30/11/2014,7.1,0.0, ,27.4,20.4,70,48,5.79,29.99
Totals:,,167.3,96.8, ,,,,,, 
