'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for December 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 January 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/12/2014,6.8,0.0, ,26.7,21.3,73,49,6.09,28.20
CAPE MORETON LIGHTHOUSE,02/12/2014,5.7,0.0, ,27.3,22.0,76,57,6.03,21.18
CAPE MORETON LIGHTHOUSE,03/12/2014,4.9,0.0, ,27.4,22.2,85,69,5.95,21.40
CAPE MORETON LIGHTHOUSE,04/12/2014,6.2,0.0, ,27.7,22.9,82,67,6.34,29.14
CAPE MORETON LIGHTHOUSE,05/12/2014,5.1,0.0, ,27.3,22.6,87,68,6.76,21.97
CAPE MORETON LIGHTHOUSE,06/12/2014,2.0,4.6, ,24.8,21.0,96,85,6.56,7.85
CAPE MORETON LIGHTHOUSE,07/12/2014,4.9,32.0, ,26.9,20.4,97,76,6.90,27.94
CAPE MORETON LIGHTHOUSE,08/12/2014,3.5,0.0, ,27.4,23.8,97,83,8.83,17.67
CAPE MORETON LIGHTHOUSE,09/12/2014,4.4,5.4, ,27.9,21.7,98,80,6.53,24.02
CAPE MORETON LIGHTHOUSE,10/12/2014,5.0,3.6, ,26.9,20.4,96,78,4.79,28.35
CAPE MORETON LIGHTHOUSE,11/12/2014,3.8,0.0, ,28.0,23.9,98,75,6.60,16.68
CAPE MORETON LIGHTHOUSE,12/12/2014,2.6,22.6, ,23.1,20.5,95,73,13.50,4.58
CAPE MORETON LIGHTHOUSE,13/12/2014,2.7,0.8, ,22.3,19.4,95,73,16.70,5.27
CAPE MORETON LIGHTHOUSE,14/12/2014,3.9,5.8, ,24.4,18.7,96,67,13.10,14.91
CAPE MORETON LIGHTHOUSE,15/12/2014,6.5,1.2, ,25.6,18.7,79,56,7.27,30.96
CAPE MORETON LIGHTHOUSE,16/12/2014,6.0,0.0, ,27.3,20.9,93,61,5.14,30.10
CAPE MORETON LIGHTHOUSE,17/12/2014,5.9,0.0, ,28.6,22.9,96,70,5.62,30.45
CAPE MORETON LIGHTHOUSE,18/12/2014,6.6,0.0, ,27.9,23.8,95,43,6.72,26.48
CAPE MORETON LIGHTHOUSE,19/12/2014,4.8,12.8, ,26.4,20.2,97,73,5.16,26.19
CAPE MORETON LIGHTHOUSE,20/12/2014,5.8,0.2, ,26.9,21.8,84,68,9.67,26.42
CAPE MORETON LIGHTHOUSE,21/12/2014,6.4,0.0, ,27.8,22.3,74,57,7.33,23.77
CAPE MORETON LIGHTHOUSE,22/12/2014,7.1,0.0, ,26.4,21.7,71,56,8.12,30.02
CAPE MORETON LIGHTHOUSE,23/12/2014,6.5,0.0, ,27.1,21.6,74,60,6.49,28.81
CAPE MORETON LIGHTHOUSE,24/12/2014,6.4,0.0, ,27.8,21.7,76,59,4.14,29.80
CAPE MORETON LIGHTHOUSE,25/12/2014,5.8,0.0, ,27.9,22.8,77,62,4.96,24.93
CAPE MORETON LIGHTHOUSE,26/12/2014,6.0,0.0, ,28.7,23.8,86,66,5.91,27.07
CAPE MORETON LIGHTHOUSE,27/12/2014,2.1,34.2, ,25.4,21.6,99,85,6.47,8.90
CAPE MORETON LIGHTHOUSE,28/12/2014,1.9,26.4, ,25.2,20.6,99,84,4.03,7.67
CAPE MORETON LIGHTHOUSE,29/12/2014,4.8,1.2, ,28.4,22.0,95,75,5.63,23.79
CAPE MORETON LIGHTHOUSE,30/12/2014,5.9,0.8, ,29.3,24.3,94,76,5.32,30.46
CAPE MORETON LIGHTHOUSE,31/12/2014,5.7,0.0, ,29.6,24.7,94,73,5.23,27.72
Totals:,,155.7,151.6, ,,,,,, 
