'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/01/2015,5.9,0.0, ,29.4,25.3,90,72,7.01,27.64
CAPE MORETON LIGHTHOUSE,02/01/2015,5.8,0.0, ,29.8,25.0,84,68,8.20,22.90
CAPE MORETON LIGHTHOUSE,03/01/2015,3.6,0.0, ,27.2,23.7,82,72,8.59,7.62
CAPE MORETON LIGHTHOUSE,04/01/2015,6.7,0.2, ,27.9,22.9,83,60,7.65,30.27
CAPE MORETON LIGHTHOUSE,05/01/2015,5.4,0.4, ,28.1,22.5,86,65,8.60,21.27
CAPE MORETON LIGHTHOUSE,06/01/2015,6.4,0.6, ,27.6,22.2,82,64,11.24,27.39
CAPE MORETON LIGHTHOUSE,07/01/2015,4.6,0.8, ,26.6,21.9,90,67,10.49,16.71
CAPE MORETON LIGHTHOUSE,08/01/2015,4.7,0.4, ,28.9,21.5,90,61,7.34,15.08
CAPE MORETON LIGHTHOUSE,09/01/2015,6.0,0.0, ,29.5,23.3,80,59,6.01,22.98
CAPE MORETON LIGHTHOUSE,10/01/2015,5.9,0.0, ,29.7,23.9,92,62,6.76,25.18
CAPE MORETON LIGHTHOUSE,11/01/2015,4.3,5.2, ,28.4,22.4,92,71,5.03,18.31
CAPE MORETON LIGHTHOUSE,12/01/2015,3.7,0.4, ,29.6,24.3,95,71,5.29,13.36
CAPE MORETON LIGHTHOUSE,13/01/2015,4.0,38.4, ,26.8,22.2,99,73,5.58,19.00
CAPE MORETON LIGHTHOUSE,14/01/2015,4.6,0.8, ,28.1,23.2,90,70,8.17,18.31
CAPE MORETON LIGHTHOUSE,15/01/2015,5.3,1.4, ,29.3,24.5,95,78,7.59,27.78
CAPE MORETON LIGHTHOUSE,16/01/2015,6.0,0.0, ,29.1,24.4,96,72,6.08,30.54
CAPE MORETON LIGHTHOUSE,17/01/2015,5.9,0.0, ,30.1,24.7,97,77,4.88,30.69
CAPE MORETON LIGHTHOUSE,18/01/2015,6.0,0.0, ,30.9,25.7,99,74,5.98,30.21
CAPE MORETON LIGHTHOUSE,19/01/2015,4.8,0.0, ,29.3,25.5,98,71,7.75,21.25
CAPE MORETON LIGHTHOUSE,20/01/2015,5.6,12.8, ,28.2,19.1,95,57,8.31,23.05
CAPE MORETON LIGHTHOUSE,21/01/2015,6.8,0.0, ,29.6,22.6,74,58,6.56,27.46
CAPE MORETON LIGHTHOUSE,22/01/2015,3.2,0.0, ,27.2,22.9,96,68,8.10,8.47
CAPE MORETON LIGHTHOUSE,23/01/2015,1.4,44.6, ,24.4,19.8,99,87,9.33,3.54
CAPE MORETON LIGHTHOUSE,24/01/2015,3.4,56.6, ,26.9,21.0,100,78,7.68,17.00
CAPE MORETON LIGHTHOUSE,25/01/2015,5.2,0.2, ,29.0,22.1,100,77,4.75,28.28
CAPE MORETON LIGHTHOUSE,26/01/2015,4.2,0.0, ,29.5,25.7,100,83,6.40,22.05
CAPE MORETON LIGHTHOUSE,27/01/2015,6.0,0.0, ,28.5,24.7,85,69,9.63,25.89
CAPE MORETON LIGHTHOUSE,28/01/2015,3.2,1.2, ,24.1,21.2,91,76,12.52,11.12
CAPE MORETON LIGHTHOUSE,29/01/2015,5.6,0.0, ,25.6,21.8,84,67,10.67,25.92
CAPE MORETON LIGHTHOUSE,30/01/2015,5.3,0.0, ,27.5,21.3,87,64,6.09,23.82
CAPE MORETON LIGHTHOUSE,31/01/2015,6.3,0.0, ,28.7,22.0,87,64,7.25,29.49
Totals:,,155.8,164, ,,,,,, 
