'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/04/2015,3.0,25.8, ,25.5,19.1,98,66,11.59,4.83
CAPE MORETON LIGHTHOUSE,02/04/2015,3.0,1.0, ,26.1,20.8,97,76,11.35,11.88
CAPE MORETON LIGHTHOUSE,03/04/2015,3.9,14.2, ,27.0,20.9,93,74,9.67,17.88
CAPE MORETON LIGHTHOUSE,04/04/2015,3.8,1.4, ,27.6,22.4,91,73,5.79,17.20
CAPE MORETON LIGHTHOUSE,05/04/2015,3.9,0.2, ,27.3,22.6,95,62,4.51,17.61
CAPE MORETON LIGHTHOUSE,06/04/2015,4.6,0.0, ,26.7,20.0,89,54,5.03,20.90
CAPE MORETON LIGHTHOUSE,07/04/2015,4.4,0.0, ,27.1,23.9,93,56,6.25,16.91
CAPE MORETON LIGHTHOUSE,08/04/2015,6.0,15.2, ,24.6,18.1,62,33,5.99,21.02
CAPE MORETON LIGHTHOUSE,09/04/2015,5.0,0.0, ,23.7,16.7,69,54,7.07,21.09
CAPE MORETON LIGHTHOUSE,10/04/2015,4.4,3.0, ,23.4,18.8,89,63,11.90,20.20
CAPE MORETON LIGHTHOUSE,11/04/2015,3.0,46.4, ,23.0,17.7,98,73,10.58,15.62
CAPE MORETON LIGHTHOUSE,12/04/2015,3.8,3.4, ,24.5,19.1,87,68,6.10,19.23
CAPE MORETON LIGHTHOUSE,13/04/2015,4.2,0.2, ,24.0,19.8,91,62,8.92,19.07
CAPE MORETON LIGHTHOUSE,14/04/2015,4.5,2.8, ,25.3,19.0,88,59,8.35,18.63
CAPE MORETON LIGHTHOUSE,15/04/2015,4.6,0.8, ,25.2,19.9,73,59,6.91,16.31
CAPE MORETON LIGHTHOUSE,16/04/2015,4.7,0.0, ,25.9,21.8,75,59,5.76,19.20
CAPE MORETON LIGHTHOUSE,17/04/2015,4.4,0.0, ,26.6,21.1,88,60,6.57,18.33
CAPE MORETON LIGHTHOUSE,18/04/2015,4.1,1.0, ,26.4,19.6,88,64,7.95,16.02
CAPE MORETON LIGHTHOUSE,19/04/2015,3.5,0.0, ,26.1,21.4,85,69,4.49,15.81
CAPE MORETON LIGHTHOUSE,20/04/2015,1.6,20.0, ,22.2,20.2,97,78,5.03,4.13
CAPE MORETON LIGHTHOUSE,21/04/2015,3.6,4.0, ,21.3,15.5,92,47,5.92,15.19
CAPE MORETON LIGHTHOUSE,22/04/2015,3.4,0.2, ,20.8,13.4,77,59,4.21,18.56
CAPE MORETON LIGHTHOUSE,23/04/2015,3.6,0.0, ,22.9,15.4,78,55,3.76,18.85
CAPE MORETON LIGHTHOUSE,24/04/2015,3.9,0.0, ,24.9,18.4,82,53,4.42,17.41
CAPE MORETON LIGHTHOUSE,25/04/2015,4.9,0.0, ,26.7,19.8,79,37,4.80,18.11
CAPE MORETON LIGHTHOUSE,26/04/2015,5.6,0.0, ,22.4,18.2,71,33,7.69,19.04
CAPE MORETON LIGHTHOUSE,27/04/2015,4.1,0.0, ,22.3,15.2,69,51,5.29,18.07
CAPE MORETON LIGHTHOUSE,28/04/2015,4.2,0.0, ,23.0,17.7,83,58,9.35,16.70
CAPE MORETON LIGHTHOUSE,29/04/2015,3.5,28.4, ,21.8,16.4,95,57,11.96,9.22
CAPE MORETON LIGHTHOUSE,30/04/2015,1.8,31.6, ,21.9,16.2,96,79,9.72,3.42
Totals:,,119,199.6, ,,,,,, 
