'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for May 2015,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/05/2015,2.8,54.2, ,23.4,15.9,98,71,16.98,6.29
CAPE MORETON LIGHTHOUSE,02/05/2015,3.0,18.8, ,22.1,16.1,88,68,4.70,17.41
CAPE MORETON LIGHTHOUSE,03/05/2015,3.0,0.0, ,23.1,17.6,86,67,4.44,15.67
CAPE MORETON LIGHTHOUSE,04/05/2015,3.2,0.0, ,24.2,17.5,91,60,4.09,16.61
CAPE MORETON LIGHTHOUSE,05/05/2015,3.2,0.0, ,24.8,19.3,89,65,4.08,16.49
CAPE MORETON LIGHTHOUSE,06/05/2015,3.7,0.0, ,25.1,20.3,89,52,4.33,16.65
CAPE MORETON LIGHTHOUSE,07/05/2015,3.8,0.0, ,22.6,16.2,86,54,6.58,16.57
CAPE MORETON LIGHTHOUSE,08/05/2015,3.6,0.0, ,21.2,15.8,82,57,6.75,16.57
CAPE MORETON LIGHTHOUSE,09/05/2015,3.3,0.0, ,21.9,15.4,88,44,4.04,14.61
CAPE MORETON LIGHTHOUSE,10/05/2015,4.1,0.0, ,22.4,14.2,68,36,4.60,16.70
CAPE MORETON LIGHTHOUSE,11/05/2015,4.5,0.0, ,23.1,15.6,59,43,5.35,16.66
CAPE MORETON LIGHTHOUSE,12/05/2015,3.6,0.0, ,23.5,16.4,81,47,4.21,16.18
CAPE MORETON LIGHTHOUSE,13/05/2015,4.2,0.0, ,22.9,17.4,82,43,6.26,16.32
CAPE MORETON LIGHTHOUSE,14/05/2015,4.4,0.0, ,18.3,11.0,51,38,6.68,16.08
CAPE MORETON LIGHTHOUSE,15/05/2015,4.4,0.0, ,21.4,13.9,95,40,10.34,15.21
CAPE MORETON LIGHTHOUSE,16/05/2015,3.4,5.2, ,21.6,16.3,94,62,13.85,12.09
CAPE MORETON LIGHTHOUSE,17/05/2015,3.8,1.6, ,22.0,17.2,91,57,12.19,13.01
CAPE MORETON LIGHTHOUSE,18/05/2015,2.9,11.6, ,22.7,17.9,94,70,10.68,12.13
CAPE MORETON LIGHTHOUSE,19/05/2015,2.2,0.0, ,23.5,18.8,93,80,4.58,11.81
CAPE MORETON LIGHTHOUSE,20/05/2015,2.4,0.0, ,23.2,18.2,97,75,4.27,14.55
CAPE MORETON LIGHTHOUSE,21/05/2015,2.2,0.0, ,23.8,20.0,97,76,4.79,11.89
CAPE MORETON LIGHTHOUSE,22/05/2015,3.0,6.8, ,18.1,15.8,95,52,7.42,15.43
CAPE MORETON LIGHTHOUSE,23/05/2015,4.0,0.0, ,19.9,15.0,78,56,11.81,14.71
CAPE MORETON LIGHTHOUSE,24/05/2015,3.2,1.2, ,21.2,14.8,91,63,10.45,14.80
CAPE MORETON LIGHTHOUSE,25/05/2015,3.8,0.0, ,22.0,16.6,88,52,9.11,14.28
CAPE MORETON LIGHTHOUSE,26/05/2015,2.8,0.0, ,20.9,16.6,87,65,6.83,12.32
CAPE MORETON LIGHTHOUSE,27/05/2015,2.3,0.0, ,21.4,16.9,91,75,5.42,13.27
CAPE MORETON LIGHTHOUSE,28/05/2015,2.3,0.0, ,22.6,16.9,93,74,3.80,13.87
CAPE MORETON LIGHTHOUSE,29/05/2015,2.3,0.0, ,23.1,17.4,93,72,3.80,13.92
CAPE MORETON LIGHTHOUSE,30/05/2015,2.6,0.0, ,23.7,18.9,96,68,4.63,13.85
CAPE MORETON LIGHTHOUSE,31/05/2015,1.9,0.0, ,23.1,19.2,95,81,6.85,9.23
Totals:,,99.9,99.4, ,,,,,, 
