'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for June 2015,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 July 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/06/2015,2.7,0.0, ,19.8,18.3,91,51,5.96,7.26
CAPE MORETON LIGHTHOUSE,02/06/2015,3.0,0.0, ,17.5,11.6,73,53,5.50,14.80
CAPE MORETON LIGHTHOUSE,03/06/2015,2.9,0.0, ,18.6,11.6,75,43,3.98,13.38
CAPE MORETON LIGHTHOUSE,04/06/2015,2.6,0.0, ,20.8,12.9,82,53,3.34,14.19
CAPE MORETON LIGHTHOUSE,05/06/2015,3.5,0.0, ,18.6,12.3,88,36,6.41,14.46
CAPE MORETON LIGHTHOUSE,06/06/2015,3.8,0.0, ,21.1,11.4,80,56,10.59,12.91
CAPE MORETON LIGHTHOUSE,07/06/2015,4.6,0.0, ,22.2,16.0,79,48,11.82,11.57
CAPE MORETON LIGHTHOUSE,08/06/2015,3.4,0.0, ,22.1,17.7,80,50,5.48,13.70
CAPE MORETON LIGHTHOUSE,09/06/2015,2.8,0.0, ,22.5,17.2,77,55,3.81,12.11
CAPE MORETON LIGHTHOUSE,10/06/2015,2.6,0.0, ,21.6,17.6,90,67,7.40,9.19
CAPE MORETON LIGHTHOUSE,11/06/2015,3.0,4.4, ,22.2,16.7,94,68,14.62,9.60
CAPE MORETON LIGHTHOUSE,12/06/2015,3.2,0.8, ,20.5,16.3,94,60,14.26,8.17
CAPE MORETON LIGHTHOUSE,13/06/2015,2.9,3.6, ,21.6,16.4,94,66,11.01,11.13
CAPE MORETON LIGHTHOUSE,14/06/2015,1.9,4.8, ,20.7,16.5,94,77,7.96,7.93
CAPE MORETON LIGHTHOUSE,15/06/2015,2.7,0.4, ,22.3,17.6,95,65,7.40,12.14
CAPE MORETON LIGHTHOUSE,16/06/2015,2.0,3.0, ,22.1,18.1,96,75,6.59,7.89
CAPE MORETON LIGHTHOUSE,17/06/2015,1.8,8.0, ,21.2,18.4,95,74,5.84,6.67
CAPE MORETON LIGHTHOUSE,18/06/2015,2.3,2.0, ,21.8,15.8,96,65,3.88,14.03
CAPE MORETON LIGHTHOUSE,19/06/2015,3.3,0.0, ,18.8,14.2,74,51,6.43,14.00
CAPE MORETON LIGHTHOUSE,20/06/2015,3.2,0.0, ,18.2,12.8,74,59,8.12,13.78
CAPE MORETON LIGHTHOUSE,21/06/2015,2.5,0.0, ,18.4,12.9,93,66,10.09,13.65
CAPE MORETON LIGHTHOUSE,22/06/2015,2.8,7.0, ,20.0,14.1,94,59,8.37,10.88
CAPE MORETON LIGHTHOUSE,23/06/2015,3.1,0.8, ,21.6,15.2,90,54,7.55,8.69
CAPE MORETON LIGHTHOUSE,24/06/2015,2.2,2.4, ,18.6,16.1,94,58,4.98,9.35
CAPE MORETON LIGHTHOUSE,25/06/2015,2.2,3.8, ,20.4,14.0,97,65,5.18,11.38
CAPE MORETON LIGHTHOUSE,26/06/2015, ,8.2, , ,15.1,96,74,10.87,10.43
CAPE MORETON LIGHTHOUSE,27/06/2015, , , ,21.3, ,96,76,9.49,10.40
CAPE MORETON LIGHTHOUSE,28/06/2015,2.4,9.4, ,22.3,16.2,98,66,6.04,12.00
CAPE MORETON LIGHTHOUSE,29/06/2015,2.2,18.2, ,19.7,15.9,98,66,8.09,8.74
CAPE MORETON LIGHTHOUSE,30/06/2015,2.4,3.0, ,21.4,14.9,93,65,4.74,13.03
Totals:,,78,79.8, ,,,,,, 
