'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for July 2015,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 August 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/07/2015,2.3,0.0, ,21.4,15.5,90,60,3.27,12.86
CAPE MORETON LIGHTHOUSE,02/07/2015,2.9,0.0, ,18.9,13.4,87,52,6.49,13.01
CAPE MORETON LIGHTHOUSE,03/07/2015,2.9,0.0, ,17.5,10.5,85,58,9.09,14.14
CAPE MORETON LIGHTHOUSE,04/07/2015,2.1,1.2, ,18.7,12.9,88,70,5.56,10.99
CAPE MORETON LIGHTHOUSE,05/07/2015,2.7,0.0, ,20.6,14.2,85,49,3.76,13.16
CAPE MORETON LIGHTHOUSE,06/07/2015,3.1,0.0, ,21.3,15.3,89,52,6.01,14.07
CAPE MORETON LIGHTHOUSE,07/07/2015,4.2,0.0, ,20.1,14.7,75,35,7.21,14.63
CAPE MORETON LIGHTHOUSE,08/07/2015,2.6,0.0, ,18.4,13.5,91,64,10.26,10.12
CAPE MORETON LIGHTHOUSE,09/07/2015,3.2,8.8, ,19.7,14.1,93,53,9.78,10.09
CAPE MORETON LIGHTHOUSE,10/07/2015,2.3,0.0, ,17.6,14.2,92,53,4.95,9.09
CAPE MORETON LIGHTHOUSE,11/07/2015,2.1,1.6, ,20.3,13.5,94,75,6.11,13.10
CAPE MORETON LIGHTHOUSE,12/07/2015,3.8,0.2, ,16.2,12.5,90,31,9.17,15.04
CAPE MORETON LIGHTHOUSE,13/07/2015,3.9,0.0, ,16.6,10.6,61,44,8.30,14.70
CAPE MORETON LIGHTHOUSE,14/07/2015,3.2,0.0, ,17.1,9.7,67,48,5.85,14.96
CAPE MORETON LIGHTHOUSE,15/07/2015,2.5,0.0, ,15.9,10.2,69,50,3.87,12.04
CAPE MORETON LIGHTHOUSE,16/07/2015,2.6,0.0, ,17.0,12.0,83,49,4.63,10.98
CAPE MORETON LIGHTHOUSE,17/07/2015,3.3,0.0, ,15.1,7.2,70,48,8.35,15.13
CAPE MORETON LIGHTHOUSE,18/07/2015,3.2,0.0, ,15.9,8.8,71,50,7.26,15.27
CAPE MORETON LIGHTHOUSE,19/07/2015,2.4,0.0, ,16.7,11.6,94,65,9.29,12.79
CAPE MORETON LIGHTHOUSE,20/07/2015,2.8,23.6, ,19.3,12.8,96,61,10.15,12.38
CAPE MORETON LIGHTHOUSE,21/07/2015,3.4,1.8, ,20.1,14.0,92,56,11.34,12.73
CAPE MORETON LIGHTHOUSE,22/07/2015,2.1,0.2, ,20.7,16.1,93,72,8.06,6.57
CAPE MORETON LIGHTHOUSE,23/07/2015,1.9,8.8, ,22.1,16.2,98,80,4.49,11.51
CAPE MORETON LIGHTHOUSE,24/07/2015,2.2,1.0, ,22.4,18.0,95,76,4.54,12.33
CAPE MORETON LIGHTHOUSE,25/07/2015,2.2,0.0, ,22.3,16.8,96,63,4.02,8.47
CAPE MORETON LIGHTHOUSE,26/07/2015,2.2,0.0, ,22.3,17.3,96,76,3.84,14.16
CAPE MORETON LIGHTHOUSE,27/07/2015,3.3,0.0, ,21.0,14.9,96,43,5.42,14.83
CAPE MORETON LIGHTHOUSE,28/07/2015,3.4,0.0, ,18.0,13.2,81,56,9.28,15.65
CAPE MORETON LIGHTHOUSE,29/07/2015,3.5,0.2, ,18.2,12.7,75,55,7.88,15.73
CAPE MORETON LIGHTHOUSE,30/07/2015, ,0.0, , ,13.7,90,65,4.91,15.02
CAPE MORETON LIGHTHOUSE,31/07/2015, , , ,20.8, ,92,60,4.23,15.92
Totals:,,82.3,47.4, ,,,,,, 
