'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for August 2015,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/08/2015,2.7,0.0, ,20.6,16.0,88,64,4.19,15.91
CAPE MORETON LIGHTHOUSE,02/08/2015,3.1,0.0, ,21.9,17.1,86,69,6.54,16.09
CAPE MORETON LIGHTHOUSE,03/08/2015,3.2,0.0, ,21.7,17.9,91,65,7.43,15.91
CAPE MORETON LIGHTHOUSE,04/08/2015,3.5,0.0, ,19.3,15.1,83,54,7.39,15.04
CAPE MORETON LIGHTHOUSE,05/08/2015,4.2,0.0, ,17.3,8.4,63,33,6.78,17.33
CAPE MORETON LIGHTHOUSE,06/08/2015,3.9,0.0, ,17.6,9.9,60,39,5.62,16.89
CAPE MORETON LIGHTHOUSE,07/08/2015,3.5,0.0, ,18.5,11.1,67,48,4.95,16.98
CAPE MORETON LIGHTHOUSE,08/08/2015,3.4,0.0, ,19.1,11.4,88,45,5.68,17.13
CAPE MORETON LIGHTHOUSE,09/08/2015,3.4,0.0, ,19.9,13.0,80,55,6.05,16.92
CAPE MORETON LIGHTHOUSE,10/08/2015,3.0,0.0, ,20.8,14.5,86,61,4.48,17.18
CAPE MORETON LIGHTHOUSE,11/08/2015,3.7,0.0, ,22.0,16.7,83,62,7.71,17.43
CAPE MORETON LIGHTHOUSE,12/08/2015,4.0,0.0, ,21.4,18.0,94,53,10.67,16.59
CAPE MORETON LIGHTHOUSE,13/08/2015,5.4,6.6, ,19.8,12.5,55,31,7.99,18.24
CAPE MORETON LIGHTHOUSE,14/08/2015,3.7,0.0, ,18.5,11.7,78,39,4.86,17.94
CAPE MORETON LIGHTHOUSE,15/08/2015,3.4,0.0, ,19.2,13.4,78,57,7.12,14.06
CAPE MORETON LIGHTHOUSE,16/08/2015,2.9,0.0, ,18.6,13.8,86,66,7.37,15.14
CAPE MORETON LIGHTHOUSE,17/08/2015,3.0,0.0, ,21.8,13.7,93,64,4.22,17.69
CAPE MORETON LIGHTHOUSE,18/08/2015,3.5,0.0, ,20.5,13.4,89,53,5.83,18.38
CAPE MORETON LIGHTHOUSE,19/08/2015,3.8,0.0, ,21.1,13.7,83,54,6.77,16.85
CAPE MORETON LIGHTHOUSE,20/08/2015,2.7,0.0, ,19.6,15.2,96,60,8.67,8.48
CAPE MORETON LIGHTHOUSE,21/08/2015,2.5,3.6, ,21.3,16.5,97,73,8.43,12.27
CAPE MORETON LIGHTHOUSE,22/08/2015,2.4,31.2, ,21.8,16.9,99,83,3.92,16.78
CAPE MORETON LIGHTHOUSE,23/08/2015,3.0,0.6, ,22.7,18.7,92,75,5.32,17.24
CAPE MORETON LIGHTHOUSE,24/08/2015,2.9,0.0, ,22.1,18.7,95,75,8.36,16.80
CAPE MORETON LIGHTHOUSE,25/08/2015,2.7,0.4, ,22.7,18.5,98,80,8.64,18.13
CAPE MORETON LIGHTHOUSE,26/08/2015,3.2,0.0, ,23.0,18.5,99,64,4.84,17.68
CAPE MORETON LIGHTHOUSE,27/08/2015,2.5,0.0, ,21.8,19.1,99,61,4.60,9.22
CAPE MORETON LIGHTHOUSE,28/08/2015,3.0,13.4, ,21.1,14.9,99,62,4.61,16.67
CAPE MORETON LIGHTHOUSE,29/08/2015,3.0,0.0, ,21.5,16.0,99,62,5.56,14.92
CAPE MORETON LIGHTHOUSE,30/08/2015,3.9,17.0, ,20.9,14.9,99,40,5.33,19.85
CAPE MORETON LIGHTHOUSE,31/08/2015,4.2,0.0, ,20.5,12.9,70,49,5.43,20.17
Totals:,,103.3,72.8, ,,,,,, 
