'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/09/2015,4.7,0.0, ,21.4,12.8,77,35,5.28,20.90
CAPE MORETON LIGHTHOUSE,02/09/2015,4.4,0.0, ,21.8,14.4,84,40,5.35,20.00
CAPE MORETON LIGHTHOUSE,03/09/2015,4.7,0.2, ,22.7,18.0,98,33,9.59,11.09
CAPE MORETON LIGHTHOUSE,04/09/2015,4.8,4.8, ,20.4,14.0,80,43,8.28,20.30
CAPE MORETON LIGHTHOUSE,05/09/2015,3.6,0.0, ,21.6,15.4,93,64,7.48,20.35
CAPE MORETON LIGHTHOUSE,06/09/2015,3.6,0.0, ,23.2,16.5,84,63,3.34,19.85
CAPE MORETON LIGHTHOUSE,07/09/2015,3.7,0.0, ,22.1,17.2,85,68,5.46,20.23
CAPE MORETON LIGHTHOUSE,08/09/2015,5.1,0.0, ,22.4,17.8,89,33,7.53,18.38
CAPE MORETON LIGHTHOUSE,09/09/2015,5.3,0.0, ,21.2,13.9,65,36,6.20,21.78
CAPE MORETON LIGHTHOUSE,10/09/2015,4.2,0.0, ,20.1,15.5,86,59,10.24,21.32
CAPE MORETON LIGHTHOUSE,11/09/2015,3.4,1.8, ,19.8,15.2,99,56,10.79,13.44
CAPE MORETON LIGHTHOUSE,12/09/2015,4.0,3.6, ,22.6,16.5,91,53,7.36,14.86
CAPE MORETON LIGHTHOUSE,13/09/2015,4.9,0.8, ,22.9,16.6,75,53,7.63,20.49
CAPE MORETON LIGHTHOUSE,14/09/2015,4.4,0.0, ,22.8,17.6,80,57,6.87,19.27
CAPE MORETON LIGHTHOUSE,15/09/2015,3.9,0.0, ,22.7,18.7,82,67,5.70,19.14
CAPE MORETON LIGHTHOUSE,16/09/2015,3.7,0.0, ,23.1,18.3,97,71,6.63,22.19
CAPE MORETON LIGHTHOUSE,17/09/2015,2.7,0.8, ,23.1,18.6,99,65,5.16,9.97
CAPE MORETON LIGHTHOUSE,18/09/2015,3.5,5.4, ,19.8,13.4,97,62,11.82,18.80
CAPE MORETON LIGHTHOUSE,19/09/2015,3.7,17.0, ,20.3,14.7,94,60,12.78,16.80
CAPE MORETON LIGHTHOUSE,20/09/2015,3.6,2.4, ,20.6,15.6,99,66,10.76,21.78
CAPE MORETON LIGHTHOUSE,21/09/2015,4.1,2.2, ,22.6,16.6,93,59,7.86,19.94
CAPE MORETON LIGHTHOUSE,22/09/2015,4.4,0.0, ,23.7,16.6,92,59,5.66,23.20
CAPE MORETON LIGHTHOUSE,23/09/2015,4.3,0.0, ,19.4,16.5,85,60,12.18,21.82
CAPE MORETON LIGHTHOUSE,24/09/2015,5.0,0.0, ,19.1,12.5,66,52,9.14,24.12
CAPE MORETON LIGHTHOUSE,25/09/2015,4.6,0.0, ,19.9,12.9,84,52,10.45,21.42
CAPE MORETON LIGHTHOUSE,26/09/2015,3.9,0.0, ,19.8,14.4,87,65,10.40,22.37
CAPE MORETON LIGHTHOUSE,27/09/2015,3.9,2.6, ,21.6,14.9,92,64,6.58,22.45
CAPE MORETON LIGHTHOUSE,28/09/2015,4.1,0.0, ,22.4,14.7,95,62,4.79,24.00
CAPE MORETON LIGHTHOUSE,29/09/2015,4.6,0.0, ,23.4,17.8,92,56,6.36,22.81
CAPE MORETON LIGHTHOUSE,30/09/2015,4.3,16.0, ,22.7,15.1,86,65,6.57,23.46
Totals:,,125.1,57.6, ,,,,,, 
