'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/01/2016,6.4,0.2, ,25.9,20.0,78,52,10.30,22.34
CAPE MORETON LIGHTHOUSE,02/01/2016,6.6,0.0, ,26.6,19.5,78,56,6.91,31.00
CAPE MORETON LIGHTHOUSE,03/01/2016,4.9,0.0, ,27.3,21.7,94,59,7.36,18.94
CAPE MORETON LIGHTHOUSE,04/01/2016,2.6,0.8, ,25.0,21.0,99,80,6.76,11.13
CAPE MORETON LIGHTHOUSE,05/01/2016,1.4,23.8, ,24.8,19.9,100,87,8.45,3.56
CAPE MORETON LIGHTHOUSE,06/01/2016,6.8,8.0, ,31.1,21.0,100,41,4.51,28.31
CAPE MORETON LIGHTHOUSE,07/01/2016, ,0.0, , ,22.9,99,61,7.22,28.84
CAPE MORETON LIGHTHOUSE,08/01/2016, , , , , ,82,63,10.24,30.35
CAPE MORETON LIGHTHOUSE,09/01/2016, , , ,27.6, ,75,59,5.42,29.71
CAPE MORETON LIGHTHOUSE,10/01/2016,6.4,0.0, ,28.0,21.7,77,60,5.21,28.96
CAPE MORETON LIGHTHOUSE,11/01/2016,6.7,0.0, ,28.1,22.0,77,58,5.07,30.46
CAPE MORETON LIGHTHOUSE,12/01/2016,6.6,0.0, ,28.1,22.7,78,61,5.03,30.42
CAPE MORETON LIGHTHOUSE,13/01/2016,6.4,0.0, ,28.7,23.0,82,61,4.69,29.69
CAPE MORETON LIGHTHOUSE,14/01/2016,6.5,0.0, ,29.0,22.7,78,56,4.52,28.80
CAPE MORETON LIGHTHOUSE,15/01/2016,6.8,0.0, ,29.3,23.6,92,60,11.34,29.34
CAPE MORETON LIGHTHOUSE,16/01/2016,4.5,0.2, ,24.4,20.2,99,53,17.20,7.87
CAPE MORETON LIGHTHOUSE,17/01/2016,7.3,0.0, ,26.0,21.8,73,56,13.36,28.31
CAPE MORETON LIGHTHOUSE,18/01/2016,6.9,0.0, ,27.6,21.9,71,49,8.30,23.03
CAPE MORETON LIGHTHOUSE,19/01/2016,6.1,0.0, ,28.1,21.8,73,53,4.72,24.18
CAPE MORETON LIGHTHOUSE,20/01/2016,7.0,0.0, ,27.9,22.0,73,49,4.79,30.66
CAPE MORETON LIGHTHOUSE,21/01/2016,7.0,0.0, ,28.3,22.9,74,56,6.25,29.60
CAPE MORETON LIGHTHOUSE,22/01/2016,6.7,0.0, ,28.6,23.2,81,60,7.94,28.22
CAPE MORETON LIGHTHOUSE,23/01/2016,3.5,0.0, ,27.9,23.5,90,75,8.23,11.16
CAPE MORETON LIGHTHOUSE,24/01/2016,5.5,0.4, ,28.2,22.8,96,69,8.44,27.65
CAPE MORETON LIGHTHOUSE,25/01/2016,5.5,0.0, ,30.2,23.8,85,63,6.49,20.32
CAPE MORETON LIGHTHOUSE,26/01/2016,4.4,0.0, ,27.9,24.1,81,69,7.87,12.85
CAPE MORETON LIGHTHOUSE,27/01/2016,6.4,0.0, ,28.6,22.5,88,58,7.70,27.64
CAPE MORETON LIGHTHOUSE,28/01/2016,2.7,0.0, ,26.7,23.0,100,73,6.19,9.49
CAPE MORETON LIGHTHOUSE,29/01/2016,4.2,4.2, ,30.1,23.0,100,80,8.18,21.59
CAPE MORETON LIGHTHOUSE,30/01/2016,1.8,6.6, ,28.3,23.5,100,89,8.03,7.15
CAPE MORETON LIGHTHOUSE,31/01/2016,3.4,9.6, ,26.6,23.3,100,83,8.49,18.58
Totals:,,151,53.8, ,,,,,, 
