'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/02/2016,4.2,0.8, ,29.0,24.2,100,76,8.98,19.95
CAPE MORETON LIGHTHOUSE,02/02/2016,3.2,75.8, ,28.4,20.9,100,82,7.28,16.02
CAPE MORETON LIGHTHOUSE,03/02/2016,4.9,1.4, ,29.2,22.5,100,75,4.80,25.02
CAPE MORETON LIGHTHOUSE,04/02/2016,2.7,0.0, ,25.6,24.9,100,74,9.01,9.58
CAPE MORETON LIGHTHOUSE,05/02/2016,2.1,1.0, ,26.1,22.5,100,84,14.33,7.54
CAPE MORETON LIGHTHOUSE,06/02/2016,4.4,0.4, ,27.0,21.9,99,72,13.22,21.77
CAPE MORETON LIGHTHOUSE,07/02/2016,4.2,1.8, ,25.1,21.8,98,70,13.12,21.35
CAPE MORETON LIGHTHOUSE,08/02/2016,6.0,0.0, ,26.4,22.1,83,65,11.18,26.68
CAPE MORETON LIGHTHOUSE,09/02/2016,6.8,0.0, ,27.2,22.3,85,59,14.60,28.29
CAPE MORETON LIGHTHOUSE,10/02/2016,5.8,0.0, ,27.3,22.7,88,60,12.41,21.31
CAPE MORETON LIGHTHOUSE,11/02/2016,5.4,0.0, ,27.3,23.4,85,67,11.62,20.37
CAPE MORETON LIGHTHOUSE,12/02/2016,6.0,0.0, ,27.1,23.0,81,62,13.12,20.78
CAPE MORETON LIGHTHOUSE,13/02/2016,3.6,0.4, ,25.7,22.9,100,68,15.28,12.19
CAPE MORETON LIGHTHOUSE,14/02/2016,4.3,3.6, ,26.2,21.3,91,76,10.90,21.72
CAPE MORETON LIGHTHOUSE,15/02/2016,5.2,0.0, ,27.5,22.4,97,68,9.93,26.63
CAPE MORETON LIGHTHOUSE,16/02/2016,6.1,0.0, ,30.1,23.9,89,64,5.97,27.48
CAPE MORETON LIGHTHOUSE,17/02/2016,4.8,0.0, ,30.3,23.7,91,70,4.49,21.13
CAPE MORETON LIGHTHOUSE,18/02/2016,5.7,0.0, ,29.9,24.4,88,70,6.30,26.34
CAPE MORETON LIGHTHOUSE,19/02/2016,5.5,0.0, ,29.5,25.1,86,72,7.47,24.29
CAPE MORETON LIGHTHOUSE,20/02/2016,6.1,0.0, ,30.4,24.5,84,60,7.76,21.87
CAPE MORETON LIGHTHOUSE,21/02/2016,6.0,0.0, ,27.5,24.0,83,66,12.51,24.32
CAPE MORETON LIGHTHOUSE,22/02/2016,5.6,0.0, ,27.5,23.8,90,66,13.03,24.31
CAPE MORETON LIGHTHOUSE,23/02/2016,6.2,0.0, ,27.5,23.5,82,62,12.13,23.58
CAPE MORETON LIGHTHOUSE,24/02/2016,6.2,0.2, ,28.1,23.1,75,63,8.83,24.01
CAPE MORETON LIGHTHOUSE,25/02/2016,5.8,0.0, ,28.5,22.8,78,61,5.48,24.07
CAPE MORETON LIGHTHOUSE,26/02/2016,6.0,0.0, ,29.1,21.9,80,63,6.14,26.19
CAPE MORETON LIGHTHOUSE,27/02/2016,5.4,0.0, ,27.7,24.1,96,64,17.41,21.22
CAPE MORETON LIGHTHOUSE,28/02/2016,5.1,0.2, ,28.2,23.7,97,69,12.55,24.76
CAPE MORETON LIGHTHOUSE,29/02/2016,5.0,0.2, ,27.9,24.4,88,71,13.41,19.21
Totals:,,148.3,85.8, ,,,,,, 
