'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for June 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/06/2016,2.3,18.6, ,19.8,16.1,99,61,8.12,6.55
CAPE MORETON LIGHTHOUSE,02/06/2016,1.7,24.4, ,21.0,15.7,99,78,7.11,8.02
CAPE MORETON LIGHTHOUSE,03/06/2016,1.4,19.0, ,21.8,16.3,100,84,8.35,7.10
CAPE MORETON LIGHTHOUSE,04/06/2016,1.2,27.4, ,21.0,17.2,100,86,14.23,3.45
CAPE MORETON LIGHTHOUSE,05/06/2016,2.8,77.4, ,18.1,14.7,92,60,10.09,13.00
CAPE MORETON LIGHTHOUSE,06/06/2016,3.4,0.0, ,17.3,14.1,70,54,8.91,6.80
CAPE MORETON LIGHTHOUSE,07/06/2016,4.0,0.0, ,20.4,13.7,67,44,6.68,14.18
CAPE MORETON LIGHTHOUSE,08/06/2016,3.4,0.0, ,21.3,14.8,77,40,4.47,14.14
CAPE MORETON LIGHTHOUSE,09/06/2016,3.5,0.0, ,23.8,17.0,85,53,5.78,14.11
CAPE MORETON LIGHTHOUSE,10/06/2016,3.6,0.0, ,23.7,18.6,86,41,5.08,13.31
CAPE MORETON LIGHTHOUSE,11/06/2016,3.1,0.0, ,24.3,15.6,76,52,3.92,12.70
CAPE MORETON LIGHTHOUSE,12/06/2016,2.7,0.0, ,20.6,15.0,99,62,12.40,7.89
CAPE MORETON LIGHTHOUSE,13/06/2016,3.1,0.8, ,21.3,16.4,97,64,15.14,10.59
CAPE MORETON LIGHTHOUSE,14/06/2016,3.4,1.6, ,21.9,16.4,87,64,12.28,11.95
CAPE MORETON LIGHTHOUSE,15/06/2016,3.1,0.2, ,22.3,16.8,99,62,12.26,12.22
CAPE MORETON LIGHTHOUSE,16/06/2016,3.1,3.6, ,22.0,16.5,99,57,9.26,12.96
CAPE MORETON LIGHTHOUSE,17/06/2016,2.9,0.0, ,23.5,18.1,83,58,5.12,10.13
CAPE MORETON LIGHTHOUSE,18/06/2016,2.0,0.4, ,24.2,18.4,99,71,4.44,9.20
CAPE MORETON LIGHTHOUSE,19/06/2016,1.6,8.6, ,22.0,18.1,100,81,11.21,4.96
CAPE MORETON LIGHTHOUSE,20/06/2016,3.2,26.6, ,21.1,15.9,100,49,7.96,13.85
CAPE MORETON LIGHTHOUSE,21/06/2016,3.4,0.0, ,20.3,14.0,73,54,6.59,13.00
CAPE MORETON LIGHTHOUSE,22/06/2016,2.5,0.0, ,19.7,14.4,78,59,4.76,8.78
CAPE MORETON LIGHTHOUSE,23/06/2016,2.3,0.2, ,19.5,14.9,84,56,4.01,8.05
CAPE MORETON LIGHTHOUSE,24/06/2016,4.1,0.0, ,22.2,16.6,84,45,8.92,9.44
CAPE MORETON LIGHTHOUSE,25/06/2016,3.8,0.0, ,16.6,10.8,58,33,6.10,14.03
CAPE MORETON LIGHTHOUSE,26/06/2016,2.6,0.0, ,18.4,10.1,73,50,4.20,9.53
CAPE MORETON LIGHTHOUSE,27/06/2016,2.4,0.0, ,18.0,13.9,87,61,6.42,7.64
CAPE MORETON LIGHTHOUSE,28/06/2016,3.2,0.0, ,16.7,8.4,70,50,7.50,14.09
CAPE MORETON LIGHTHOUSE,29/06/2016,3.1,0.0, ,18.2,10.5,73,58,7.49,14.11
CAPE MORETON LIGHTHOUSE,30/06/2016,2.5,0.0, ,19.9,14.2,79,67,5.21,13.27
Totals:,,85.4,208.8, ,,,,,, 
