'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/09/2016,3.1,0.0, ,23.1,17.2,96,75,5.72,18.64
CAPE MORETON LIGHTHOUSE,02/09/2016,2.8,1.2, ,22.2,18.1,99,76,9.75,16.01
CAPE MORETON LIGHTHOUSE,03/09/2016,4.3,10.8, ,22.8,16.1,99,51,8.18,20.32
CAPE MORETON LIGHTHOUSE,04/09/2016,4.8,0.0, ,20.7,14.1,69,43,6.32,20.58
CAPE MORETON LIGHTHOUSE,05/09/2016,5.2,0.0, ,21.4,17.6,72,49,10.62,16.61
CAPE MORETON LIGHTHOUSE,06/09/2016,4.0,0.0, ,20.6,17.7,82,61,10.77,13.83
CAPE MORETON LIGHTHOUSE,07/09/2016,4.6,0.0, ,22.6,17.4,83,58,10.17,18.76
CAPE MORETON LIGHTHOUSE,08/09/2016,4.8,0.4, ,22.6,17.9,77,59,10.36,18.24
CAPE MORETON LIGHTHOUSE,09/09/2016,3.2,0.0, ,22.2,18.9,96,70,12.07,15.06
CAPE MORETON LIGHTHOUSE,10/09/2016,3.1,5.8, ,22.5,17.7,99,71,8.85,15.97
CAPE MORETON LIGHTHOUSE,11/09/2016,3.4,5.2, ,21.8,15.1,99,61,3.79,20.21
CAPE MORETON LIGHTHOUSE,12/09/2016,3.3,0.0, ,23.5,17.2,87,68,4.36,16.01
CAPE MORETON LIGHTHOUSE,13/09/2016,3.6,0.0, ,24.1,19.0,92,72,4.81,20.06
CAPE MORETON LIGHTHOUSE,14/09/2016,3.4,1.0, ,24.0,19.2,97,78,8.21,21.20
CAPE MORETON LIGHTHOUSE,15/09/2016,2.4,0.0, ,23.7,19.4,100,84,5.78,14.47
CAPE MORETON LIGHTHOUSE,16/09/2016,4.0,4.0, ,24.3,17.8,100,58,6.07,20.06
CAPE MORETON LIGHTHOUSE,17/09/2016,3.9,0.2, ,23.2,15.4,86,64,7.70,17.84
CAPE MORETON LIGHTHOUSE,18/09/2016,1.7,2.8, ,21.5,19.2,100,87,8.17,9.31
CAPE MORETON LIGHTHOUSE,19/09/2016,3.1,4.4, ,21.6,18.3,100,59,6.28,12.61
CAPE MORETON LIGHTHOUSE,20/09/2016,4.4,0.0, ,22.0,14.9,79,48,4.37,21.05
CAPE MORETON LIGHTHOUSE,21/09/2016,1.8,0.0, ,21.7,19.1,100,76,3.90,7.41
CAPE MORETON LIGHTHOUSE,22/09/2016,5.1,2.6, ,23.3,16.5,100,38,6.72,23.34
CAPE MORETON LIGHTHOUSE,23/09/2016,5.8,0.0, ,23.8,14.5,72,34,5.80,23.50
CAPE MORETON LIGHTHOUSE,24/09/2016,4.5,0.0, ,22.7,16.1,79,52,3.81,23.25
CAPE MORETON LIGHTHOUSE,25/09/2016,4.8,0.0, ,25.4,18.0,96,41,5.48,18.53
CAPE MORETON LIGHTHOUSE,26/09/2016,5.2,0.0, ,23.8,16.6,82,45,5.52,23.92
CAPE MORETON LIGHTHOUSE,27/09/2016,5.2,0.0, ,23.1,16.5,74,36,5.65,18.06
CAPE MORETON LIGHTHOUSE,28/09/2016,6.2,0.0, ,25.6,16.6,80,34,6.45,24.17
CAPE MORETON LIGHTHOUSE,29/09/2016,3.1,0.0, ,23.3,19.7,91,68,8.86,8.94
CAPE MORETON LIGHTHOUSE,30/09/2016,6.4,5.0, ,25.5,17.4,99,28,7.94,24.50
Totals:,,121.2,43.4, ,,,,,, 
