'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for November 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 December 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/11/2016,1.8,2.4, ,23.9,20.9,100,89,4.58,8.39
CAPE MORETON LIGHTHOUSE,02/11/2016,6.4,6.8, ,26.2,17.6,100,41,7.74,28.64
CAPE MORETON LIGHTHOUSE,03/11/2016,5.5,0.0, ,26.5,19.8,75,53,4.82,22.93
CAPE MORETON LIGHTHOUSE,04/11/2016,6.2,0.0, ,26.2,20.4,80,56,6.07,28.63
CAPE MORETON LIGHTHOUSE,05/11/2016,5.4,0.0, ,26.6,20.9,90,72,8.32,28.96
CAPE MORETON LIGHTHOUSE,06/11/2016,5.6,0.0, ,27.0,20.7,96,62,5.59,29.03
CAPE MORETON LIGHTHOUSE,07/11/2016,5.1,0.0, ,26.9,21.4,99,62,6.54,24.38
CAPE MORETON LIGHTHOUSE,08/11/2016,4.3,0.0, ,26.6,22.3,100,77,9.65,25.23
CAPE MORETON LIGHTHOUSE,09/11/2016,3.9,0.0, ,26.1,22.5,99,79,10.53,22.50
CAPE MORETON LIGHTHOUSE,10/11/2016,4.9,0.2, ,27.7,22.3,100,78,6.25,28.12
CAPE MORETON LIGHTHOUSE,11/11/2016,5.0,0.0, ,28.3,21.9,100,72,5.94,26.14
CAPE MORETON LIGHTHOUSE,12/11/2016,3.8,0.0, ,28.3,22.9,100,83,6.27,20.02
CAPE MORETON LIGHTHOUSE,13/11/2016,4.0,19.2, ,26.5,20.4,100,77,6.86,21.79
CAPE MORETON LIGHTHOUSE,14/11/2016,7.6,1.4, ,29.5,21.6,100,22,6.55,26.87
CAPE MORETON LIGHTHOUSE,15/11/2016,6.9,0.0, ,24.8,18.1,73,42,8.20,27.66
CAPE MORETON LIGHTHOUSE,16/11/2016,5.9,0.0, ,25.5,19.9,73,53,5.38,25.14
CAPE MORETON LIGHTHOUSE,17/11/2016,4.7,0.8, ,24.3,17.8,98,61,9.82,23.26
CAPE MORETON LIGHTHOUSE,18/11/2016,6.3,0.0, ,25.5,19.2,78,54,7.54,27.99
CAPE MORETON LIGHTHOUSE,19/11/2016,5.3,0.0, ,27.0,20.5,81,57,6.35,19.65
CAPE MORETON LIGHTHOUSE,20/11/2016,6.0,0.0, ,26.5,20.5,84,61,6.50,29.13
CAPE MORETON LIGHTHOUSE,21/11/2016,6.0,0.0, ,25.8,20.5,85,62,7.46,29.63
CAPE MORETON LIGHTHOUSE,22/11/2016,5.5,0.0, ,25.5,20.6,90,62,9.70,26.32
CAPE MORETON LIGHTHOUSE,23/11/2016,5.0,0.0, ,26.2,20.9,99,71,7.38,28.19
CAPE MORETON LIGHTHOUSE,24/11/2016,5.8,0.0, ,28.6,21.4,99,65,9.04,29.16
CAPE MORETON LIGHTHOUSE,25/11/2016,5.4,0.0, ,26.3,20.1,86,62,7.65,23.73
CAPE MORETON LIGHTHOUSE,26/11/2016,3.3,0.0, ,25.3,22.2,88,69,7.17,9.05
CAPE MORETON LIGHTHOUSE,27/11/2016,5.2,0.0, ,27.2,21.9,76,59,4.63,20.36
CAPE MORETON LIGHTHOUSE,28/11/2016,5.9,0.0, ,27.9,21.6,78,55,5.18,23.45
CAPE MORETON LIGHTHOUSE,29/11/2016,6.5,0.0, ,27.2,21.3,77,56,5.35,29.54
CAPE MORETON LIGHTHOUSE,30/11/2016,5.9,0.0, ,27.2,20.9,87,62,5.64,28.88
Totals:,,159.1,30.8, ,,,,,, 
