'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for January 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 February 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/01/2017,5.9,0.0, ,30.5,24.6,100,74,7.58,30.37
CAPE MORETON LIGHTHOUSE,02/01/2017,5.6,0.0, ,30.6,24.8,100,67,6.39,25.53
CAPE MORETON LIGHTHOUSE,03/01/2017,3.3,7.2, ,27.6,22.0,100,76,12.36,12.64
CAPE MORETON LIGHTHOUSE,04/01/2017,2.7,3.4, ,26.5,21.3,100,78,14.10,8.59
CAPE MORETON LIGHTHOUSE,05/01/2017,4.5,2.8, ,28.0,20.9,100,71,9.73,21.55
CAPE MORETON LIGHTHOUSE,06/01/2017,5.8,0.0, ,28.2,23.0,86,62,9.39,21.66
CAPE MORETON LIGHTHOUSE,07/01/2017,6.0,0.0, ,27.3,22.6,88,64,13.21,24.86
CAPE MORETON LIGHTHOUSE,08/01/2017,7.1,0.0, ,27.9,21.8,78,53,9.39,27.61
CAPE MORETON LIGHTHOUSE,09/01/2017,4.9,0.0, ,29.1,22.8,88,68,6.32,19.33
CAPE MORETON LIGHTHOUSE,10/01/2017,6.2,0.0, ,29.8,23.7,88,66,6.07,28.46
CAPE MORETON LIGHTHOUSE,11/01/2017,6.6,0.0, ,29.9,24.1,93,60,6.42,30.11
CAPE MORETON LIGHTHOUSE,12/01/2017,5.5,0.0, ,30.6,24.1,100,71,6.29,26.24
CAPE MORETON LIGHTHOUSE,13/01/2017,5.5,0.0, ,30.9,24.3,100,76,4.87,27.68
CAPE MORETON LIGHTHOUSE,14/01/2017,5.4,0.0, ,30.3,25.3,100,79,8.57,29.71
CAPE MORETON LIGHTHOUSE,15/01/2017,2.7,0.0, ,30.0,25.7,100,89,6.56,12.70
CAPE MORETON LIGHTHOUSE,16/01/2017,6.4,0.0, ,31.1,24.1,100,62,5.41,29.67
CAPE MORETON LIGHTHOUSE,17/01/2017,6.0,0.0, ,31.5,24.5,92,58,5.17,24.33
CAPE MORETON LIGHTHOUSE,18/01/2017,6.1,0.0, ,30.2,23.7,99,69,7.13,30.57
CAPE MORETON LIGHTHOUSE,19/01/2017,5.2,0.0, ,28.7,24.6,99,71,10.91,25.73
CAPE MORETON LIGHTHOUSE,20/01/2017,5.3,6.4, ,30.0,23.6,100,71,6.45,25.70
CAPE MORETON LIGHTHOUSE,21/01/2017,4.2,0.0, ,31.2,23.6,100,68,10.10,12.88
CAPE MORETON LIGHTHOUSE,22/01/2017,6.6,5.6, ,27.1,22.9,80,58,11.06,24.86
CAPE MORETON LIGHTHOUSE,23/01/2017,6.2,0.0, ,28.1,23.1,69,53,6.49,20.00
CAPE MORETON LIGHTHOUSE,24/01/2017,7.3,0.0, ,29.9,24.1,73,49,4.78,29.68
CAPE MORETON LIGHTHOUSE,25/01/2017,6.8,0.0, ,29.7,24.1,81,59,5.35,29.92
CAPE MORETON LIGHTHOUSE,26/01/2017,6.7,0.0, ,30.6,24.3,80,55,5.04,27.33
CAPE MORETON LIGHTHOUSE,27/01/2017,3.1,0.0, ,29.1,23.8,87,74,4.15,9.86
CAPE MORETON LIGHTHOUSE,28/01/2017,5.4,4.8, ,29.7,22.8,100,65,5.39,25.48
CAPE MORETON LIGHTHOUSE,29/01/2017,6.3,0.0, ,30.4,23.9,84,61,6.03,26.01
CAPE MORETON LIGHTHOUSE,30/01/2017,6.8,0.0, ,29.9,24.8,83,58,6.26,28.56
CAPE MORETON LIGHTHOUSE,31/01/2017,6.9,0.0, ,31.1,24.7,81,59,5.78,28.31
Totals:,,173,30.2, ,,,,,, 
