'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for February 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 March 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/02/2017,6.6,0.0, ,30.2,24.2,91,60,6.35,29.58
CAPE MORETON LIGHTHOUSE,02/02/2017,6.9,0.0, ,30.3,25.2,86,60,7.44,29.23
CAPE MORETON LIGHTHOUSE,03/02/2017,6.9,0.0, ,31.3,25.1,84,56,5.65,27.69
CAPE MORETON LIGHTHOUSE,04/02/2017,6.3,0.0, ,31.1,24.8,83,60,4.77,25.75
CAPE MORETON LIGHTHOUSE,05/02/2017,6.0,0.0, ,31.5,25.1,83,57,4.96,22.77
CAPE MORETON LIGHTHOUSE,06/02/2017,6.6,0.0, ,31.1,25.0,81,58,5.01,27.23
CAPE MORETON LIGHTHOUSE,07/02/2017,7.3,0.0, ,32.1,24.8,83,55,7.09,27.80
CAPE MORETON LIGHTHOUSE,08/02/2017,5.6,0.0, ,29.0,24.3,95,64,13.52,21.91
CAPE MORETON LIGHTHOUSE,09/02/2017,5.2,2.4, ,29.4,22.7,98,69,11.15,23.94
CAPE MORETON LIGHTHOUSE,10/02/2017,5.4,0.0, ,31.2,23.6,93,61,6.54,20.57
CAPE MORETON LIGHTHOUSE,11/02/2017,6.2,0.0, ,30.3,23.4,91,64,5.45,28.48
CAPE MORETON LIGHTHOUSE,12/02/2017,5.6,0.0, ,29.3,24.9,93,75,10.27,28.43
CAPE MORETON LIGHTHOUSE,13/02/2017,4.5,0.0, ,30.5,25.7,100,69,10.53,17.32
CAPE MORETON LIGHTHOUSE,14/02/2017,5.8,22.2, ,28.0,19.7,92,60,12.77,23.01
CAPE MORETON LIGHTHOUSE,15/02/2017,7.3,0.0, ,29.5,24.0,74,55,8.69,26.85
CAPE MORETON LIGHTHOUSE,16/02/2017,6.1,0.0, ,30.0,23.4,74,54,5.94,20.36
CAPE MORETON LIGHTHOUSE,17/02/2017,6.4,0.0, ,29.0,23.5,73,54,5.15,25.27
CAPE MORETON LIGHTHOUSE,18/02/2017,6.5,0.0, ,29.0,22.7,85,58,7.68,27.60
CAPE MORETON LIGHTHOUSE,19/02/2017,4.6,0.0, ,29.0,23.2,100,65,5.85,20.43
CAPE MORETON LIGHTHOUSE,20/02/2017,5.7,2.0, ,29.5,22.9,99,57,5.62,25.64
CAPE MORETON LIGHTHOUSE,21/02/2017,6.8,0.0, ,29.7,24.5,83,58,9.11,26.07
CAPE MORETON LIGHTHOUSE,22/02/2017,6.3,0.0, ,27.6,24.4,74,57,11.53,16.36
CAPE MORETON LIGHTHOUSE,23/02/2017,6.7,0.0, ,27.8,23.6,73,59,10.16,23.40
CAPE MORETON LIGHTHOUSE,24/02/2017,7.2,0.0, ,29.2,23.7,71,56,8.71,25.75
CAPE MORETON LIGHTHOUSE,25/02/2017,6.5,0.0, ,27.9,22.9,79,61,9.90,26.59
CAPE MORETON LIGHTHOUSE,26/02/2017,6.4,0.0, ,29.1,23.9,79,58,10.89,19.37
CAPE MORETON LIGHTHOUSE,27/02/2017,4.4,12.4, ,26.3,19.2,100,63,10.31,19.30
CAPE MORETON LIGHTHOUSE,28/02/2017,4.8,1.6, ,28.9,20.4,99,72,7.70,24.81
Totals:,,170.6,40.6, ,,,,,, 
