'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/04/2017,5.3,0.2, ,25.4,19.0,77,60,10.15,21.02
CAPE MORETON LIGHTHOUSE,02/04/2017,4.3,0.0, ,23.9,21.1,88,64,12.43,15.90
CAPE MORETON LIGHTHOUSE,03/04/2017,3.8,0.0, ,22.8,19.1,89,71,12.06,18.19
CAPE MORETON LIGHTHOUSE,04/04/2017,4.2,0.4, ,22.6,18.8,92,62,12.77,19.05
CAPE MORETON LIGHTHOUSE,05/04/2017,4.1,8.0, ,23.5,17.8,99,57,12.19,16.50
CAPE MORETON LIGHTHOUSE,06/04/2017,4.3,3.2, ,23.9,17.9,99,55,10.56,17.10
CAPE MORETON LIGHTHOUSE,07/04/2017,3.9,1.2, ,23.5,17.5,98,63,10.73,19.93
CAPE MORETON LIGHTHOUSE,08/04/2017,3.9,2.4, ,24.3,19.3,93,65,11.59,15.39
CAPE MORETON LIGHTHOUSE,09/04/2017,3.2,0.2, ,23.7,19.7,99,78,6.62,19.89
CAPE MORETON LIGHTHOUSE,10/04/2017,5.2,0.0, ,28.1,20.2,100,33,5.00,20.10
CAPE MORETON LIGHTHOUSE,11/04/2017,5.4,0.0, ,23.3,16.9,77,37,6.99,19.95
CAPE MORETON LIGHTHOUSE,12/04/2017,4.4,0.0, ,23.7,18.5,84,62,8.99,19.77
CAPE MORETON LIGHTHOUSE,13/04/2017,3.2,1.4, ,23.5,18.7,99,73,8.13,19.07
CAPE MORETON LIGHTHOUSE,14/04/2017,3.3,1.8, ,23.9,19.6,92,69,6.47,15.98
CAPE MORETON LIGHTHOUSE,15/04/2017,4.1,0.2, ,24.9,20.1,81,62,6.42,15.96
CAPE MORETON LIGHTHOUSE,16/04/2017,4.6,0.0, ,25.4,20.6,72,55,5.17,18.99
CAPE MORETON LIGHTHOUSE,17/04/2017,4.8,0.0, ,25.4,20.7,70,56,5.80,19.09
CAPE MORETON LIGHTHOUSE,18/04/2017,5.4,0.0, ,24.5,21.0,72,56,9.80,18.76
CAPE MORETON LIGHTHOUSE,19/04/2017,5.2,0.0, ,24.3,21.2,72,63,12.75,15.88
CAPE MORETON LIGHTHOUSE,20/04/2017,4.9,0.0, ,24.1,21.0,87,56,14.00,15.81
CAPE MORETON LIGHTHOUSE,21/04/2017,4.5,0.0, ,24.0,20.2,85,61,11.79,16.94
CAPE MORETON LIGHTHOUSE,22/04/2017,3.4,1.8, ,24.0,18.6,100,63,10.98,13.33
CAPE MORETON LIGHTHOUSE,23/04/2017,4.2,0.0, ,24.5,20.8,82,65,8.30,17.57
CAPE MORETON LIGHTHOUSE,24/04/2017,3.3,0.2, ,24.5,19.2,99,63,6.67,14.90
CAPE MORETON LIGHTHOUSE,25/04/2017,3.5,0.2, ,25.1,19.3,84,62,4.53,15.66
CAPE MORETON LIGHTHOUSE,26/04/2017,3.0,0.0, ,24.8,21.0,94,69,7.01,11.17
CAPE MORETON LIGHTHOUSE,27/04/2017,4.4,0.2, ,21.0,15.3,69,38,5.53,17.66
CAPE MORETON LIGHTHOUSE,28/04/2017,4.0,0.0, ,22.0,14.3,81,52,7.45,16.05
CAPE MORETON LIGHTHOUSE,29/04/2017,4.1,0.0, ,22.5,17.0,83,58,8.39,17.35
CAPE MORETON LIGHTHOUSE,30/04/2017,3.3,0.2, ,22.4,18.1,91,69,8.83,16.89
Totals:,,125.2,21.6, ,,,,,, 
