'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/05/2017,2.8,6.0, ,22.9,18.0,99,72,7.17,16.45
CAPE MORETON LIGHTHOUSE,02/05/2017,2.7,0.0, ,25.1,19.1,92,72,3.57,13.69
CAPE MORETON LIGHTHOUSE,03/05/2017,3.3,0.0, ,24.8,19.9,97,70,9.34,15.67
CAPE MORETON LIGHTHOUSE,04/05/2017,3.3,0.0, ,23.6,20.3,97,65,13.42,10.93
CAPE MORETON LIGHTHOUSE,05/05/2017,4.8,0.4, ,22.6,19.3,75,59,13.18,14.38
CAPE MORETON LIGHTHOUSE,06/05/2017,3.9,0.0, ,23.2,19.9,96,56,10.50,15.52
CAPE MORETON LIGHTHOUSE,07/05/2017,3.3,2.2, ,22.6,17.1,99,61,9.37,15.37
CAPE MORETON LIGHTHOUSE,08/05/2017,2.1,2.4, ,21.6,18.2,100,74,10.56,6.80
CAPE MORETON LIGHTHOUSE,09/05/2017,4.6,20.6, ,22.3,16.9,85,55,15.13,14.91
CAPE MORETON LIGHTHOUSE,10/05/2017,2.1,4.0, ,20.0,17.3,100,68,10.51,5.26
CAPE MORETON LIGHTHOUSE,11/05/2017,3.6,8.6, ,20.9,16.1,85,59,9.89,14.10
CAPE MORETON LIGHTHOUSE,12/05/2017,2.9,0.2, ,21.5,17.0,96,67,9.64,14.85
CAPE MORETON LIGHTHOUSE,13/05/2017,2.4,1.2, ,23.4,17.6,100,73,8.48,10.28
CAPE MORETON LIGHTHOUSE,14/05/2017,1.2,39.6, ,19.8,17.1,100,94,5.46,8.86
CAPE MORETON LIGHTHOUSE,15/05/2017,3.0,0.6, ,24.0,16.6,100,55,4.16,15.68
CAPE MORETON LIGHTHOUSE,16/05/2017,3.1,0.0, ,24.1,17.1,99,46,3.41,15.59
CAPE MORETON LIGHTHOUSE,17/05/2017,3.6,0.0, ,24.3,19.6,76,60,5.90,11.85
CAPE MORETON LIGHTHOUSE,18/05/2017,2.6,0.4, ,22.6,19.9,100,62,8.93,7.02
CAPE MORETON LIGHTHOUSE,19/05/2017,2.0,12.4, ,22.8,18.2,100,69,6.54,5.25
CAPE MORETON LIGHTHOUSE,20/05/2017,1.9,3.6, ,22.2,17.8,100,81,4.31,12.51
CAPE MORETON LIGHTHOUSE,21/05/2017,2.0,0.2, ,22.7,18.6,100,83,5.64,14.31
CAPE MORETON LIGHTHOUSE,22/05/2017,2.0,0.0, ,22.7,19.8,100,84,7.26,14.39
CAPE MORETON LIGHTHOUSE,23/05/2017,2.1,0.0, ,22.9,18.4,100,81,5.45,14.08
CAPE MORETON LIGHTHOUSE,24/05/2017,2.5,0.0, ,23.1,18.2,100,69,4.45,14.66
CAPE MORETON LIGHTHOUSE,25/05/2017,2.8,0.0, ,22.2,18.0,95,68,7.50,14.79
CAPE MORETON LIGHTHOUSE,26/05/2017,2.7,0.0, ,22.6,17.9,93,64,4.75,14.32
CAPE MORETON LIGHTHOUSE,27/05/2017,2.6,0.0, ,23.7,17.5,93,66,4.07,13.61
CAPE MORETON LIGHTHOUSE,28/05/2017,2.4,0.0, ,22.9,17.5,99,70,4.59,14.66
CAPE MORETON LIGHTHOUSE,29/05/2017,3.1,0.0, ,24.0,19.1,91,51,4.07,14.61
CAPE MORETON LIGHTHOUSE,30/05/2017,2.7,0.0, ,23.1,16.2,99,53,4.06,12.38
CAPE MORETON LIGHTHOUSE,31/05/2017,3.7,0.0, ,19.7,14.2,85,32,5.72,14.50
Totals:,,87.8,102.4, ,,,,,, 
