'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for June 2017,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 July 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/06/2017,3.8,0.0, ,18.7,13.6,70,57,9.90,14.29
CAPE MORETON LIGHTHOUSE,02/06/2017,3.6,0.0, ,19.3,14.2,72,60,9.17,14.39
CAPE MORETON LIGHTHOUSE,03/06/2017,3.2,0.0, ,19.8,14.5,86,62,9.65,14.31
CAPE MORETON LIGHTHOUSE,04/06/2017,3.0,0.6, ,20.0,15.5,87,64,9.13,14.24
CAPE MORETON LIGHTHOUSE,05/06/2017,2.9,0.0, ,20.0,15.3,85,59,6.16,14.26
CAPE MORETON LIGHTHOUSE,06/06/2017,3.3,0.0, ,20.4,14.9,94,36,5.07,14.18
CAPE MORETON LIGHTHOUSE,07/06/2017,3.6,0.0, ,19.3,13.0,62,42,5.27,14.19
CAPE MORETON LIGHTHOUSE,08/06/2017,3.1,0.0, ,18.5,12.1,79,45,5.31,14.15
CAPE MORETON LIGHTHOUSE,09/06/2017,2.6,0.0, ,20.8,14.3,95,64,6.91,13.03
CAPE MORETON LIGHTHOUSE,10/06/2017,2.0,0.4, ,22.1,15.5,99,79,8.28,12.89
CAPE MORETON LIGHTHOUSE,11/06/2017,2.3,7.2, ,23.0,16.9,100,67,6.88,8.96
CAPE MORETON LIGHTHOUSE,12/06/2017,2.2,0.0, ,21.2,16.0,100,71,6.23,12.95
CAPE MORETON LIGHTHOUSE,13/06/2017,1.6,34.2, ,20.9,14.8,100,80,12.99,5.74
CAPE MORETON LIGHTHOUSE,14/06/2017,2.6,37.8, ,22.4,14.8,100,70,12.82,10.64
CAPE MORETON LIGHTHOUSE,15/06/2017,1.8,7.4, ,21.1,17.5,100,81,13.15,10.69
CAPE MORETON LIGHTHOUSE,16/06/2017,0.8,9.2, ,20.3,17.2,100,100,9.49,11.02
CAPE MORETON LIGHTHOUSE,17/06/2017,1.3,26.0, ,21.5,17.4,100,90,6.42,10.12
CAPE MORETON LIGHTHOUSE,18/06/2017,2.5,0.0, ,20.8,15.4,99,61,6.27,13.97
CAPE MORETON LIGHTHOUSE,19/06/2017,2.9,0.0, ,20.4,15.8,86,69,10.56,11.64
CAPE MORETON LIGHTHOUSE,20/06/2017,2.8,0.0, ,20.2,16.7,92,66,10.38,13.55
CAPE MORETON LIGHTHOUSE,21/06/2017,3.4,0.0, ,20.5,15.2,80,54,7.52,13.24
CAPE MORETON LIGHTHOUSE,22/06/2017,3.3,0.0, ,20.2,15.9,82,58,8.19,13.42
CAPE MORETON LIGHTHOUSE,23/06/2017,2.5,0.0, ,21.2,14.5,89,63,4.50,13.43
CAPE MORETON LIGHTHOUSE,24/06/2017,3.7,0.0, ,22.8,16.2,78,38,5.04,13.59
CAPE MORETON LIGHTHOUSE,25/06/2017,2.6,0.0, ,23.1,17.8,75,64,3.35,13.04
CAPE MORETON LIGHTHOUSE,26/06/2017,2.9,0.0, ,22.4,16.6,97,55,5.45,14.03
CAPE MORETON LIGHTHOUSE,27/06/2017,2.6,0.0, ,22.9,18.4,83,63,4.86,9.03
CAPE MORETON LIGHTHOUSE,28/06/2017,3.2,0.4, ,23.5,18.2,72,59,5.22,9.77
CAPE MORETON LIGHTHOUSE,29/06/2017,3.2,0.0, ,22.7,19.6,86,63,7.07,14.04
CAPE MORETON LIGHTHOUSE,30/06/2017,2.5,6.6, ,20.2,15.0,100,59,6.46,13.28
Totals:,,81.8,129.8, ,,,,,, 
