'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for July 2017,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 August 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/07/2017,3.8,0.0, ,18.0,15.2,78,46,8.95,14.14
CAPE MORETON LIGHTHOUSE,02/07/2017,2.7,0.0, ,19.4,12.3,77,64,5.85,14.16
CAPE MORETON LIGHTHOUSE,03/07/2017,2.2,0.0, ,21.4,14.7,89,71,4.44,12.89
CAPE MORETON LIGHTHOUSE,04/07/2017,2.3,0.0, ,22.3,18.0,94,77,7.10,13.72
CAPE MORETON LIGHTHOUSE,05/07/2017,3.1,0.0, ,23.9,17.9,100,46,4.91,13.70
CAPE MORETON LIGHTHOUSE,06/07/2017,3.1,4.0, ,22.8,15.3,100,41,4.43,14.33
CAPE MORETON LIGHTHOUSE,07/07/2017,1.7,0.4, ,19.6,16.2,100,68,5.39,5.35
CAPE MORETON LIGHTHOUSE,08/07/2017,3.0,2.2, ,20.6,15.0,99,34,4.11,14.43
CAPE MORETON LIGHTHOUSE,09/07/2017,2.7,0.0, ,20.0,12.6,77,43,3.33,12.74
CAPE MORETON LIGHTHOUSE,10/07/2017,2.8,0.0, ,20.5,14.8,94,52,5.47,11.58
CAPE MORETON LIGHTHOUSE,11/07/2017,2.2,1.6, ,19.1,13.7,99,70,8.08,12.51
CAPE MORETON LIGHTHOUSE,12/07/2017,2.5,0.0, ,18.4,13.7,93,69,10.64,14.09
CAPE MORETON LIGHTHOUSE,13/07/2017,2.0,1.6, ,18.4,14.1,99,68,7.30,8.77
CAPE MORETON LIGHTHOUSE,14/07/2017,2.5,4.6, ,21.2,14.6,80,65,3.66,14.13
CAPE MORETON LIGHTHOUSE,15/07/2017,2.8,0.0, ,22.1,17.8,91,66,6.04,14.83
CAPE MORETON LIGHTHOUSE,16/07/2017,2.0,3.2, ,19.6,15.1,100,72,5.22,12.46
CAPE MORETON LIGHTHOUSE,17/07/2017,2.2,0.0, ,22.2,15.4,99,70,3.67,13.59
CAPE MORETON LIGHTHOUSE,18/07/2017,2.4,0.0, ,22.2,18.2,99,76,7.49,15.04
CAPE MORETON LIGHTHOUSE,19/07/2017,3.8,2.6, ,18.5,16.6,96,34,9.03,14.98
CAPE MORETON LIGHTHOUSE,20/07/2017,3.9,0.0, ,19.1,12.1,64,43,6.47,15.19
CAPE MORETON LIGHTHOUSE,21/07/2017,3.8,0.0, ,17.6,11.5,64,36,5.81,15.27
CAPE MORETON LIGHTHOUSE,22/07/2017,3.1,0.0, ,18.3,11.5,74,54,5.41,15.34
CAPE MORETON LIGHTHOUSE,23/07/2017,3.1,0.0, ,21.4,13.5,94,41,3.83,15.43
CAPE MORETON LIGHTHOUSE,24/07/2017,3.2,0.0, ,21.1,12.8,94,33,3.78,15.51
CAPE MORETON LIGHTHOUSE,25/07/2017,4.0,0.0, ,21.6,14.7,61,34,4.40,15.61
CAPE MORETON LIGHTHOUSE,26/07/2017,3.6,0.0, ,21.1,12.8,81,36,4.43,15.70
CAPE MORETON LIGHTHOUSE,27/07/2017,4.7,0.0, ,20.5,16.7,73,33,7.17,15.79
CAPE MORETON LIGHTHOUSE,28/07/2017,3.2,0.0, ,21.8,15.9,86,54,4.73,15.75
CAPE MORETON LIGHTHOUSE,29/07/2017,3.5,0.0, ,20.8,15.4,86,44,5.39,15.95
CAPE MORETON LIGHTHOUSE,30/07/2017,2.7,0.0, ,21.8,15.2,99,65,5.47,16.05
CAPE MORETON LIGHTHOUSE,31/07/2017,3.1,0.0, ,21.9,17.5,95,63,7.44,16.11
Totals:,,91.7,20.2, ,,,,,, 
