'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for September 2017,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 October 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/09/2017,4.3,0.0, ,20.6,14.8,77,51,7.12,19.51
CAPE MORETON LIGHTHOUSE,02/09/2017,3.8,0.0, ,22.9,15.4,77,58,4.21,19.03
CAPE MORETON LIGHTHOUSE,03/09/2017,3.7,0.0, ,23.3,16.9,94,66,7.19,20.16
CAPE MORETON LIGHTHOUSE,04/09/2017,3.8,0.0, ,23.1,18.8,90,71,10.24,19.57
CAPE MORETON LIGHTHOUSE,05/09/2017,5.4,14.0, ,25.0,16.6,95,22,5.47,20.61
CAPE MORETON LIGHTHOUSE,06/09/2017,6.3,0.0, ,24.8,15.1,68,20,6.07,20.77
CAPE MORETON LIGHTHOUSE,07/09/2017,5.5,0.0, ,23.5,15.8,67,26,4.99,20.92
CAPE MORETON LIGHTHOUSE,08/09/2017,5.5,0.0, ,24.3,14.3,81,23,5.27,21.05
CAPE MORETON LIGHTHOUSE,09/09/2017,5.7,0.0, ,20.9,14.2,65,30,7.42,20.82
CAPE MORETON LIGHTHOUSE,10/09/2017,3.9,0.0, ,22.6,14.8,74,59,5.21,17.09
CAPE MORETON LIGHTHOUSE,11/09/2017,4.3,0.0, ,23.0,16.6,82,63,7.12,21.34
CAPE MORETON LIGHTHOUSE,12/09/2017,3.8,0.0, ,23.1,18.7,90,73,8.85,21.39
CAPE MORETON LIGHTHOUSE,13/09/2017,3.6,0.0, ,23.3,19.0,93,76,10.75,21.65
CAPE MORETON LIGHTHOUSE,14/09/2017,5.8,0.0, ,23.0,19.5,95,27,9.94,19.02
CAPE MORETON LIGHTHOUSE,15/09/2017,5.0,0.0, ,20.0,12.0,62,33,5.35,21.97
CAPE MORETON LIGHTHOUSE,16/09/2017,5.3,0.0, ,23.3,16.0,76,43,6.52,22.15
CAPE MORETON LIGHTHOUSE,17/09/2017,5.1,0.0, ,22.6,17.1,77,52,9.32,19.76
CAPE MORETON LIGHTHOUSE,18/09/2017,5.2,0.0, ,24.2,18.1,72,49,6.15,21.14
CAPE MORETON LIGHTHOUSE,19/09/2017,4.2,0.0, ,23.1,17.3,88,67,7.51,22.45
CAPE MORETON LIGHTHOUSE,20/09/2017,4.4,0.0, ,22.4,18.3,87,65,8.97,22.55
CAPE MORETON LIGHTHOUSE,21/09/2017,4.1,0.0, ,24.1,18.5,92,61,6.45,18.86
CAPE MORETON LIGHTHOUSE,22/09/2017,5.5,0.0, ,25.4,19.7,99,40,8.21,21.80
CAPE MORETON LIGHTHOUSE,23/09/2017,5.3,3.8, ,23.4,18.5,94,46,9.27,23.18
CAPE MORETON LIGHTHOUSE,24/09/2017,3.8,0.0, ,23.5,19.8,94,76,11.87,23.20
CAPE MORETON LIGHTHOUSE,25/09/2017,3.9,0.0, ,24.3,20.4,95,77,10.87,23.25
CAPE MORETON LIGHTHOUSE,26/09/2017,3.7,0.0, ,24.8,20.1,99,72,8.67,19.64
CAPE MORETON LIGHTHOUSE,27/09/2017,2.6,0.0, ,24.1,20.3,100,78,7.89,12.30
CAPE MORETON LIGHTHOUSE,28/09/2017,3.8,0.0, ,26.8,21.0,99,81,10.50,23.80
CAPE MORETON LIGHTHOUSE,29/09/2017,5.8,0.0, ,29.9,21.6,100,42,4.72,24.09
CAPE MORETON LIGHTHOUSE,30/09/2017,5.6,0.0, ,29.1,20.0,100,50,6.28,23.97
Totals:,,138.7,17.8, ,,,,,, 
