'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for October 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 November 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/10/2017,5.0,0.2, ,24.4,21.1,76,46,8.64,9.26
CAPE MORETON LIGHTHOUSE,02/10/2017,2.3,0.0, ,20.7,19.7,99,70,12.42,5.46
CAPE MORETON LIGHTHOUSE,03/10/2017,2.8,24.2, ,23.3,16.4,100,81,8.52,17.68
CAPE MORETON LIGHTHOUSE,04/10/2017,3.0,45.2, ,24.0,19.4,100,88,5.20,19.34
CAPE MORETON LIGHTHOUSE,05/10/2017,3.7,0.0, ,25.4,19.6,100,81,5.34,22.89
CAPE MORETON LIGHTHOUSE,06/10/2017,3.8,0.0, ,25.8,21.2,100,84,7.46,25.10
CAPE MORETON LIGHTHOUSE,07/10/2017,3.4,0.0, ,24.9,19.8,100,70,11.37,14.40
CAPE MORETON LIGHTHOUSE,08/10/2017,4.6,0.0, ,25.7,19.9,91,61,5.26,21.75
CAPE MORETON LIGHTHOUSE,09/10/2017,3.7,0.0, ,25.7,20.7,99,82,6.91,22.34
CAPE MORETON LIGHTHOUSE,10/10/2017,5.1,0.0, ,28.6,21.9,100,63,5.36,25.04
CAPE MORETON LIGHTHOUSE,11/10/2017,3.5,0.0, ,27.0,22.5,100,81,5.97,18.65
CAPE MORETON LIGHTHOUSE,12/10/2017,1.9,0.0, ,24.8,22.1,100,89,7.74,10.00
CAPE MORETON LIGHTHOUSE,13/10/2017,3.7,0.0, ,26.2,21.7,100,81,4.83,21.32
CAPE MORETON LIGHTHOUSE,14/10/2017,1.1,0.0, ,23.6,21.1,100,92,5.45,4.25
CAPE MORETON LIGHTHOUSE,15/10/2017,2.4,44.4, ,21.8,17.8,100,81,15.32,13.43
CAPE MORETON LIGHTHOUSE,16/10/2017,1.9,2.0, ,21.4,18.3,100,81,16.70,6.13
CAPE MORETON LIGHTHOUSE,17/10/2017,1.9,3.4, ,23.0,18.3,100,84,16.59,8.38
CAPE MORETON LIGHTHOUSE,18/10/2017,2.9,1.4, ,23.6,19.6,100,79,14.84,16.76
CAPE MORETON LIGHTHOUSE,19/10/2017,4.3,0.0, ,25.6,19.3,91,70,10.06,19.75
CAPE MORETON LIGHTHOUSE,20/10/2017,3.7,0.0, ,25.3,19.2,91,66,5.48,15.60
CAPE MORETON LIGHTHOUSE,21/10/2017,1.5,0.4, ,20.4,19.0,100,78,7.35,3.70
CAPE MORETON LIGHTHOUSE,22/10/2017,4.2,13.4, ,22.0,15.1,97,67,7.38,26.29
CAPE MORETON LIGHTHOUSE,23/10/2017,4.1,2.2, ,23.5,16.8,93,61,4.35,20.78
CAPE MORETON LIGHTHOUSE,24/10/2017,4.9,0.0, ,23.8,17.5,94,57,5.46,25.48
CAPE MORETON LIGHTHOUSE,25/10/2017,5.1,0.2, ,25.2,18.7,91,66,6.62,27.73
CAPE MORETON LIGHTHOUSE,26/10/2017,4.9,0.0, ,25.5,20.1,87,76,10.53,27.69
CAPE MORETON LIGHTHOUSE,27/10/2017,8.2,1.2, ,29.9,21.1,94,26,7.98,28.00
CAPE MORETON LIGHTHOUSE,28/10/2017,4.5,0.0, ,25.8,21.1,100,71,6.18,24.75
CAPE MORETON LIGHTHOUSE,29/10/2017,4.4,0.0, ,27.0,21.5,100,83,5.96,27.12
CAPE MORETON LIGHTHOUSE,30/10/2017,3.2,1.2, ,26.5,21.4,100,88,9.35,20.74
CAPE MORETON LIGHTHOUSE,31/10/2017,5.9,0.0, ,25.0,22.0,100,45,8.05,27.38
Totals:,,115.6,139.4, ,,,,,, 
