'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for January 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 February 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/01/2018,5.2,0.0, ,29.6,24.7,100,79,3.68,26.33
CAPE MORETON LIGHTHOUSE,02/01/2018,3.4,0.2, ,28.7,24.3,100,88,5.84,18.13
CAPE MORETON LIGHTHOUSE,03/01/2018,4.9,18.8, ,28.0,21.5,100,73,6.62,25.89
CAPE MORETON LIGHTHOUSE,04/01/2018,5.8,0.0, ,27.3,23.4,94,70,9.72,30.56
CAPE MORETON LIGHTHOUSE,05/01/2018,5.8,0.0, ,28.0,23.5,87,64,6.25,26.27
CAPE MORETON LIGHTHOUSE,06/01/2018,7.0,0.0, ,28.7,23.6,75,60,6.37,30.19
CAPE MORETON LIGHTHOUSE,07/01/2018,6.4,0.0, ,30.0,23.8,77,59,4.35,27.20
CAPE MORETON LIGHTHOUSE,08/01/2018,7.0,0.0, ,29.8,24.6,79,63,5.91,31.01
CAPE MORETON LIGHTHOUSE,09/01/2018,7.1,0.0, ,30.0,24.8,79,58,6.00,29.69
CAPE MORETON LIGHTHOUSE,10/01/2018,6.4,0.0, ,30.3,24.9,78,61,4.50,26.53
CAPE MORETON LIGHTHOUSE,11/01/2018,6.3,0.0, ,30.7,24.7,82,58,4.57,25.89
CAPE MORETON LIGHTHOUSE,12/01/2018,6.5,0.0, ,29.9,24.8,84,62,4.81,28.81
CAPE MORETON LIGHTHOUSE,13/01/2018,5.6,0.0, ,29.0,25.0,96,78,9.09,30.42
CAPE MORETON LIGHTHOUSE,14/01/2018,7.7,0.0, ,33.1,25.4,97,53,11.56,27.16
CAPE MORETON LIGHTHOUSE,15/01/2018,8.2,0.0, ,26.0,21.0,70,47,13.25,30.24
CAPE MORETON LIGHTHOUSE,16/01/2018,7.6,0.0, ,25.8,20.4,75,51,12.94,30.73
CAPE MORETON LIGHTHOUSE,17/01/2018,7.6,0.0, ,26.7,22.3,74,51,9.97,30.69
CAPE MORETON LIGHTHOUSE,18/01/2018,7.1,0.0, ,27.4,21.2,81,50,7.81,30.63
CAPE MORETON LIGHTHOUSE,19/01/2018,6.6,0.0, ,28.4,21.1,84,53,5.21,30.29
CAPE MORETON LIGHTHOUSE,20/01/2018,6.2,0.0, ,28.1,22.0,87,63,9.35,27.15
CAPE MORETON LIGHTHOUSE,21/01/2018,5.4,0.0, ,28.9,24.2,82,65,7.13,19.71
CAPE MORETON LIGHTHOUSE,22/01/2018,6.3,0.0, ,30.0,23.7,83,60,5.85,25.76
CAPE MORETON LIGHTHOUSE,23/01/2018,6.5,0.0, ,30.7,23.9,87,61,5.93,28.08
CAPE MORETON LIGHTHOUSE,24/01/2018,5.5,0.0, ,31.4,24.7,89,68,6.45,22.02
CAPE MORETON LIGHTHOUSE,25/01/2018,6.2,0.0, ,31.6,25.4,92,66,6.03,26.68
CAPE MORETON LIGHTHOUSE,26/01/2018,6.0,0.0, ,31.0,24.9,100,69,5.03,28.80
CAPE MORETON LIGHTHOUSE,27/01/2018,5.8,0.0, ,30.6,25.6,92,70,8.50,25.55
CAPE MORETON LIGHTHOUSE,28/01/2018,5.6,0.0, ,29.6,25.4,96,68,10.46,24.59
CAPE MORETON LIGHTHOUSE,29/01/2018,6.0,6.2, ,28.9,23.4,85,70,11.51,26.56
CAPE MORETON LIGHTHOUSE,30/01/2018,3.9,1.8, ,27.7,22.6,100,79,10.30,21.23
CAPE MORETON LIGHTHOUSE,31/01/2018,6.1,3.4, ,31.1,23.7,100,66,6.20,29.32
Totals:,,191.7,30.4, ,,,,,, 
