'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for June 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 July 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/06/2018,3.4,0.0, ,18.5,12.5,71,43,5.38,14.45
CAPE MORETON LIGHTHOUSE,02/06/2018,3.4,0.0, ,20.3,13.5,82,40,5.27,14.40
CAPE MORETON LIGHTHOUSE,03/06/2018,4.3,0.0, ,21.3,14.8,73,46,8.43,14.31
CAPE MORETON LIGHTHOUSE,04/06/2018,3.2,0.0, ,20.2,15.7,81,63,8.64,13.74
CAPE MORETON LIGHTHOUSE,05/06/2018,2.8,0.0, ,20.1,15.6,89,68,10.00,13.57
CAPE MORETON LIGHTHOUSE,06/06/2018,2.1,15.4, ,19.8,14.9,99,73,9.46,11.41
CAPE MORETON LIGHTHOUSE,07/06/2018,2.9,37.6, ,21.3,14.8,100,61,12.68,7.95
CAPE MORETON LIGHTHOUSE,08/06/2018,3.1,3.8, ,22.2,15.9,88,63,8.13,12.46
CAPE MORETON LIGHTHOUSE,09/06/2018,2.0,0.4, ,21.7,16.8,94,69,3.56,10.59
CAPE MORETON LIGHTHOUSE,10/06/2018,2.6,0.0, ,21.2,16.6,98,64,7.51,13.80
CAPE MORETON LIGHTHOUSE,11/06/2018,2.7,0.0, ,19.5,14.2,83,63,5.84,14.07
CAPE MORETON LIGHTHOUSE,12/06/2018,2.7,0.0, ,20.7,13.6,87,57,4.82,13.98
CAPE MORETON LIGHTHOUSE,13/06/2018,2.7,0.0, ,22.7,18.2,92,68,7.59,12.13
CAPE MORETON LIGHTHOUSE,14/06/2018,2.2,0.6, ,21.0,18.1,93,66,4.96,8.98
CAPE MORETON LIGHTHOUSE,15/06/2018,3.2,0.2, ,20.8,15.8,80,39,4.12,14.00
CAPE MORETON LIGHTHOUSE,16/06/2018,3.7,0.0, ,19.9,14.0,65,38,5.05,13.99
CAPE MORETON LIGHTHOUSE,17/06/2018,4.4,0.0, ,18.6,14.4,59,30,6.72,13.86
CAPE MORETON LIGHTHOUSE,18/06/2018,4.2,0.0, ,16.8,10.6,54,39,7.95,13.97
CAPE MORETON LIGHTHOUSE,19/06/2018,3.9,0.0, ,17.9,10.9,68,37,7.00,13.97
CAPE MORETON LIGHTHOUSE,20/06/2018,3.6,0.0, ,18.9,12.2,72,53,8.45,13.29
CAPE MORETON LIGHTHOUSE,21/06/2018,3.1,0.0, ,19.2,13.7,86,60,9.46,13.72
CAPE MORETON LIGHTHOUSE,22/06/2018,3.3,0.2, ,19.6,14.7,87,56,9.16,13.96
CAPE MORETON LIGHTHOUSE,23/06/2018,2.5,0.2, ,18.9,14.9,84,59,5.30,11.08
CAPE MORETON LIGHTHOUSE,24/06/2018,3.2,0.2, ,20.4,13.5,81,48,5.44,13.99
CAPE MORETON LIGHTHOUSE,25/06/2018,2.3,0.0, ,19.8,15.3,99,66,10.04,9.06
CAPE MORETON LIGHTHOUSE,26/06/2018,3.2,10.4, ,20.5,15.0,89,60,10.88,9.64
CAPE MORETON LIGHTHOUSE,27/06/2018,2.1,1.8, ,19.2,15.9,99,63,8.44,3.76
CAPE MORETON LIGHTHOUSE,28/06/2018,1.2,16.0, ,19.6,14.7,100,86,5.17,7.21
CAPE MORETON LIGHTHOUSE,29/06/2018,1.8,13.8, ,21.2,15.2,100,77,3.22,13.13
CAPE MORETON LIGHTHOUSE,30/06/2018,1.6,0.0, ,22.3,16.9,100,83,3.04,10.48
Totals:,,87.4,100.6, ,,,,,, 
